Player Name,Club Name,SCA,SCA Types,GCA,GCA Types,,Player,Nation,Pos,Age,90s,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90
Nacho,Real Madrid,0,DF,0,34.8,18,0.60,15,1,1,1,0,Matches,0.17,4,0,1,0,0
Vinicius Júnior,Real Madrid,8,FW,0,34.1,120,3.91,65,2,28,15,2,Matches,0.52,9,0,2,4,1
Andriy Lunin,Real Madrid,0,GK,0,31.7,3,0.10,2,1,0,0,0,Matches,0.03,1,0,0,0,0
Ferland Mendy,Real Madrid,0,DF,0,31.4,43,1.51,39,2,1,1,0,Matches,0.14,4,0,0,0,0
Eduardo Camavinga,Real Madrid,5,MF,0,31.3,77,2.69,61,0,4,2,5,Matches,0.24,6,0,1,0,0
Aurélien Tchouaméni,Real Madrid,0,"MF,DF",0,31.2,46,1.60,40,0,1,4,1,Matches,0.42,11,0,0,1,0
Luka Modrić,Real Madrid,2,MF,0,25.0,136,5.90,99,27,2,4,2,Matches,0.65,14,1,0,0,0
Joselu,Real Madrid,0,FW,0,23.6,36,1.64,27,0,1,8,0,Matches,0.23,3,0,0,2,0
Brahim Díaz,Real Madrid,4,"MF,FW",0,23.0,96,4.70,63,2,18,8,1,Matches,1.08,13,1,8,0,0
Lucas Vázquez,Real Madrid,4,DF,1,19.9,79,4.01,66,1,4,3,1,Matches,0.71,11,0,1,1,0
Kepa Arrizabalaga,Real Madrid,0,GK,0,19.6,1,0.06,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Fran Garcia,Real Madrid,0,DF,0,18.8,40,2.27,38,0,2,0,0,Matches,0.34,6,0,0,0,0
David Alaba,Real Madrid,0,DF,0,15.6,21,1.35,15,5,0,1,0,Matches,0.13,1,1,0,0,0
Dani Ceballos,Real Madrid,2,MF,0,9.7,32,3.85,27,1,2,0,0,Matches,0.24,2,0,0,0,0
Éder Militão,Real Madrid,0,DF,0,5.7,2,0.36,2,0,0,0,0,Matches,0.18,1,0,0,0,0
Arda Güler,Real Madrid,2,MF,0,4.9,18,4.30,11,1,2,2,0,Matches,0.48,1,0,1,0,0
Thibaut Courtois,Real Madrid,0,GK,0,4.7,1,0.21,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Nicolás Paz,Real Madrid,0,MF,0,1.5,1,1.41,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Álvaro Carrillo,Real Madrid,,DF,,1.0,,,,,,,,Matches,,,,,,
Vinicius Tobias,Real Madrid,,DF,,0.9,,,,,,,,Matches,,,,,,
Mario Martín,Real Madrid,0,MF,0,0.4,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Gonzalo García,Real Madrid,0,MF,0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Álvaro Muñoz,Real Madrid,0,FW,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Yann Sommer,Inter,0,GK,0,43.3,6,0.15,6,0,0,0,0,Matches,0.05,2,0,0,0,0
Henrikh Mkhitaryan,Inter,6,MF,1,38.9,130,3.54,113,1,3,3,4,Matches,0.52,17,0,0,0,1
Nicolò Barella,Inter,3,MF,1,38.8,164,4.45,146,2,4,8,1,Matches,0.62,15,0,2,5,0
Lautaro Martínez,Inter,7,FW,2,38.3,113,3.22,76,0,6,20,4,Matches,0.51,8,0,1,4,3
Marcus Thuram,Inter,16,FW,6,37.2,103,2.95,65,0,8,12,2,Matches,0.52,10,0,2,0,0
Hakan Çalhanoğlu,Inter,0,MF,0,35.9,129,3.82,75,47,0,6,1,Matches,0.30,7,3,0,0,0
Matteo Darmian,Inter,2,"DF,FW",1,34.6,65,2.10,52,7,1,3,0,Matches,0.10,2,0,0,0,0
Francesco Acerbi,Inter,0,DF,0,34.6,24,0.78,21,0,0,3,0,Matches,0.06,2,0,0,0,0
Alessandro Bastoni,Inter,3,DF,0,32.3,76,2.47,67,1,0,4,1,Matches,0.26,8,0,0,0,0
Federico Dimarco,Inter,1,DF,0,29.5,117,4.31,85,22,2,6,1,Matches,0.52,10,2,0,2,0
Benjamin Pavard,Inter,2,DF,0,26.3,36,1.53,33,0,0,1,0,Matches,0.08,2,0,0,0,0
Carlos Augusto,Inter,1,"DF,FW",0,26.1,42,1.72,32,6,1,1,1,Matches,0.25,4,1,1,0,0
Stefan de Vrij,Inter,0,DF,0,24.1,13,0.57,11,0,0,1,1,Matches,0.04,1,0,0,0,0
Denzel Dumfries,Inter,3,DF,2,21.8,54,2.48,42,4,3,2,0,Matches,0.41,6,0,1,0,0
Davide Frattesi,Inter,5,MF,2,17.6,41,2.68,31,0,0,5,0,Matches,0.59,5,0,0,2,0
Yann Aurel Bisseck,Inter,4,DF,0,13.0,19,1.64,10,0,2,3,0,Matches,0.09,0,0,0,1,0
Alexis Sánchez,Inter,4,FW,0,12.5,48,4.00,35,5,1,2,1,Matches,0.67,6,2,0,0,0
Marko Arnautović,Inter,1,FW,0,12.1,25,2.27,23,0,0,1,0,Matches,0.27,3,0,0,0,0
Kristjan Asllani,Inter,0,MF,0,12.0,24,2.18,15,5,3,1,0,Matches,0.45,4,1,0,0,0
Emil Audero,Inter,0,GK,0,6.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Juan Cuadrado,Inter,0,"DF,FW",0,4.2,15,3.55,13,1,0,1,0,Matches,0.71,3,0,0,0,0
Davy Klaassen,Inter,0,"MF,FW",0,4.0,7,2.25,7,0,0,0,0,Matches,0.96,3,0,0,0,0
Tajon Buchanan,Inter,0,"DF,FW",0,1.8,6,3.35,4,0,0,2,0,Matches,0.00,0,0,0,0,0
Stefano Sensi,Inter,0,MF,0,0.9,4,7.66,2,1,0,1,0,Matches,1.91,1,0,0,0,0
Raffaele Di Gennaro,Inter,0,GK,0,0.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ebenezer Akinsanmiro,Inter,0,MF,0,0.2,1,6.00,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Lucien Agoume,Inter,0,MF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Rodri,Manchester City,8,MF,2,46.3,204,5.11,172,2,10,6,6,Matches,0.73,21,0,3,2,1
Phil Foden,Manchester City,8,"FW,MF",3,45.7,182,4.67,142,9,13,9,1,Matches,0.80,24,1,3,0,0
Kyle Walker,Manchester City,2,DF,0,43.3,73,2.03,66,1,1,3,0,Matches,0.31,9,0,1,1,0
Manuel Akanji,Manchester City,3,"DF,MF",0,42.0,66,1.87,54,1,0,4,4,Matches,0.11,4,0,0,0,0
Erling Haaland,Manchester City,7,FW,2,41.5,77,2.08,51,0,5,13,1,Matches,0.35,7,0,1,3,0
Rúben Dias,Manchester City,0,DF,0,41.4,47,1.28,38,0,0,7,2,Matches,0.16,3,0,0,2,1
Bernardo Silva,Manchester City,5,"FW,MF",0,40.4,157,4.58,138,5,6,3,0,Matches,0.47,14,0,2,0,0
Ederson,Manchester City,0,GK,0,39.3,8,0.21,6,2,0,0,0,Matches,0.05,2,0,0,0,0
Joško Gvardiol,Manchester City,4,DF,1,38.2,73,2.29,58,1,6,2,2,Matches,0.31,9,0,0,0,0
Julián Álvarez,Manchester City,2,"MF,FW",2,37.3,145,4.50,86,37,6,14,0,Matches,0.59,14,2,1,0,0
Nathan Aké,Manchester City,1,"DF,MF",0,32.0,53,1.97,44,0,2,5,1,Matches,0.26,4,0,1,2,0
Mateo Kovačić,Manchester City,2,MF,0,28.8,68,3.10,60,0,2,4,0,Matches,0.32,6,0,0,1,0
Jeremy Doku,Manchester City,5,"FW,MF",2,24.2,136,6.55,102,1,21,7,0,Matches,0.82,12,0,2,1,0
Jack Grealish,Manchester City,9,"FW,MF",1,21.5,89,5.20,69,3,3,5,0,Matches,0.53,7,0,0,1,0
Kevin De Bruyne,Manchester City,4,MF,1,19.4,111,7.02,78,22,2,5,0,Matches,1.01,12,3,0,0,0
John Stones,Manchester City,2,"DF,MF",0,19.0,30,1.93,28,0,0,0,0,Matches,0.19,3,0,0,0,0
Stefan Ortega,Manchester City,0,GK,0,18.1,1,0.10,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Rico Lewis,Manchester City,1,"MF,DF",0,17.2,37,2.45,35,0,0,1,0,Matches,0.40,6,0,0,0,0
Matheus Nunes,Manchester City,5,"MF,FW",2,14.1,48,3.99,36,3,2,2,0,Matches,0.58,5,0,0,0,0
Oscar Bobb,Manchester City,1,"FW,MF",1,8.8,34,5.88,24,0,6,3,0,Matches,1.04,3,0,2,0,0
Sergio Gómez,Manchester City,0,"DF,FW",0,4.9,12,4.35,11,0,1,0,0,Matches,0.73,1,0,1,0,0
Kalvin Phillips,Manchester City,0,MF,0,3.5,2,0.81,1,0,0,1,0,Matches,0.00,0,0,0,0,0
Micah Hamilton,Manchester City,1,FW,1,1.4,2,1.68,1,0,0,0,0,Matches,0.84,0,0,0,0,0
Cole Palmer,Manchester City,0,MF,0,1.4,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Jacob Wright,Manchester City,0,FW,0,0.2,1,30.00,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Mahamadou Susoho,Manchester City,0,MF,0,0.2,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Aymeric Laporte,Manchester City,0,DF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
James Mcatee,Manchester City,0,MF,0,0.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
William Saliba,Arsenal,0,DF,0,50.0,30,0.63,27,0,1,2,0,Matches,0.06,3,0,0,0,0
Gabriel Magalhães,Arsenal,1,DF,0,48.1,27,0.62,23,1,0,1,1,Matches,0.09,4,0,0,0,0
Declan Rice,Arsenal,0,MF,0,47.4,111,2.48,77,19,5,5,5,Matches,0.29,7,5,0,1,0
Ben White,Arsenal,0,DF,0,45.3,103,2.50,91,6,2,2,2,Matches,0.22,8,0,0,1,0
Martin Ødegaard,Arsenal,6,MF,1,44.9,243,5.74,195,21,8,11,2,Matches,0.61,20,2,0,3,0
Bukayo Saka,Arsenal,9,FW,1,42.7,223,5.56,158,29,14,10,3,Matches,0.67,21,2,2,1,0
Kai Havertz,Arsenal,6,"MF,FW",2,42.4,122,3.20,101,1,4,8,2,Matches,0.60,17,0,2,2,0
David Raya,Arsenal,0,GK,0,41.3,6,0.15,5,1,0,0,0,Matches,0.00,0,0,0,0,0
Gabriel Martinelli,Arsenal,2,FW,0,29.2,109,3.92,74,8,13,9,3,Matches,0.54,9,1,2,3,0
Leandro Trossard,Arsenal,5,FW,2,25.2,82,3.39,56,6,9,6,0,Matches,0.33,3,1,2,0,0
Oleksandr Zinchenko,Arsenal,0,DF,0,23.1,69,3.13,66,1,1,1,0,Matches,0.27,5,1,0,0,0
Gabriel Jesus,Arsenal,3,FW,1,21.2,73,3.54,47,1,12,6,4,Matches,0.68,8,1,3,1,0
Jorginho,Arsenal,0,MF,0,18.7,41,2.54,39,0,0,1,1,Matches,0.37,6,0,0,0,0
Takehiro Tomiyasu,Arsenal,1,DF,0,18.5,27,1.58,24,1,0,1,0,Matches,0.23,4,0,0,0,0
Jakub Kiwior,Arsenal,1,DF,0,17.7,19,1.29,14,3,1,0,0,Matches,0.27,3,1,0,0,0
Eddie Nketiah,Arsenal,3,FW,3,15.6,30,2.24,19,0,3,5,0,Matches,0.60,3,0,1,1,0
Aaron Ramsdale,Arsenal,0,GK,0,11.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Thomas Partey,Arsenal,1,MF,0,9.8,25,2.84,24,0,0,0,0,Matches,0.45,4,0,0,0,0
Reiss Nelson,Arsenal,0,FW,0,7.2,23,4.65,12,4,2,4,1,Matches,0.40,2,0,0,0,0
Emile Smith Rowe,Arsenal,1,MF,0,5.4,19,4.31,15,1,0,2,0,Matches,0.68,2,1,0,0,0
Fabio Vieira,Arsenal,3,FW,3,5.3,16,3.73,11,1,0,1,0,Matches,1.17,1,1,0,0,0
Jurriën Timber,Arsenal,0,DF,0,1.6,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Cédric Soares,Arsenal,0,DF,0,1.4,2,1.48,2,0,0,0,0,Matches,0.74,1,0,0,0,0
Mohamed Elneny,Arsenal,0,MF,0,1.1,1,1.00,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Charles Sagoe Jr,Arsenal,,FW,,0.7,,,,,,,,Matches,,,,,,
Kieran Tierney,Arsenal,,"DF,MF",,0.2,,,,,,,,Matches,,,,,,
Ethan Nwaneri,Arsenal,0,MF,0,0.2,1,6.43,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Kylian Mbappé,Paris S-G,7,FW,3,43.0,157,4.36,108,2,28,11,1,Matches,0.58,11,0,4,3,0
Gianluigi Donnarumma,Paris S-G,0,GK,0,41.1,1,0.03,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Vitinha,Paris S-G,2,MF,1,39.5,121,3.58,104,10,3,1,1,Matches,0.53,16,1,0,0,0
Warren Zaïre-Emery,Paris S-G,1,MF,0,36.9,98,3.08,88,2,6,0,1,Matches,0.47,13,0,2,0,0
Achraf Hakimi,Paris S-G,5,DF,0,36.4,144,4.45,123,1,5,8,2,Matches,0.49,14,0,1,1,0
Lucas Hernández,Paris S-G,3,DF,1,33.6,35,1.15,27,1,1,1,2,Matches,0.10,1,0,0,1,0
Marquinhos,Paris S-G,0,DF,0,31.9,19,0.70,18,0,0,1,0,Matches,0.11,2,0,0,1,0
Ousmane Dembélé,Paris S-G,5,"FW,MF",2,31.6,174,6.38,127,16,16,8,2,Matches,0.95,19,2,1,2,0
Manuel Ugarte Ribeiro,Paris S-G,3,MF,1,27.2,42,1.63,35,0,3,0,1,Matches,0.19,3,0,1,0,0
Danilo Pereira,Paris S-G,0,DF,0,27.2,16,0.67,16,0,0,0,0,Matches,0.08,2,0,0,0,0
Milan Škriniar,Paris S-G,0,DF,0,25.0,14,0.58,12,0,0,2,0,Matches,0.04,1,0,0,0,0
Fabián Ruiz Peña,Paris S-G,0,MF,0,24.8,60,2.98,50,1,7,2,0,Matches,0.50,8,1,1,0,0
Bradley Barcola,Paris S-G,2,"FW,DF",0,23.2,93,4.54,70,0,19,1,1,Matches,0.68,11,0,2,0,1
Lee Kang-in,Paris S-G,1,"MF,FW",0,23.1,94,4.68,66,16,6,4,1,Matches,0.60,10,1,1,0,0
Randal Kolo Muani,Paris S-G,5,"FW,MF",0,21.7,64,3.31,50,0,4,4,1,Matches,0.41,7,0,1,0,0
Gonçalo Ramos,Paris S-G,5,FW,3,20.9,41,2.26,27,0,1,4,4,Matches,0.33,3,0,0,0,0
Lucas Beraldo,Paris S-G,0,DF,0,20.4,16,1.02,15,1,0,0,0,Matches,0.06,1,0,0,0,0
Marco Asensio,Paris S-G,1,"FW,MF",0,16.4,58,4.22,42,10,1,3,1,Matches,0.58,5,1,0,2,0
Carlos Soler,Paris S-G,2,"MF,FW",0,14.2,37,3.03,30,2,1,2,0,Matches,0.16,2,0,0,0,0
Nordi Mukiele,Paris S-G,1,DF,0,10.5,10,1.05,7,0,1,1,0,Matches,0.00,0,0,0,0,0
Nuno Mendes,Paris S-G,0,DF,0,10.5,19,2.49,16,0,2,1,0,Matches,0.26,2,0,0,0,0
Keylor Navas,Paris S-G,0,GK,0,6.0,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Arnau Tenas,Paris S-G,0,GK,0,5.9,1,0.17,1,0,0,0,0,Matches,0.17,1,0,0,0,0
Yoram Zague,Paris S-G,0,DF,0,4.1,7,1.69,7,0,0,0,0,Matches,0.00,0,0,0,0,0
Senny Mayulu,Paris S-G,0,MF,0,3.9,9,2.50,8,0,1,0,0,Matches,0.28,1,0,0,0,0
Cher Ndour,Paris S-G,0,MF,0,1.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Ethan Mbappé,Paris S-G,0,MF,0,1.0,1,1.87,1,0,0,0,0,Matches,1.87,1,0,0,0,0
Hugo Ekitike,Paris S-G,0,FW,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Layvin Kurzawa,Paris S-G,0,DF,0,0.1,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
İlkay Gündoğan,Barcelona,4,MF,1,46.4,207,4.86,138,56,6,3,0,Matches,0.47,14,4,0,1,0
Jules Koundé,Barcelona,1,DF,0,45.5,72,1.79,63,3,1,4,0,Matches,0.22,9,0,0,0,0
Robert Lewandowski,Barcelona,8,FW,2,42.1,87,2.25,61,1,4,13,0,Matches,0.39,13,0,0,0,0
João Cancelo,Barcelona,2,DF,0,36.8,112,3.05,93,3,11,0,3,Matches,0.30,9,0,2,0,0
Marc-André ter Stegen,Barcelona,0,GK,0,36.0,10,0.28,9,1,0,0,0,Matches,0.06,1,1,0,0,0
Ronald Araújo,Barcelona,0,DF,0,33.6,32,1.08,21,1,1,8,1,Matches,0.14,1,0,0,3,0
Lamine Yamal,Barcelona,9,FW,2,32.9,137,4.44,85,5,23,10,5,Matches,0.68,14,0,3,1,1
Andreas Christensen,Barcelona,0,"DF,MF",0,30.8,34,1.26,29,0,1,3,1,Matches,0.11,2,0,0,1,0
Frenkie de Jong,Barcelona,2,MF,0,27.9,69,3.07,64,2,0,1,0,Matches,0.44,10,0,0,0,0
João Félix,Barcelona,2,FW,0,23.8,73,3.44,50,0,8,12,1,Matches,0.52,6,0,2,3,0
Pedri,Barcelona,3,"MF,FW",0,22.5,85,4.24,75,2,2,2,1,Matches,0.45,9,0,0,0,0
Alejandro Balde,Barcelona,1,DF,0,22.2,34,1.79,31,0,2,0,0,Matches,0.21,4,0,0,0,0
Ferrán Torres,Barcelona,6,FW,3,22.2,69,3.91,48,4,5,5,1,Matches,0.68,7,0,1,1,0
Raphinha,Barcelona,7,FW,0,21.6,110,5.38,61,21,7,13,1,Matches,0.78,11,3,0,2,0
Pau Cubarsí,Barcelona,0,DF,0,21.4,22,1.08,21,0,0,1,0,Matches,0.15,3,0,0,0,0
Fermin López,Barcelona,0,MF,0,21.2,56,2.92,43,0,7,6,0,Matches,0.05,0,0,0,1,0
Iñigo Martínez,Barcelona,0,DF,0,18.1,18,1.00,17,0,0,1,0,Matches,0.28,5,0,0,0,0
Iñaki Peña ,Barcelona,0,GK,0,17.3,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Oriol Romeu,Barcelona,0,MF,0,16.0,21,1.48,17,0,1,3,0,Matches,0.14,2,0,0,0,0
Sergi Roberto,Barcelona,0,MF,0,14.6,31,2.62,28,0,1,1,1,Matches,0.34,4,0,0,0,0
Gavi,Barcelona,0,MF,0,13.0,30,2.31,26,0,2,1,1,Matches,0.23,3,0,0,0,0
Héctor Fort,Barcelona,0,DF,0,6.3,5,1.19,5,0,0,0,0,Matches,0.71,3,0,0,0,0
Marcos Alonso,Barcelona,0,"DF,FW",0,4.3,10,2.30,9,1,0,0,0,Matches,0.23,1,0,0,0,0
Vitor Roque,Barcelona,0,FW,0,4.0,4,1.10,1,0,1,2,0,Matches,0.27,0,0,0,1,0
Marc Guiu,Barcelona,0,FW,0,2.1,2,1.65,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Abde Ezzalzouli,Barcelona,0,"FW,MF",0,0.8,2,2.65,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Eric García,Barcelona,0,DF,0,0.6,1,1.58,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Ansu Fati,Barcelona,0,"MF,FW",0,0.6,1,1.80,0,0,0,1,0,Matches,0.00,0,0,0,0,0
Marc Casado,Barcelona,1,MF,0,0.4,2,4.62,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Virgil van Dijk,Liverpool,0,DF,0,45.3,66,1.69,61,0,0,5,0,Matches,0.13,5,0,0,0,0
Luis Díaz,Liverpool,12,FW,1,40.0,184,5.40,137,1,18,15,1,Matches,0.41,12,0,1,0,0
Alexis Mac Allister,Liverpool,6,MF,1,38.7,121,3.62,100,6,4,3,2,Matches,0.48,12,1,2,0,0
Joe Gomez,Liverpool,3,DF,0,34.9,67,2.56,54,1,2,6,1,Matches,0.27,5,0,0,1,1
Mohamed Salah,Liverpool,5,FW,1,34.8,157,4.82,119,2,7,23,1,Matches,0.67,16,0,2,3,0
Darwin Núñez,Liverpool,5,FW,1,33.7,101,3.62,70,0,9,15,2,Matches,0.65,13,0,0,3,1
Cody Gakpo,Liverpool,7,"FW,MF",2,33.5,106,4.18,70,4,8,15,2,Matches,0.51,7,0,2,2,0
Alisson,Liverpool,0,GK,0,32.0,11,0.37,10,1,0,0,0,Matches,0.00,0,0,0,0,0
Harvey Elliott,Liverpool,2,"MF,FW",1,31.1,110,4.72,86,10,5,5,2,Matches,0.69,11,1,1,1,1
Wataru Endo,Liverpool,2,MF,0,30.6,68,2.65,56,0,2,4,4,Matches,0.16,4,0,0,0,0
Dominik Szoboszlai,Liverpool,4,MF,1,30.0,128,4.74,94,22,4,4,0,Matches,0.30,6,0,0,1,0
Trent Alexander-Arnold,Liverpool,0,DF,0,29.0,142,5.25,92,36,5,7,2,Matches,0.37,6,3,0,1,0
Ibrahima Konaté,Liverpool,0,DF,0,28.7,28,1.22,28,0,0,0,0,Matches,0.04,1,0,0,0,0
Jarell Quansah,Liverpool,0,DF,0,27.7,20,1.04,19,0,0,0,1,Matches,0.05,1,0,0,0,0
Caoimhín Kelleher,Liverpool,0,GK,0,26.7,4,0.22,4,0,0,0,0,Matches,0.00,0,0,0,0,0
Andrew Robertson,Liverpool,1,DF,0,24.4,108,4.87,69,36,1,0,1,Matches,0.32,5,2,0,0,0
Curtis Jones,Liverpool,1,MF,0,22.6,48,2.77,36,1,5,4,1,Matches,0.35,4,1,0,1,0
Ryan Gravenberch,Liverpool,0,MF,0,20.4,64,3.93,52,0,4,7,1,Matches,0.06,1,0,0,0,0
Diogo Jota,Liverpool,6,FW,2,19.0,54,3.53,38,0,7,3,0,Matches,1.05,8,0,5,1,0
Conor Bradley,Liverpool,1,DF,0,16.7,31,2.82,22,1,3,2,2,Matches,0.36,3,1,0,0,0
Kostas Tsimikas,Liverpool,2,DF,0,16.3,39,3.27,23,12,0,0,2,Matches,0.17,2,0,0,0,0
Joël Matip,Liverpool,0,DF,0,11.8,10,0.93,10,0,0,0,0,Matches,0.09,1,0,0,0,0
Bobby Clark,Liverpool,0,MF,0,4.0,6,2.89,3,0,1,1,1,Matches,0.96,1,0,0,0,1
Ben Doak,Liverpool,0,FW,0,2.7,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
James McConnell,Liverpool,0,MF,0,2.7,2,2.69,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Luke Chambers,Liverpool,0,DF,0,1.5,1,0.66,1,0,0,0,0,Matches,0.00,0,0,0,0,0
Stefan Bajcetic,Liverpool,0,MF,0,1.1,2,2.09,2,0,0,0,0,Matches,0.00,0,0,0,0,0
Jayden Danns,Liverpool,0,FW,0,0.9,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Kaide Gordon,Liverpool,0,FW,0,0.8,0,0.00,0,0,0,0,0,Matches,0.00,0,0,0,0,0
Lewis Koumas,Liverpool,,MF,,0.7,,,,,,,,Matches,,,,,,
Calum Scanlon,Liverpool,0,MF,0,0.6,1,1.70,1,0,0,0,0,Matches,1.70,1,0,0,0,0
Mateusz Musialowski,Liverpool,0,MF,0,0.2,1,5.00,1,0,0,0,0,Matches,0.00,0,0,0,0,0
