Player Name,Club Name,Performance,Aerial Duels,,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov
Victor Boniface,Leverkusen,ng NGA,FW,22,23.3,3,0,0,22,25,25,3,2,7,0,0,0,37,35,24,59.3,Matches
Patrik Schick,Leverkusen,cz CZE,"FW,MF",27,17.3,2,0,0,21,17,8,1,1,6,1,0,0,24,35,33,51.5,Matches
Matej Kovar,Leverkusen,cz CZE,GK,23,17.0,1,0,0,0,2,0,0,0,0,0,0,0,30,1,0,100.0,Matches
Nathan Tella,Leverkusen,ng NGA,"DF,FW",24,16.4,2,0,0,18,30,7,46,7,11,2,0,0,69,8,14,36.4,Matches
Adam Hložek,Leverkusen,cz CZE,"FW,MF",21,11.3,3,0,0,19,14,2,2,4,7,0,1,0,35,14,21,40.0,Matches
Borja Iglesias,Leverkusen,es ESP,FW,30,4.7,0,0,0,6,4,1,2,1,2,0,0,0,8,5,8,38.5,Matches
Gustavo Puerta,Leverkusen,co COL,MF,20,2.6,0,0,0,6,3,0,4,2,5,0,0,0,19,2,3,40.0,Matches
Arthur,Leverkusen,br BRA,DF,20,2.3,0,0,0,3,1,0,7,1,3,0,0,0,10,2,3,40.0,Matches
Nadiem Amiri,Leverkusen,de GER,MF,26,1.7,0,0,0,1,5,1,8,1,2,0,0,0,8,0,0,,Matches
Noah Mbamba,Leverkusen,be BEL,FW,18,1.2,0,0,0,4,4,0,1,4,0,0,0,0,4,0,0,,Matches
Niklas Lomb,Leverkusen,de GER,GK,30,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Ken Izekor,Leverkusen,de GER,DF,16,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Ayman Aourir,Leverkusen,de GER,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Federico Valverde,Real Madrid,uy URU,"MF,FW",25,47.5,2,0,0,34,19,1,43,60,51,0,0,0,215,33,26,55.9,Matches
Antonio Rüdiger,Real Madrid,de GER,DF,30,45.3,8,0,0,35,15,3,8,15,21,0,0,1,165,65,31,67.7,Matches
Rodrygo,Real Madrid,br BRA,FW,22,40.9,2,0,0,15,57,15,46,10,20,2,0,0,88,8,29,21.6,Matches
Jude Bellingham,Real Madrid,eng ENG,"MF,FW",20,40.3,9,1,0,46,102,7,36,30,50,0,0,0,151,35,36,49.3,Matches
Dani Carvajal,Real Madrid,es ESP,DF,31,37.2,9,1,1,44,31,3,64,32,54,0,0,0,143,37,29,56.1,Matches
Toni Kroos,Real Madrid,de GER,MF,33,35.2,5,0,0,23,50,4,174,31,49,0,0,0,205,9,5,64.3,Matches
Nacho,Real Madrid,es ESP,DF,33,34.8,5,2,0,27,23,2,3,30,19,0,1,1,125,38,35,52.1,Matches
Vinicius Júnior,Real Madrid,br BRA,FW,23,34.1,11,0,0,36,75,17,94,3,19,0,0,0,71,4,10,28.6,Matches
Andriy Lunin,Real Madrid,ua UKR,GK,24,31.7,2,0,0,0,5,0,0,0,0,0,0,0,25,11,0,100.0,Matches
Ferland Mendy,Real Madrid,fr FRA,DF,28,31.4,6,0,0,26,28,0,10,21,20,0,0,0,132,13,10,56.5,Matches
Eduardo Camavinga,Real Madrid,fr FRA,MF,20,31.3,13,0,0,75,96,1,7,40,62,0,1,0,193,30,22,57.7,Matches
Aurélien Tchouaméni,Real Madrid,fr FRA,"MF,DF",23,31.2,11,0,0,27,25,0,28,43,30,0,0,0,120,65,28,69.9,Matches
Luka Modrić,Real Madrid,hr CRO,MF,37,25.0,2,0,0,29,27,2,135,27,21,0,0,0,118,13,10,56.5,Matches
Joselu,Real Madrid,es ESP,FW,33,23.6,1,0,0,14,19,20,8,7,3,0,0,0,41,58,40,59.2,Matches
Brahim Díaz,Real Madrid,ma MAR,"MF,FW",23,23.0,2,0,0,29,58,6,50,6,25,0,0,0,88,3,13,18.8,Matches
Lucas Vázquez,Real Madrid,es ESP,DF,32,19.9,2,0,0,29,28,5,67,13,30,1,2,0,100,4,8,33.3,Matches
Kepa Arrizabalaga,Real Madrid,es ESP,GK,28,19.6,2,0,0,0,3,0,0,0,1,0,0,0,23,4,0,100.0,Matches
Fran Garcia,Real Madrid,es ESP,DF,23,18.8,2,0,0,10,16,10,76,21,20,0,0,0,114,8,16,33.3,Matches
David Alaba,Real Madrid,at AUT,DF,31,15.6,3,0,0,5,0,0,24,18,10,0,0,1,70,12,10,54.5,Matches
Dani Ceballos,Real Madrid,es ESP,MF,26,9.7,2,0,0,8,22,0,21,5,7,0,0,0,45,2,6,25.0,Matches
Éder Militão,Real Madrid,br BRA,DF,25,5.7,0,0,0,6,5,2,1,4,4,0,0,0,19,13,13,50.0,Matches
Arda Güler,Real Madrid,tr TUR,MF,18,4.9,1,0,0,11,9,2,17,3,4,1,0,0,21,0,0,,Matches
Thibaut Courtois,Real Madrid,be BEL,GK,31,4.7,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,100.0,Matches
Nicolás Paz,Real Madrid,ar ARG,MF,18,1.5,0,0,0,2,1,0,2,1,2,0,0,0,6,2,1,66.7,Matches
Álvaro Carrillo,Real Madrid,es ESP,DF,21,1.0,0,0,0,0,1,0,1,2,2,,,0,,,,,Matches
Vinicius Tobias,Real Madrid,br BRA,DF,19,0.9,0,0,0,1,3,0,2,0,1,,,0,,,,,Matches
Mario Martín,Real Madrid,es ESP,MF,19,0.4,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,,Matches
Gonzalo García,Real Madrid,es ESP,MF,19,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Álvaro Muñoz,Real Madrid,uy URU,FW,19,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Yann Sommer,Inter,ch SUI,GK,34,43.3,1,0,0,1,1,0,0,0,1,0,1,0,58,4,2,66.7,Matches
Henrikh Mkhitaryan,Inter,am ARM,MF,34,38.9,6,0,0,42,42,4,36,39,40,1,0,0,224,19,18,51.4,Matches
Nicolò Barella,Inter,it ITA,MF,26,38.8,10,0,0,38,36,6,71,17,49,1,0,0,199,30,18,62.5,Matches
Lautaro Martínez,Inter,ar ARG,FW,25,38.3,8,0,0,56,75,13,20,24,18,2,1,0,109,50,39,56.2,Matches
Marcus Thuram,Inter,fr FRA,FW,25,37.2,3,0,0,41,59,24,24,5,18,6,0,0,89,81,54,60.0,Matches
Hakan Çalhanoğlu,Inter,tr TUR,MF,29,35.9,9,0,0,54,30,0,186,31,41,0,0,0,204,29,20,59.2,Matches
Matteo Darmian,Inter,it ITA,"DF,FW",33,34.6,3,0,0,32,19,1,35,19,29,1,2,0,85,25,19,56.8,Matches
Francesco Acerbi,Inter,it ITA,DF,35,34.6,2,0,0,26,33,4,15,41,16,0,0,0,127,82,42,66.1,Matches
Alessandro Bastoni,Inter,it ITA,DF,24,32.3,5,0,0,39,39,0,93,30,34,0,0,0,151,46,32,59.0,Matches
Federico Dimarco,Inter,it ITA,DF,25,29.5,0,0,0,15,29,6,251,13,26,0,0,0,123,7,12,36.8,Matches
Benjamin Pavard,Inter,fr FRA,DF,27,26.3,7,0,0,28,19,2,31,42,27,0,0,0,87,48,31,60.8,Matches
Carlos Augusto,Inter,br BRA,"DF,FW",24,26.1,2,0,0,26,7,3,64,17,28,0,0,0,100,70,35,66.7,Matches
Stefan de Vrij,Inter,nl NED,DF,31,24.1,1,0,0,12,6,0,0,30,18,0,0,0,118,56,34,62.2,Matches
Denzel Dumfries,Inter,nl NED,DF,27,21.8,3,1,0,32,18,5,57,12,15,0,0,0,69,40,23,63.5,Matches
Davide Frattesi,Inter,it ITA,MF,23,17.6,3,0,0,21,32,2,17,8,15,2,0,0,61,18,22,45.0,Matches
Yann Aurel Bisseck,Inter,de GER,DF,22,13.0,3,0,0,11,14,2,8,7,6,0,0,0,43,21,18,53.8,Matches
Alexis Sánchez,Inter,cl CHI,FW,34,12.5,0,0,0,16,30,11,47,4,10,0,0,0,35,12,23,34.3,Matches
Marko Arnautović,Inter,at AUT,FW,34,12.1,0,0,0,13,21,11,11,6,4,0,0,0,21,8,12,40.0,Matches
Kristjan Asllani,Inter,al ALB,MF,21,12.0,3,0,0,8,22,0,50,14,3,0,0,0,70,4,8,33.3,Matches
Emil Audero,Inter,it ITA,GK,26,6.1,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100.0,Matches
Juan Cuadrado,Inter,co COL,"DF,FW",35,4.2,2,0,0,6,12,1,22,2,3,0,0,0,13,0,0,,Matches
Davy Klaassen,Inter,nl NED,"MF,FW",30,4.0,1,0,0,3,1,1,0,3,3,0,0,0,13,4,2,66.7,Matches
Tajon Buchanan,Inter,ca CAN,"DF,FW",24,1.8,0,0,0,1,6,1,11,0,1,0,0,0,6,0,3,0.0,Matches
Stefano Sensi,Inter,it ITA,MF,27,0.9,0,0,0,0,2,0,1,2,1,0,0,0,3,0,0,,Matches
Raffaele Di Gennaro,Inter,it ITA,GK,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Ebenezer Akinsanmiro,Inter,ng NGA,MF,18,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,Matches
Lucien Agoume,Inter,fr FRA,MF,21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Rodri,Manchester City,es ESP,MF,27,46.3,10,1,0,60,49,6,23,34,63,2,0,0,287,59,27,68.6,Matches
Phil Foden,Manchester City,eng ENG,"FW,MF",23,45.7,3,0,0,20,77,8,134,18,26,0,1,0,153,11,21,34.4,Matches
Kyle Walker,Manchester City,eng ENG,DF,33,43.3,2,0,0,32,24,8,82,34,29,0,0,0,181,31,17,64.6,Matches
Manuel Akanji,Manchester City,ch SUI,"DF,MF",28,42.0,7,1,1,26,33,0,15,32,38,0,0,0,171,32,31,50.8,Matches
Erling Haaland,Manchester City,no NOR,FW,23,41.5,1,0,0,27,41,9,9,2,5,2,0,0,55,50,44,53.2,Matches
Rúben Dias,Manchester City,pt POR,DF,26,41.4,3,0,0,39,22,0,14,44,33,0,1,2,148,66,53,55.5,Matches
Bernardo Silva,Manchester City,pt POR,"FW,MF",28,40.4,9,0,0,34,36,3,108,28,34,0,0,0,120,3,10,23.1,Matches
Ederson,Manchester City,br BRA,GK,29,39.3,5,0,0,2,4,0,0,0,0,0,1,0,62,8,0,100.0,Matches
Joško Gvardiol,Manchester City,hr CRO,DF,21,38.2,5,0,0,31,31,4,40,41,40,1,0,0,181,39,32,54.9,Matches
Julián Álvarez,Manchester City,ar ARG,"MF,FW",23,37.3,5,0,0,26,16,2,182,3,18,2,0,0,105,5,26,16.1,Matches
Nathan Aké,Manchester City,nl NED,"DF,MF",28,32.0,0,0,0,15,25,0,17,15,22,0,0,0,141,52,30,63.4,Matches
Mateo Kovačić,Manchester City,hr CRO,MF,29,28.8,5,0,0,19,29,1,2,19,33,0,0,0,88,5,7,41.7,Matches
Jeremy Doku,Manchester City,be BEL,"FW,MF",21,24.2,4,0,0,21,54,6,84,11,34,2,0,0,94,2,3,40.0,Matches
Jack Grealish,Manchester City,eng ENG,"FW,MF",27,21.5,7,0,0,14,69,2,49,10,12,0,0,0,60,5,5,50.0,Matches
Kevin De Bruyne,Manchester City,be BEL,MF,32,19.4,3,0,0,19,18,3,193,4,14,0,0,0,61,7,5,58.3,Matches
John Stones,Manchester City,eng ENG,"DF,MF",29,19.0,2,0,0,5,8,1,7,14,3,0,0,0,64,21,8,72.4,Matches
Stefan Ortega,Manchester City,de GER,GK,30,18.1,0,0,0,0,1,0,0,0,0,0,0,0,21,1,0,100.0,Matches
Rico Lewis,Manchester City,eng ENG,"MF,DF",18,17.2,1,0,0,14,32,0,7,8,12,0,0,0,65,0,8,0.0,Matches
Matheus Nunes,Manchester City,pt POR,"MF,FW",24,14.1,0,0,0,11,37,3,31,6,8,1,0,0,50,8,14,36.4,Matches
Oscar Bobb,Manchester City,no NOR,"FW,MF",20,8.8,0,0,0,6,12,3,9,5,7,0,0,0,25,1,4,20.0,Matches
Sergio Gómez,Manchester City,es ESP,"DF,FW",22,4.9,0,0,0,4,0,1,25,3,4,0,0,0,12,3,2,60.0,Matches
Kalvin Phillips,Manchester City,eng ENG,MF,27,3.5,2,0,0,11,7,0,2,3,5,0,0,0,14,4,2,66.7,Matches
Micah Hamilton,Manchester City,eng ENG,FW,19,1.4,0,0,0,1,1,2,1,1,1,1,0,0,3,1,1,50.0,Matches
Cole Palmer,Manchester City,eng ENG,MF,21,1.4,0,0,0,3,1,0,5,0,1,0,0,0,0,0,0,,Matches
Jacob Wright,Manchester City,eng ENG,FW,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Mahamadou Susoho,Manchester City,es ESP,MF,18,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Aymeric Laporte,Manchester City,es ESP,DF,29,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
James Mcatee,Manchester City,eng ENG,MF,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
William Saliba,Arsenal,fr FRA,DF,22,50.0,6,0,0,36,20,0,3,37,33,0,2,0,263,92,60,60.5,Matches
Gabriel Magalhães,Arsenal,br BRA,DF,25,48.1,5,0,0,50,41,3,4,39,39,0,0,1,182,93,76,55.0,Matches
Declan Rice,Arsenal,eng ENG,MF,24,47.4,7,0,0,41,22,2,77,58,65,0,2,0,232,50,50,50.0,Matches
Ben White,Arsenal,eng ENG,DF,25,45.3,11,0,0,30,16,12,68,44,34,0,0,1,145,45,26,63.4,Matches
Martin Ødegaard,Arsenal,no NOR,MF,24,44.9,2,0,0,36,49,4,95,22,23,1,0,0,188,4,11,26.7,Matches
Bukayo Saka,Arsenal,eng ENG,FW,21,42.7,4,0,0,51,96,11,221,17,48,1,0,0,187,26,41,38.8,Matches
Kai Havertz,Arsenal,de GER,"MF,FW",24,42.4,14,0,0,82,63,21,18,24,21,1,0,0,149,128,122,51.2,Matches
David Raya,Arsenal,es ESP,GK,27,41.3,2,0,0,0,4,0,0,0,1,0,0,0,50,7,2,77.8,Matches
Gabriel Martinelli,Arsenal,br BRA,FW,22,29.2,1,0,0,33,30,9,138,8,27,0,0,0,120,18,29,38.3,Matches
Leandro Trossard,Arsenal,be BEL,FW,28,25.2,2,0,0,23,31,10,74,11,18,1,0,0,100,6,12,33.3,Matches
Oleksandr Zinchenko,Arsenal,ua UKR,DF,26,23.1,3,0,0,8,11,1,31,24,34,0,0,0,123,28,18,60.9,Matches
Gabriel Jesus,Arsenal,br BRA,FW,26,21.2,8,0,0,34,38,17,10,14,22,1,0,0,80,24,48,33.3,Matches
Jorginho,Arsenal,it ITA,MF,31,18.7,2,0,0,21,33,0,4,24,26,0,0,0,71,12,12,50.0,Matches
Takehiro Tomiyasu,Arsenal,jp JPN,DF,24,18.5,2,1,1,18,10,1,19,20,12,0,0,0,68,28,25,52.8,Matches
Jakub Kiwior,Arsenal,pl POL,DF,23,17.7,2,0,0,20,4,0,14,13,17,0,0,1,45,20,11,64.5,Matches
Eddie Nketiah,Arsenal,eng ENG,FW,24,15.6,4,0,0,35,33,8,6,5,8,2,0,0,30,24,27,47.1,Matches
Aaron Ramsdale,Arsenal,eng ENG,GK,25,11.0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,,Matches
Thomas Partey,Arsenal,gh GHA,MF,30,9.8,5,0,0,12,9,0,2,11,13,0,0,0,57,7,8,46.7,Matches
Reiss Nelson,Arsenal,eng ENG,FW,23,7.2,1,0,0,8,14,1,27,5,9,0,0,0,30,1,6,14.3,Matches
Emile Smith Rowe,Arsenal,eng ENG,MF,23,5.4,0,0,0,6,3,0,2,6,4,0,0,0,22,3,6,33.3,Matches
Fabio Vieira,Arsenal,pt POR,FW,23,5.3,0,1,0,12,16,2,24,2,2,2,0,0,25,3,1,75.0,Matches
Jurriën Timber,Arsenal,nl NED,DF,22,1.6,2,0,0,3,1,1,1,2,2,0,0,0,4,1,1,50.0,Matches
Cédric Soares,Arsenal,pt POR,DF,31,1.4,0,0,0,0,1,0,7,0,0,0,0,0,6,0,1,0.0,Matches
Mohamed Elneny,Arsenal,eg EGY,MF,31,1.1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,50.0,Matches
Charles Sagoe Jr,Arsenal,eng ENG,FW,19,0.7,0,0,0,0,0,0,2,0,0,,,0,,,,,Matches
Kieran Tierney,Arsenal,sct SCO,"DF,MF",26,0.2,0,0,0,0,0,,1,0,0,,,,,,,,Matches
Ethan Nwaneri,Arsenal,eng ENG,MF,16,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Kylian Mbappé,Paris S-G,fr FRA,FW,24,43.0,5,0,0,34,58,45,51,9,3,2,0,0,67,4,11,26.7,Matches
Gianluigi Donnarumma,Paris S-G,it ITA,GK,24,41.1,5,1,0,2,2,0,0,1,2,0,1,0,50,5,2,71.4,Matches
Vitinha,Paris S-G,pt POR,MF,23,39.5,3,0,0,40,24,2,61,44,41,0,0,0,227,7,13,35.0,Matches
Warren Zaïre-Emery,Paris S-G,fr FRA,MF,17,36.9,5,0,0,38,46,2,14,25,40,0,1,0,169,12,27,30.8,Matches
Achraf Hakimi,Paris S-G,ma MAR,DF,24,36.4,7,0,0,40,40,4,120,26,39,0,1,0,220,19,27,41.3,Matches
Lucas Hernández,Paris S-G,fr FRA,DF,27,33.6,9,0,0,37,52,1,27,32,48,1,0,0,168,30,28,51.7,Matches
Marquinhos,Paris S-G,br BRA,DF,29,31.9,3,0,0,11,8,2,1,33,23,0,0,0,143,42,38,52.5,Matches
Ousmane Dembélé,Paris S-G,fr FRA,"FW,MF",26,31.6,7,0,0,21,49,8,206,12,26,2,0,0,93,6,12,33.3,Matches
Manuel Ugarte Ribeiro,Paris S-G,uy URU,MF,22,27.2,7,0,0,59,39,0,5,48,64,1,0,0,210,17,18,48.6,Matches
Danilo Pereira,Paris S-G,pt POR,DF,31,27.2,2,0,0,17,14,1,1,27,18,0,2,0,135,51,30,63.0,Matches
Milan Škriniar,Paris S-G,sk SVK,DF,28,25.0,3,0,0,20,16,1,1,17,26,0,0,0,147,33,40,45.2,Matches
Fabián Ruiz Peña,Paris S-G,es ESP,MF,27,24.8,5,0,0,15,20,1,21,21,33,0,0,0,128,9,11,45.0,Matches
Bradley Barcola,Paris S-G,fr FRA,"FW,DF",20,23.2,3,1,1,31,18,9,31,15,29,0,0,0,71,13,15,46.4,Matches
Lee Kang-in,Paris S-G,kr KOR,"MF,FW",22,23.1,3,0,0,25,35,2,131,10,21,0,0,0,80,5,17,22.7,Matches
Randal Kolo Muani,Paris S-G,fr FRA,"FW,MF",24,21.7,2,0,0,44,38,9,11,5,11,2,0,0,54,21,19,52.5,Matches
Gonçalo Ramos,Paris S-G,pt POR,FW,22,20.9,2,0,0,25,31,5,3,5,18,2,0,0,52,30,27,52.6,Matches
Lucas Beraldo,Paris S-G,br BRA,DF,19,20.4,6,1,0,25,23,0,3,29,27,0,0,0,86,30,22,57.7,Matches
Marco Asensio,Paris S-G,es ESP,"FW,MF",27,16.4,0,0,0,10,13,0,67,7,13,0,0,0,49,2,5,28.6,Matches
Carlos Soler,Paris S-G,es ESP,"MF,FW",26,14.2,1,0,0,11,12,1,28,8,10,0,0,0,55,6,6,50.0,Matches
Nordi Mukiele,Paris S-G,fr FRA,DF,25,10.5,2,0,0,15,14,5,5,14,10,0,0,0,54,27,9,75.0,Matches
Nuno Mendes,Paris S-G,pt POR,DF,21,10.5,4,0,0,14,4,0,26,15,16,0,0,0,48,7,5,58.3,Matches
Keylor Navas,Paris S-G,cr CRC,GK,36,6.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
Arnau Tenas,Paris S-G,es ESP,GK,22,5.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
Yoram Zague,Paris S-G,fr FRA,DF,17,4.1,1,0,0,5,3,0,2,4,8,0,0,0,25,0,8,0.0,Matches
Senny Mayulu,Paris S-G,fr FRA,MF,17,3.9,0,0,0,8,4,1,13,3,8,0,0,0,21,0,0,,Matches
Cher Ndour,Paris S-G,it ITA,MF,19,1.3,1,0,0,3,0,0,0,0,3,0,0,0,5,0,3,0.0,Matches
Ethan Mbappé,Paris S-G,fr FRA,MF,16,1.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches
Hugo Ekitike,Paris S-G,fr FRA,FW,21,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Layvin Kurzawa,Paris S-G,fr FRA,DF,30,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
İlkay Gündoğan,Barcelona,de GER,MF,32,46.4,6,0,0,24,59,7,215,28,30,1,0,0,231,10,21,32.3,Matches
Jules Koundé,Barcelona,fr FRA,DF,24,45.5,5,0,0,32,30,3,44,43,37,0,0,0,194,93,55,62.8,Matches
Robert Lewandowski,Barcelona,pl POL,FW,34,42.1,6,0,0,37,74,31,19,9,12,1,0,0,79,76,74,50.7,Matches
João Cancelo,Barcelona,pt POR,DF,29,36.8,8,0,0,52,33,4,108,48,66,0,1,0,212,32,33,49.2,Matches
Marc-André ter Stegen,Barcelona,de GER,GK,31,36.0,3,0,0,0,1,0,0,0,0,0,0,0,72,5,0,100.0,Matches
Ronald Araújo,Barcelona,uy URU,DF,24,33.6,10,2,1,34,15,0,9,21,38,0,1,0,130,73,27,73.0,Matches
Lamine Yamal,Barcelona,es ESP,FW,16,32.9,6,0,0,35,62,5,112,28,51,2,0,0,142,3,16,15.8,Matches
Andreas Christensen,Barcelona,dk DEN,"DF,MF",27,30.8,8,0,0,34,17,0,0,32,25,0,0,0,127,66,31,68.0,Matches
Frenkie de Jong,Barcelona,nl NED,MF,26,27.9,10,0,0,33,36,1,28,23,31,0,0,0,135,25,18,58.1,Matches
João Félix,Barcelona,pt POR,FW,23,23.8,5,0,0,27,67,11,31,11,19,0,0,0,82,10,8,55.6,Matches
Pedri,Barcelona,es ESP,"MF,FW",20,22.5,3,0,0,13,32,1,14,17,34,0,0,0,105,3,8,27.3,Matches
Alejandro Balde,Barcelona,es ESP,DF,19,22.2,2,0,0,14,26,4,65,6,16,0,0,0,89,14,14,50.0,Matches
Ferrán Torres,Barcelona,es ESP,FW,23,22.2,5,0,0,12,25,21,52,5,10,1,0,0,46,8,14,36.4,Matches
Raphinha,Barcelona,br BRA,FW,26,21.6,5,1,0,22,41,7,108,15,17,1,0,0,99,10,8,55.6,Matches
Pau Cubarsí,Barcelona,es ESP,DF,16,21.4,6,0,0,17,2,0,1,14,23,0,1,0,73,33,28,54.1,Matches
Fermin López,Barcelona,es ESP,MF,20,21.2,4,0,0,53,27,11,19,6,30,0,0,0,91,11,27,28.9,Matches
Iñigo Martínez,Barcelona,es ESP,DF,32,18.1,7,0,0,15,13,1,5,14,8,0,0,0,78,39,31,55.7,Matches
Iñaki Peña ,Barcelona,es ESP,GK,24,17.3,0,0,0,0,1,0,0,0,0,0,0,0,15,5,0,100.0,Matches
Oriol Romeu,Barcelona,es ESP,MF,31,16.0,4,0,0,20,21,0,8,12,28,0,0,0,86,18,22,45.0,Matches
Sergi Roberto,Barcelona,es ESP,MF,31,14.6,9,0,0,17,14,1,16,9,14,0,0,0,52,15,12,55.6,Matches
Gavi,Barcelona,es ESP,MF,18,13.0,8,1,1,39,26,4,9,9,23,0,0,0,57,14,28,33.3,Matches
Héctor Fort,Barcelona,es ESP,DF,16,6.3,1,0,0,13,3,1,10,3,9,0,0,0,17,0,3,0.0,Matches
Marcos Alonso,Barcelona,es ESP,"DF,FW",32,4.3,0,0,0,10,7,0,22,6,3,0,0,0,22,3,5,37.5,Matches
Vitor Roque,Barcelona,br BRA,FW,18,4.0,4,1,1,13,12,2,3,1,2,0,0,0,8,3,6,33.3,Matches
Marc Guiu,Barcelona,es ESP,FW,17,2.1,2,0,0,4,5,1,0,0,0,0,0,0,1,1,4,20.0,Matches
Abde Ezzalzouli,Barcelona,ma MAR,"FW,MF",21,0.8,0,0,0,1,3,0,7,0,1,0,0,0,2,1,2,33.3,Matches
Eric García,Barcelona,es ESP,DF,22,0.6,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
Ansu Fati,Barcelona,es ESP,"MF,FW",20,0.6,0,0,0,0,4,1,0,0,0,0,0,0,2,1,1,50.0,Matches
Marc Casado,Barcelona,es ESP,MF,19,0.4,0,0,0,0,3,0,1,2,1,0,0,0,3,0,0,,Matches
Virgil van Dijk,Liverpool,nl NED,DF,32,45.3,4,1,0,28,14,1,0,48,28,0,0,0,192,156,35,81.7,Matches
Luis Díaz,Liverpool,co COL,FW,26,40.0,3,0,0,67,59,25,33,6,31,2,0,0,141,28,66,29.8,Matches
Alexis Mac Allister,Liverpool,ar ARG,MF,24,38.7,9,1,0,72,67,1,49,45,69,1,0,0,226,32,31,50.8,Matches
Joe Gomez,Liverpool,eng ENG,DF,26,34.9,7,0,0,37,22,0,64,38,51,0,0,0,150,48,12,80.0,Matches
Mohamed Salah,Liverpool,eg EGY,FW,31,34.8,2,0,0,13,30,25,53,3,11,1,0,0,97,7,15,31.8,Matches
Darwin Núñez,Liverpool,uy URU,FW,24,33.7,11,0,0,39,21,45,27,4,24,1,0,0,66,41,70,36.9,Matches
Cody Gakpo,Liverpool,nl NED,"FW,MF",24,33.5,2,0,0,46,63,14,55,18,26,1,0,0,102,38,34,52.8,Matches
