Player Name,Club Name,Pass Types,Corner Kicks,Outcomes,,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out
Aurélien Tchouaméni,Real Madrid,fr FRA,"MF,DF",23,31.2,1937,1872,59,55,1,8,28,2,0,0,0,0,1761,6,10,Matches
Luka Modrić,Real Madrid,hr CRO,MF,37,25.0,2097,1891,198,78,7,32,135,13,96,23,52,0,1825,8,25,Matches
Joselu,Real Madrid,es ESP,FW,33,23.6,442,421,18,0,2,1,8,3,0,0,0,0,321,3,10,Matches
Brahim Díaz,Real Madrid,ma MAR,"MF,FW",23,23.0,888,846,35,9,8,3,50,6,8,3,2,0,740,7,16,Matches
Lucas Vázquez,Real Madrid,es ESP,DF,32,19.9,1412,1246,164,13,5,8,67,149,2,0,1,0,1210,2,25,Matches
Kepa Arrizabalaga,Real Madrid,es ESP,GK,28,19.6,598,490,108,19,0,1,0,0,0,0,0,0,514,0,1,Matches
Fran Garcia,Real Madrid,es ESP,DF,23,18.8,1181,1033,145,7,2,4,76,138,0,0,0,0,1006,3,26,Matches
David Alaba,Real Madrid,at AUT,DF,31,15.6,1116,1036,76,24,4,8,24,12,15,9,3,0,1000,4,4,Matches
Dani Ceballos,Real Madrid,es ESP,MF,26,9.7,685,660,24,12,5,6,21,6,6,1,2,0,613,1,12,Matches
Éder Militão,Real Madrid,br BRA,DF,25,5.7,334,312,21,10,0,8,1,2,0,0,0,0,301,1,2,Matches
Arda Güler,Real Madrid,tr TUR,MF,18,4.9,218,205,13,4,0,3,17,2,6,5,0,0,183,0,4,Matches
Thibaut Courtois,Real Madrid,be BEL,GK,31,4.7,146,123,23,3,0,1,0,0,0,0,0,0,132,0,0,Matches
Nicolás Paz,Real Madrid,ar ARG,MF,18,1.5,50,47,2,0,0,0,2,0,2,2,0,0,40,1,1,Matches
Álvaro Carrillo,Real Madrid,es ESP,DF,21,1.0,,,,,,,1,,,,,,,,,Matches
Vinicius Tobias,Real Madrid,br BRA,DF,19,0.9,,,,,,,2,,,,,,,,,Matches
Mario Martín,Real Madrid,es ESP,MF,19,0.4,15,14,1,1,0,0,0,0,0,0,0,0,12,0,0,Matches
Gonzalo García,Real Madrid,es ESP,MF,19,0.2,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Álvaro Muñoz,Real Madrid,uy URU,FW,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yann Sommer,Inter,ch SUI,GK,34,43.3,1556,1265,289,49,0,1,0,0,0,0,0,0,1348,2,0,Matches
Henrikh Mkhitaryan,Inter,am ARM,MF,34,38.9,1936,1907,25,17,8,16,36,8,0,0,0,0,1670,4,50,Matches
Nicolò Barella,Inter,it ITA,MF,26,38.8,2511,2452,47,21,15,30,71,24,2,0,1,0,2115,12,47,Matches
Lautaro Martínez,Inter,ar ARG,FW,25,38.3,891,836,49,4,13,4,20,1,0,0,0,0,685,6,32,Matches
Marcus Thuram,Inter,fr FRA,FW,25,37.2,757,739,16,0,4,4,24,1,0,0,0,0,547,2,25,Matches
Hakan Çalhanoğlu,Inter,tr TUR,MF,29,35.9,2753,2485,258,123,6,42,186,8,126,56,52,1,2421,10,24,Matches
Matteo Darmian,Inter,it ITA,"DF,FW",33,34.6,1650,1465,182,21,5,12,35,161,0,0,0,0,1392,3,44,Matches
Francesco Acerbi,Inter,it ITA,DF,35,34.6,2085,2007,76,53,0,13,15,9,0,0,0,0,1876,2,8,Matches
Alessandro Bastoni,Inter,it ITA,DF,24,32.3,2336,2146,178,75,3,32,93,91,0,0,0,0,2010,12,42,Matches
Federico Dimarco,Inter,it ITA,DF,25,29.5,1548,1304,237,32,1,8,251,141,64,23,30,0,1190,7,44,Matches
Benjamin Pavard,Inter,fr FRA,DF,27,26.3,1679,1599,77,40,0,3,31,37,0,0,0,0,1501,3,14,Matches
Carlos Augusto,Inter,br BRA,"DF,FW",24,26.1,1373,1213,150,16,0,4,64,127,1,1,0,0,1124,10,34,Matches
Stefan de Vrij,Inter,nl NED,DF,31,24.1,1432,1404,27,21,1,0,0,1,0,0,0,0,1327,1,2,Matches
Denzel Dumfries,Inter,nl NED,DF,27,21.8,926,753,168,5,0,2,57,163,0,0,0,0,701,5,20,Matches
Davide Frattesi,Inter,it ITA,MF,23,17.6,432,420,11,9,3,2,17,2,0,0,0,0,336,1,14,Matches
Yann Aurel Bisseck,Inter,de GER,DF,22,13.0,800,769,31,23,1,4,8,8,0,0,0,0,737,0,12,Matches
Alexis Sánchez,Inter,cl CHI,FW,34,12.5,472,426,43,7,5,7,47,0,28,12,11,0,348,3,16,Matches
Marko Arnautović,Inter,at AUT,FW,34,12.1,306,296,8,0,3,1,11,0,0,0,0,0,226,2,11,Matches
Kristjan Asllani,Inter,al ALB,MF,21,12.0,900,830,66,30,2,9,50,1,35,13,12,0,803,4,8,Matches
Emil Audero,Inter,it ITA,GK,26,6.1,234,204,28,3,0,0,0,0,0,0,0,0,201,2,1,Matches
Juan Cuadrado,Inter,co COL,"DF,FW",35,4.2,241,211,30,4,1,8,22,26,0,0,0,0,202,0,0,Matches
Davy Klaassen,Inter,nl NED,"MF,FW",30,4.0,130,128,2,1,0,1,0,1,0,0,0,0,111,0,3,Matches
Tajon Buchanan,Inter,ca CAN,"DF,FW",24,1.8,72,70,2,0,0,0,11,2,0,0,0,0,58,0,3,Matches
Stefano Sensi,Inter,it ITA,MF,27,0.9,52,49,3,1,1,1,1,0,2,0,1,0,47,0,1,Matches
Raffaele Di Gennaro,Inter,it ITA,GK,29,0.3,17,15,1,0,0,0,0,0,0,0,0,0,15,1,0,Matches
Ebenezer Akinsanmiro,Inter,ng NGA,MF,18,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
Lucien Agoume,Inter,fr FRA,MF,21,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Rodri,Manchester City,es ESP,MF,27,46.3,4588,4492,89,79,17,46,23,6,3,0,0,0,4216,7,27,Matches
Phil Foden,Manchester City,eng ENG,"FW,MF",23,45.7,2222,2127,91,21,21,7,134,4,55,28,17,0,1909,4,60,Matches
Kyle Walker,Manchester City,eng ENG,DF,33,43.3,2920,2628,291,41,6,23,82,250,0,0,0,0,2593,1,37,Matches
Manuel Akanji,Manchester City,ch SUI,"DF,MF",28,42.0,2986,2880,103,53,5,18,15,37,0,0,0,0,2798,3,11,Matches
Erling Haaland,Manchester City,no NOR,FW,23,41.5,477,460,16,1,4,0,9,1,0,0,0,0,365,1,19,Matches
Rúben Dias,Manchester City,pt POR,DF,26,41.4,3567,3473,91,67,2,8,14,15,0,0,0,0,3362,3,11,Matches
Bernardo Silva,Manchester City,pt POR,"FW,MF",28,40.4,2296,2171,119,42,2,8,108,35,23,10,0,0,1990,6,40,Matches
Ederson,Manchester City,br BRA,GK,29,39.3,1483,1293,190,53,0,13,0,0,0,0,0,0,1313,0,1,Matches
Joško Gvardiol,Manchester City,hr CRO,DF,21,38.2,2540,2319,217,31,3,13,40,186,0,0,0,0,2253,4,43,Matches
Julián Álvarez,Manchester City,ar ARG,"MF,FW",23,37.3,1442,1228,210,29,11,2,182,8,147,50,41,2,1168,4,28,Matches
Nathan Aké,Manchester City,nl NED,"DF,MF",28,32.0,2286,2150,134,41,1,4,17,88,0,0,0,0,2122,2,16,Matches
Mateo Kovačić,Manchester City,hr CRO,MF,29,28.8,1879,1832,45,29,6,2,2,3,1,0,0,0,1760,2,15,Matches
Jeremy Doku,Manchester City,be BEL,"FW,MF",21,24.2,1036,1022,14,3,2,3,84,8,3,0,0,0,852,0,40,Matches
Jack Grealish,Manchester City,eng ENG,"FW,MF",27,21.5,875,830,42,13,4,3,49,14,15,6,1,1,750,3,34,Matches
Kevin De Bruyne,Manchester City,be BEL,MF,32,19.4,1134,976,149,24,11,7,193,28,88,36,23,5,846,9,34,Matches
John Stones,Manchester City,eng ENG,"DF,MF",29,19.0,1146,1123,23,16,0,8,7,4,0,0,0,0,1073,0,7,Matches
Stefan Ortega,Manchester City,de GER,GK,30,18.1,439,395,43,11,0,0,0,0,0,0,0,0,356,1,1,Matches
Rico Lewis,Manchester City,eng ENG,"MF,DF",18,17.2,935,869,66,13,4,2,7,52,0,0,0,0,859,0,16,Matches
Matheus Nunes,Manchester City,pt POR,"MF,FW",24,14.1,766,735,30,13,6,1,31,5,10,2,4,1,667,1,15,Matches
Oscar Bobb,Manchester City,no NOR,"FW,MF",20,8.8,276,265,11,4,3,0,9,5,2,0,0,0,242,0,6,Matches
Sergio Gómez,Manchester City,es ESP,"DF,FW",22,4.9,246,229,16,2,1,0,25,11,3,1,2,0,216,1,6,Matches
Kalvin Phillips,Manchester City,eng ENG,MF,27,3.5,187,178,9,9,0,0,2,0,0,0,0,0,169,0,3,Matches
Micah Hamilton,Manchester City,eng ENG,FW,19,1.4,33,33,0,0,0,0,1,0,0,0,0,0,30,0,0,Matches
Cole Palmer,Manchester City,eng ENG,MF,21,1.4,5,5,0,0,0,0,5,0,0,0,0,0,4,0,0,Matches
Jacob Wright,Manchester City,eng ENG,FW,17,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Mahamadou Susoho,Manchester City,es ESP,MF,18,0.2,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
Aymeric Laporte,Manchester City,es ESP,DF,29,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
James Mcatee,Manchester City,eng ENG,MF,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
William Saliba,Arsenal,fr FRA,DF,22,50.0,3635,3561,71,46,4,4,3,8,0,0,0,0,3335,3,17,Matches
Gabriel Magalhães,Arsenal,br BRA,DF,25,48.1,2863,2704,153,64,2,6,4,5,0,0,0,0,2555,6,28,Matches
Declan Rice,Arsenal,eng ENG,MF,24,47.4,2910,2760,137,67,2,26,77,3,54,43,1,1,2573,13,33,Matches
Ben White,Arsenal,eng ENG,DF,25,45.3,2707,2362,341,57,5,15,68,284,0,0,0,0,2281,4,28,Matches
Martin Ødegaard,Arsenal,no NOR,MF,24,44.9,2402,2254,130,70,42,7,95,15,31,23,4,0,2034,18,44,Matches
Bukayo Saka,Arsenal,eng ENG,FW,21,42.7,1788,1611,166,12,7,5,221,15,139,118,0,0,1353,11,60,Matches
Kai Havertz,Arsenal,de GER,"MF,FW",24,42.4,1200,1178,17,3,2,0,18,9,0,0,0,0,969,5,20,Matches
David Raya,Arsenal,es ESP,GK,27,41.3,1366,1148,215,86,0,2,0,0,0,0,0,0,1030,3,2,Matches
Gabriel Martinelli,Arsenal,br BRA,FW,22,29.2,1098,1033,63,5,3,4,138,16,42,36,0,0,853,2,33,Matches
Leandro Trossard,Arsenal,be BEL,FW,28,25.2,833,778,53,8,10,3,74,8,27,23,1,0,615,2,40,Matches
Oleksandr Zinchenko,Arsenal,ua UKR,DF,26,23.1,1825,1622,195,54,12,7,31,141,0,0,0,0,1605,8,18,Matches
Gabriel Jesus,Arsenal,br BRA,FW,26,21.2,643,604,31,2,9,2,10,7,0,0,0,0,508,8,21,Matches
Jorginho,Arsenal,it ITA,MF,31,18.7,1127,1084,33,28,6,2,4,1,0,0,0,0,1000,10,8,Matches
Takehiro Tomiyasu,Arsenal,jp JPN,DF,24,18.5,942,825,115,9,2,3,19,106,0,0,0,0,777,2,14,Matches
Jakub Kiwior,Arsenal,pl POL,DF,23,17.7,826,715,109,11,1,1,14,98,0,0,0,0,688,2,4,Matches
Eddie Nketiah,Arsenal,eng ENG,FW,24,15.6,257,239,18,0,3,0,6,1,0,0,0,0,202,0,12,Matches
Aaron Ramsdale,Arsenal,eng ENG,GK,25,11.0,226,182,44,17,0,0,0,0,0,0,0,0,163,0,2,Matches
Thomas Partey,Arsenal,gh GHA,MF,30,9.8,646,619,24,14,3,3,2,10,0,0,0,0,578,3,3,Matches
Reiss Nelson,Arsenal,eng ENG,FW,23,7.2,235,218,17,4,0,1,27,3,10,6,2,0,214,0,5,Matches
Emile Smith Rowe,Arsenal,eng ENG,MF,23,5.4,252,246,6,3,0,1,2,1,1,0,0,0,222,0,2,Matches
Fabio Vieira,Arsenal,pt POR,FW,23,5.3,203,187,14,4,3,3,24,0,9,4,0,0,165,2,1,Matches
Jurriën Timber,Arsenal,nl NED,DF,22,1.6,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2,Matches
Cédric Soares,Arsenal,pt POR,DF,31,1.4,105,88,17,3,0,1,7,14,0,0,0,0,86,0,2,Matches
Mohamed Elneny,Arsenal,eg EGY,MF,31,1.1,65,63,2,2,0,0,0,0,0,0,0,0,60,0,1,Matches
Charles Sagoe Jr,Arsenal,eng ENG,FW,19,0.7,,,,,,,2,,,,,,,,,Matches
Kieran Tierney,Arsenal,sct SCO,"DF,MF",26,0.2,,,,,,,1,,,,,,,,,Matches
Ethan Nwaneri,Arsenal,eng ENG,MF,16,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Kylian Mbappé,Paris S-G,fr FRA,FW,24,43.0,1360,1305,48,8,16,14,51,12,15,0,0,0,1119,7,34,Matches
Gianluigi Donnarumma,Paris S-G,it ITA,GK,24,41.1,1127,868,258,55,0,0,0,1,0,0,0,0,991,1,0,Matches
Vitinha,Paris S-G,pt POR,MF,23,39.5,2585,2442,137,65,9,19,61,12,30,11,8,0,2338,6,31,Matches
Warren Zaïre-Emery,Paris S-G,fr FRA,MF,17,36.9,1941,1862,72,23,3,11,14,40,0,0,0,0,1780,7,31,Matches
Achraf Hakimi,Paris S-G,ma MAR,DF,24,36.4,2953,2606,337,43,4,9,120,278,16,1,7,0,2533,10,66,Matches
Lucas Hernández,Paris S-G,fr FRA,DF,27,33.6,2542,2307,227,53,1,21,27,174,0,0,0,0,2275,8,29,Matches
Marquinhos,Paris S-G,br BRA,DF,29,31.9,2614,2530,79,45,5,6,1,29,0,0,0,0,2438,5,7,Matches
Ousmane Dembélé,Paris S-G,fr FRA,"FW,MF",26,31.6,1630,1494,125,19,15,5,206,7,97,15,34,0,1195,11,53,Matches
Manuel Ugarte Ribeiro,Paris S-G,uy URU,MF,22,27.2,1584,1563,19,17,3,8,5,2,0,0,0,0,1444,2,14,Matches
Danilo Pereira,Paris S-G,pt POR,DF,31,27.2,2358,2315,40,34,2,4,1,5,0,0,0,0,2217,3,2,Matches
Milan Škriniar,Paris S-G,sk SVK,DF,28,25.0,2319,2253,64,39,0,6,1,7,0,0,0,0,2202,2,3,Matches
Fabián Ruiz Peña,Paris S-G,es ESP,MF,27,24.8,1296,1253,42,23,5,6,21,9,4,2,0,0,1157,1,20,Matches
Bradley Barcola,Paris S-G,fr FRA,"FW,DF",20,23.2,749,734,11,2,4,2,31,8,1,1,0,0,584,4,20,Matches
Lee Kang-in,Paris S-G,kr KOR,"MF,FW",22,23.1,1283,1146,131,29,3,5,131,11,84,32,27,0,1065,6,18,Matches
Randal Kolo Muani,Paris S-G,fr FRA,"FW,MF",24,21.7,473,468,4,0,3,0,11,0,0,0,0,0,339,1,28,Matches
Gonçalo Ramos,Paris S-G,pt POR,FW,22,20.9,464,450,13,1,4,0,3,1,0,0,0,0,362,1,14,Matches
Lucas Beraldo,Paris S-G,br BRA,DF,19,20.4,1312,1240,70,28,1,4,3,41,0,0,0,0,1170,2,15,Matches
Marco Asensio,Paris S-G,es ESP,"FW,MF",27,16.4,715,655,57,10,7,7,67,8,31,11,10,0,595,3,15,Matches
Carlos Soler,Paris S-G,es ESP,"MF,FW",26,14.2,784,738,44,17,4,2,28,19,6,1,1,0,672,2,18,Matches
Nordi Mukiele,Paris S-G,fr FRA,DF,25,10.5,618,559,59,14,1,5,5,45,0,0,0,0,522,0,16,Matches
Nuno Mendes,Paris S-G,pt POR,DF,21,10.5,561,489,70,5,1,3,26,65,0,0,0,0,467,2,16,Matches
Keylor Navas,Paris S-G,cr CRC,GK,36,6.0,98,78,20,2,0,0,0,0,0,0,0,0,91,0,0,Matches
Arnau Tenas,Paris S-G,es ESP,GK,22,5.9,211,169,42,5,1,0,0,0,0,0,0,0,173,0,0,Matches
Yoram Zague,Paris S-G,fr FRA,DF,17,4.1,334,307,26,2,0,0,2,24,0,0,0,0,304,1,4,Matches
Senny Mayulu,Paris S-G,fr FRA,MF,17,3.9,175,172,3,0,2,0,13,1,2,0,0,0,145,0,5,Matches
Cher Ndour,Paris S-G,it ITA,MF,19,1.3,25,25,0,0,0,0,0,0,0,0,0,0,23,0,0,Matches
Ethan Mbappé,Paris S-G,fr FRA,MF,16,1.0,46,44,2,0,0,0,1,2,0,0,0,0,42,0,0,Matches
Hugo Ekitike,Paris S-G,fr FRA,FW,21,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
Layvin Kurzawa,Paris S-G,fr FRA,DF,30,0.1,13,11,2,1,0,0,0,1,0,0,0,0,13,0,0,Matches
İlkay Gündoğan,Barcelona,de GER,MF,32,46.4,3111,2759,340,113,22,22,215,5,180,76,63,1,2684,12,38,Matches
Jules Koundé,Barcelona,fr FRA,DF,24,45.5,3299,2976,315,80,2,37,44,223,0,0,0,0,2954,8,36,Matches
Robert Lewandowski,Barcelona,pl POL,FW,34,42.1,761,735,19,2,9,5,19,1,0,0,0,0,537,7,30,Matches
João Cancelo,Barcelona,pt POR,DF,29,36.8,2449,2118,318,47,6,32,108,271,0,0,0,0,2048,13,54,Matches
Marc-André ter Stegen,Barcelona,de GER,GK,31,36.0,1328,1071,255,60,0,1,0,0,0,0,0,0,1163,2,2,Matches
Ronald Araújo,Barcelona,uy URU,DF,24,33.6,2079,1944,124,62,4,19,9,45,0,0,0,0,1835,11,8,Matches
Lamine Yamal,Barcelona,es ESP,FW,16,32.9,1397,1354,38,5,8,8,112,15,18,6,4,1,1104,5,29,Matches
Andreas Christensen,Barcelona,dk DEN,"DF,MF",27,30.8,1912,1844,68,49,0,5,0,9,0,0,0,0,1804,0,11,Matches
Frenkie de Jong,Barcelona,nl NED,MF,26,27.9,1942,1878,59,50,12,8,28,6,1,1,0,0,1785,5,15,Matches
João Félix,Barcelona,pt POR,FW,23,23.8,829,793,28,5,10,8,31,15,8,4,0,0,658,8,17,Matches
Pedri,Barcelona,es ESP,"MF,FW",20,22.5,1366,1308,51,25,13,5,14,12,4,0,2,0,1182,7,28,Matches
Alejandro Balde,Barcelona,es ESP,DF,19,22.2,1072,918,153,16,1,5,65,137,0,0,0,0,913,1,24,Matches
Ferrán Torres,Barcelona,es ESP,FW,23,22.2,609,571,32,1,3,6,52,6,15,2,5,0,467,6,24,Matches
Raphinha,Barcelona,br BRA,FW,26,21.6,878,767,105,24,6,13,108,21,58,24,21,0,656,6,26,Matches
Pau Cubarsí,Barcelona,es ESP,DF,16,21.4,1632,1577,52,39,2,13,1,3,0,0,0,0,1485,3,8,Matches
Fermin López,Barcelona,es ESP,MF,20,21.2,767,746,16,3,3,12,19,3,1,0,0,0,636,5,21,Matches
Iñigo Martínez,Barcelona,es ESP,DF,32,18.1,1341,1283,55,34,4,28,5,9,0,0,0,0,1181,3,4,Matches
Iñaki Peña ,Barcelona,es ESP,GK,24,17.3,369,279,90,30,0,0,0,0,0,0,0,0,323,0,0,Matches
Oriol Romeu,Barcelona,es ESP,MF,31,16.0,1049,1031,18,17,5,9,8,1,0,0,0,0,934,0,12,Matches
Sergi Roberto,Barcelona,es ESP,MF,31,14.6,793,755,33,12,0,1,16,12,0,0,0,0,703,5,12,Matches
Gavi,Barcelona,es ESP,MF,18,13.0,670,636,33,19,3,6,9,10,0,0,0,0,608,1,10,Matches
Héctor Fort,Barcelona,es ESP,DF,16,6.3,266,234,32,6,0,2,10,26,0,0,0,0,235,0,2,Matches
Marcos Alonso,Barcelona,es ESP,"DF,FW",32,4.3,308,251,56,15,0,4,22,35,6,2,2,0,259,1,6,Matches
Vitor Roque,Barcelona,br BRA,FW,18,4.0,67,65,1,0,0,0,3,0,0,0,0,0,49,1,6,Matches
Marc Guiu,Barcelona,es ESP,FW,17,2.1,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Abde Ezzalzouli,Barcelona,ma MAR,"FW,MF",21,0.8,37,32,5,0,0,0,7,4,1,1,0,0,23,0,1,Matches
Eric García,Barcelona,es ESP,DF,22,0.6,48,42,6,2,0,2,0,4,0,0,0,0,46,0,0,Matches
Ansu Fati,Barcelona,es ESP,"MF,FW",20,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0,Matches
Marc Casado,Barcelona,es ESP,MF,19,0.4,29,29,0,0,0,1,1,0,0,0,0,0,23,0,0,Matches
Virgil van Dijk,Liverpool,nl NED,DF,32,45.3,3227,3023,202,99,0,25,0,14,0,0,0,0,2947,2,7,Matches
Luis Díaz,Liverpool,co COL,FW,26,40.0,1267,1228,33,5,6,14,33,27,0,0,0,0,1062,6,32,Matches
Alexis Mac Allister,Liverpool,ar ARG,MF,24,38.7,2268,2184,77,50,16,12,49,4,12,2,10,0,1961,7,36,Matches
Joe Gomez,Liverpool,eng ENG,DF,26,34.9,1825,1593,225,21,3,12,64,200,0,0,0,0,1507,7,43,Matches
Mohamed Salah,Liverpool,eg EGY,FW,31,34.8,1210,1161,33,4,21,4,53,24,0,0,0,0,891,16,47,Matches
Darwin Núñez,Liverpool,uy URU,FW,24,33.7,606,580,22,3,6,2,27,5,0,0,0,0,430,4,19,Matches
Cody Gakpo,Liverpool,nl NED,"FW,MF",24,33.5,799,770,26,8,6,3,55,8,4,0,4,0,628,3,20,Matches
Alisson,Liverpool,br BRA,GK,30,32.0,1284,1112,167,42,0,5,0,0,0,0,0,0,1110,5,3,Matches
Harvey Elliott,Liverpool,eng ENG,"MF,FW",20,31.1,1480,1400,69,8,6,9,110,15,29,15,8,0,1229,11,29,Matches
Wataru Endo,Liverpool,jp JPN,MF,30,30.6,1758,1728,25,22,6,1,5,2,0,0,0,0,1552,5,23,Matches
Dominik Szoboszlai,Liverpool,hu HUN,MF,22,30.0,1841,1644,188,40,6,18,141,35,72,24,31,2,1529,9,29,Matches
Trent Alexander-Arnold,Liverpool,eng ENG,DF,24,29.0,2371,1969,391,86,25,36,202,225,80,13,57,0,1797,11,27,Matches
Ibrahima Konaté,Liverpool,fr FRA,DF,24,28.7,1927,1868,56,40,6,6,2,16,0,0,0,0,1698,3,12,Matches
Jarell Quansah,Liverpool,eng ENG,DF,20,27.7,1749,1705,41,27,1,6,0,9,0,0,0,0,1569,3,4,Matches
