Player Name,Club Name,FoulsDrawnLeadingToShotAttempt,Position,FoulsDrawnLeadingToGoal,ActionsLeadingToShots,ShotCreatingActionsPer90Min,InPlayPassesThatLeadToShotAttempt,SetpiecesLeadingToShotAttempt,SuccessfulTakeOnsLeadingToShotAttempt,ShotsThatLeadToShotAttempt,DefensiveActionsLeadingToShotAttempt,GoalCreationAccuracy,InPlayPassesLeadingToGoal,SetpiecesLeadingToGoal,FoulsDrawnLeadingToGoal,ShotsAttemptLeadingToGoal,DefensiveActionsLeadingToGoal,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances,Goals,Shots,ShotsOnTarget,ShotsOnTarget%,Shots/90min,ShotsOnTarget/90min,Goals/Shot,Goals/ShotOnTarget,AverageShotDistance,ShotsfromFreeKicks,PKMade,TotalPK,ExpectedGoal,NonPenaltyExpectedGoals,NonPenaltyExpectedGoals/shot,Goals-XG,NonPenaltyGoals-NonPenaltyXG,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved,ShortPassesCompleted%,TotalPassingDistance,PassesAttempted,ProgressivePassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesCompleted%,MediumPassesCompleted,PassesIntoPenaltyArea,CrossesIntoPenaltyArea,ProgressivePasses,LongPassesAttempted,LongPassesCompleted%,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage,"PassesCompleted	",InGamePasses,SetPiecesPasses,FreeKickPasses,ThroughBalls,Switches,Crosses,ThrowInsTaken,CornersTaken,InswingingCorners,OutswingingCorners,StraightCorners,PassesCompleted,PassesOffside
Piero Hincapié,Leverkusen,1,DF,0,35,1.31,30,0,0,4,0,0.19,4,0,0,1,0,1,54,41,27,22,5,18,15,60,12,29,14,34,84,72,1,28,7,25,0.96,0.24,0.04,0.14,12.9,0,0,0,2.9,2.9,0.12,-1.9,-1.9,25,29.1,2435,179,776,1322,346,44,16,8,50,8,50,1556,8368,4803,56,48,3,6,1838,70,21,28766,2158,9784,1096,1151,95.2,689,12,2,136,154,55.2,2,0,0,29,25,0,27,34,41,0,0,0,120,52,39,57.1,2158,2052,103,30,2,7,27,63,0,0,0,0,1933,3
Josip Stanišić,Leverkusen,1,DF,0,46,2.02,40,0,1,3,1,0.4,8,0,1,0,0,0,53,34,29,18,6,29,21,56.9,22,26,5,19,68,42,4,15,7,46.7,0.57,0.27,0.27,0.57,16.6,0,0,0,0.9,0.9,0.07,3.1,3.1,24,26.2,1825,83,479,939,424,31,28,18,64.3,7,25,1149,6714,3839,72,69,9,8,1305,94,23,22027,1625,5656,850,898,94.7,485,29,6,124,130,70.8,3,0,0,8,12,2,26,19,34,0,0,0,137,16,20,44.4,1625,1514,105,23,1,8,26,82,0,0,0,0,1461,6
Odilon Kossonou,Leverkusen,0,DF,0,38,1.63,36,0,2,0,0,0.17,4,0,0,0,0,1,35,23,14,13,8,19,27,55.9,15,31,4,32,64,51,1,5,1,20,0.2,0.04,0.2,1,15.1,0,0,0,0.6,0.6,0.12,0.4,0.4,17,25.5,1846,89,497,1097,270,12,41,23,56.1,18,43.9,1095,6113,3267,55,38,5,18,1323,30,22,22604,1638,7170,788,849,92.8,559,18,0,158,120,70,6,1,1,22,11,0,2,32,23,0,0,0,144,29,20,59.2,1638,1537,99,36,4,8,2,63,0,0,0,0,1458,2
Amine Adli,Leverkusen,5,"MF,FW",1,96,4.61,74,2,6,9,0,0.58,8,0,2,1,0,0,37,24,7,16,14,17,24,51.5,16,26,2,10,47,12,10,74,34,45.9,2.94,1.35,0.12,0.26,14.3,0,1,1,6.7,6.7,0.12,-1.7,-1.7,44,25.2,1223,16,119,471,652,129,46,20,43.5,19,41.3,761,3907,2078,61,52,29,20,948,248,23,9639,964,2211,524,599,87.5,193,35,5,72,42,28.6,6,0,0,30,55,16,65,10,24,0,0,0,73,42,36,53.8,964,932,29,6,3,2,65,17,3,3,0,0,773,3
Victor Boniface,Leverkusen,5,FW,1,73,3.41,37,0,23,7,1,0.98,12,0,5,3,0,0,9,7,0,4,5,1,6,14.3,6,7,1,2,11,17,21,105,42,40,4.5,1.8,0.15,0.38,16.4,0,5,5,20,16.1,0.16,-1,-2.1,67,23.3,808,18,35,315,469,164,110,51,46.4,53,48.2,483,2780,1379,60,34,33,33,652,182,22,4902,486,1004,205,260,78.8,110,15,0,44,29,51.7,3,0,0,22,25,25,3,2,7,0,0,0,37,35,24,59.3,486,464,18,1,9,4,3,5,0,0,0,0,349,4
Patrik Schick,Leverkusen,3,"FW,MF",1,44,2.9,28,0,3,9,1,0.26,0,0,0,3,0,0,10,6,1,5,4,3,5,33.3,6,5,0,1,11,9,13,67,23,34.3,3.88,1.33,0.18,0.52,13,0,1,1,8.8,8,0.14,3.2,3,31,17.3,467,10,22,168,282,122,30,10,33.3,17,56.7,262,1080,405,13,6,8,19,372,106,27,2947,303,407,169,202,83.7,54,7,0,23,7,85.7,2,0,0,21,17,8,1,1,6,1,0,0,24,35,33,51.5,303,288,15,0,1,1,1,3,0,0,0,0,243,0
Matej Kovar,Leverkusen,0,GK,0,2,0.15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,17,433,373,431,2,0,0,3,2,66.7,1,33.3,277,1355,667,0,0,0,0,214,0,23,7981,412,5424,116,117,99.1,168,0,0,0,123,60.2,1,0,0,0,2,0,0,0,0,0,0,0,30,1,0,100,412,321,91,23,0,2,0,0,0,0,0,0,359,0
Nathan Tella,Leverkusen,7,"DF,FW",2,62,4.02,44,1,4,3,3,0.52,6,0,0,0,0,0,17,11,6,8,3,8,19,42.1,11,19,0,7,24,13,6,37,17,45.9,2.25,1.03,0.16,0.35,16.9,0,0,0,4,4,0.12,2,2,33,16.4,753,12,103,254,409,91,63,13,20.6,44,69.8,475,2937,1659,64,27,30,21,519,165,24,6095,544,1484,264,297,88.9,132,28,8,43,34,47.1,2,0,0,18,30,7,46,7,11,2,0,0,69,8,14,36.4,544,504,39,0,2,4,46,37,1,0,0,0,430,1
Adam Hložek,Leverkusen,1,"FW,MF",0,31,3.09,24,0,3,3,0,0.5,5,0,0,0,0,0,12,7,2,5,5,4,7,44.4,5,9,2,4,16,3,7,47,18,38.3,4.16,1.59,0.15,0.39,17,3,0,0,4.9,4.9,0.13,-0.9,-0.9,23,11.3,401,8,42,168,196,51,25,11,44,13,52,247,1602,844,29,20,9,17,308,58,21,3099,271,596,126,140,90,60,6,1,31,22,59.1,3,0,0,19,14,2,2,4,7,0,1,0,35,14,21,40,271,268,3,0,1,1,2,1,0,0,0,0,216,0
Borja Iglesias,Leverkusen,0,FW,0,13,2.98,12,0,0,1,0,0,0,0,0,0,0,0,5,2,1,3,1,1,2,25,3,2,0,1,6,1,0,15,4,26.7,3.21,0.86,0,0,14.7,0,0,0,2.1,2.1,0.16,-2.1,-2.1,8,4.7,144,1,3,43,98,28,3,2,66.7,1,33.3,88,433,107,4,3,4,6,119,26,30,1147,111,171,53,62,85.5,25,6,0,9,3,100,0,0,0,6,4,1,2,1,2,0,0,0,8,5,8,38.5,111,108,1,0,0,0,2,0,0,0,0,0,87,2
Gustavo Puerta,Leverkusen,0,MF,0,7,2.69,7,0,0,0,0,0.38,1,0,0,0,0,0,8,5,2,4,2,1,5,25,3,5,0,2,10,2,0,4,1,25,1.54,0.38,0,0,28.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,3,2.6,250,7,45,165,43,0,7,5,71.4,2,28.6,196,1209,411,5,6,0,1,202,9,20,2954,222,524,110,116,94.8,79,1,0,11,13,61.5,0,0,0,6,3,0,4,2,5,0,0,0,19,2,3,40,222,213,9,5,1,1,4,0,3,2,1,0,204,0
Arthur,Leverkusen,0,DF,0,7,3.41,5,1,0,0,1,0.97,2,0,0,0,0,0,4,3,2,0,2,2,0,100,0,1,1,1,4,7,0,2,1,50,0.87,0.44,0,0,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,2.3,131,7,35,42,56,8,5,2,40,3,60,79,485,307,8,6,2,3,88,28,20,1360,109,367,53,58,91.4,28,6,5,7,8,75,0,0,0,3,1,0,7,1,3,0,0,0,10,2,3,40,109,96,13,0,0,0,7,12,1,0,0,0,88,0
Nadiem Amiri,Leverkusen,0,MF,0,1,1.02,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,1,0,0,0,3,0,0,1,4,1,0,7,3,42.9,4.23,1.81,0,0,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,1.7,116,2,9,62,48,2,6,1,16.7,4,66.7,57,313,187,5,4,1,0,96,6,26,1039,100,238,70,72,97.2,17,2,0,6,1,100,0,0,0,1,5,1,8,1,2,0,0,0,8,0,0,,100,98,2,1,0,0,8,0,1,0,0,0,92,0
Noah Mbamba,Leverkusen,1,FW,0,5,4.84,2,0,1,0,1,1.94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1,0,4,2,50,3.33,1.67,0,0,21,0,0,0,0.1,0.1,0.04,-0.1,-0.1,3,1.2,60,1,7,29,24,2,9,3,33.3,4,44.4,40,217,104,3,2,1,4,46,3,18,471,38,172,18,18,100,12,1,1,5,2,50,0,0,0,4,4,0,1,4,0,0,0,0,4,0,0,,38,36,2,0,0,0,1,2,0,0,0,0,34,0
Niklas Lomb,Leverkusen,0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,1,26,24,26,0,0,0,0,0,,0,,21,89,47,0,0,0,0,17,0,30,442,25,274,9,9,100,11,0,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,25,23,2,0,0,0,0,0,0,0,0,0,22,0
Ken Izekor,Leverkusen,0,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,6.43,0,0,,23.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,0,0.2,10,0,1,7,2,0,0,0,,0,,9,83,67,2,1,0,0,8,0,16,51,6,11,3,3,100,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,6,6,0,0,0,0,0,0,0,0,0,0,6,0
Ayman Aourir,Leverkusen,0,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,0,2,0,1,0,1,0,0,0,,0,,2,43,0,0,1,0,0,1,0,18,7,1,0,1,1,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Federico Valverde,Real Madrid,1,"MF,FW",0,155,3.54,142,0,4,5,3,0.39,13,0,0,4,0,0,68,51,34,19,15,34,46,54.8,28,52,6,60,124,58,3,85,23,27.1,1.79,0.48,0.04,0.13,23.3,1,0,0,4.7,4.7,0.06,-1.7,-1.7,35,47.5,3186,106,537,1798,890,86,60,32,53.3,26,43.3,2118,11995,6252,131,122,17,17,2472,137,25,37667,2739,10059,1427,1506,94.8,789,51,4,297,243,69.1,2,0,0,34,19,1,43,60,51,0,0,0,215,33,26,55.9,2739,2689,40,29,15,46,43,6,0,0,0,0,2453,10
Antonio Rüdiger,Real Madrid,0,DF,0,30,0.73,24,0,0,6,0,0.17,6,0,0,1,0,0,37,21,27,6,4,23,9,79.3,6,48,39,15,52,124,2,30,6,20,0.66,0.13,0.07,0.33,15.1,0,0,0,2.2,2.2,0.09,-1.2,-1.2,5,45.3,2760,380,1389,1297,85,32,5,2,40,3,60,1848,8769,5414,17,15,1,3,2084,1,30,40913,2471,15230,862,903,95.5,1157,13,2,115,308,59.7,8,0,0,35,15,3,8,15,21,0,0,1,165,65,31,67.7,2471,2402,63,38,3,18,8,10,0,0,0,0,2221,6
Rodrygo,Real Madrid,7,FW,1,154,4.09,101,6,29,9,2,0.53,11,0,5,2,1,0,24,20,5,11,8,7,26,22.6,24,27,1,10,34,8,17,134,61,45.5,3.27,1.49,0.13,0.28,15.4,6,0,1,17.4,16.6,0.14,-2.4,-1.6,89,40.9,1856,14,91,604,1185,268,192,78,40.6,91,47.4,1375,9719,5601,208,134,106,43,1544,383,22,14362,1379,2736,875,931,94,236,54,6,118,46,56.5,2,0,0,15,57,15,46,10,20,2,0,0,88,8,29,21.6,1379,1314,61,8,3,1,46,14,16,2,6,0,1221,4
Jude Bellingham,Real Madrid,9,"MF,FW",0,147,4.04,116,0,13,8,1,0.55,15,0,2,2,1,0,62,50,22,25,15,17,55,35.4,31,62,7,30,90,24,23,95,46,48.4,2.36,1.14,0.23,0.48,15,0,1,1,14.1,13.3,0.16,8.9,8.7,73,40.3,2607,30,260,1372,1014,178,129,69,53.5,46,35.7,1770,9767,4747,121,107,38,65,2154,253,20,27112,2130,5648,1180,1278,92.3,542,55,5,265,124,81.5,9,1,0,46,102,7,36,30,50,0,0,0,151,35,36,49.3,2130,2062,55,19,20,17,36,14,1,1,0,0,1880,13
Dani Carvajal,Real Madrid,2,DF,1,64,1.91,58,1,1,1,1,0.24,7,0,0,0,0,4,71,54,41,26,4,34,29,56.7,26,45,16,32,102,81,6,28,13,46.4,0.75,0.35,0.21,0.46,14.4,0,0,0,2.3,2.3,0.09,2.7,2.7,34,37.2,2304,148,641,1001,684,71,30,12,40,14,46.7,1260,5076,2509,43,44,11,26,1504,211,31,26894,1975,6324,879,971,90.5,663,33,6,107,156,68.6,9,1,1,44,31,3,64,32,54,0,0,0,143,37,29,56.1,1975,1697,277,47,3,4,64,230,0,0,0,0,1679,1
Toni Kroos,Real Madrid,1,MF,0,154,4.65,96,50,0,5,2,0.48,10,6,0,0,0,1,74,49,29,34,11,34,22,41,49,26,4,31,103,20,1,42,18,42.9,1.19,0.51,0.02,0.06,25.2,12,0,0,1.9,1.9,0.05,-0.9,-0.9,11,35.2,3643,95,810,2230,630,16,11,7,63.6,3,27.3,2444,10863,5576,39,60,2,10,2896,38,33,58094,3436,21495,1478,1523,97,1152,31,6,368,599,76.3,5,0,0,23,50,4,174,31,49,0,0,0,205,9,5,64.3,3436,3104,323,175,7,78,174,14,134,45,54,0,3145,9
Nacho,Real Madrid,0,DF,0,18,0.6,15,1,1,1,0,0.17,4,0,1,0,0,0,28,19,15,11,2,9,11,42.9,12,27,16,30,56,88,0,11,3,27.3,0.32,0.09,0,0,14.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9,12,34.8,2154,312,1076,990,99,30,8,4,50,3,37.5,1296,5315,3186,17,16,1,3,1576,10,33,29703,1942,11613,870,900,96.7,829,4,1,75,136,66.2,5,2,0,27,23,2,3,30,19,0,1,1,125,38,35,52.1,1942,1811,129,62,0,7,3,10,0,0,0,0,1808,2
Vinicius Júnior,Real Madrid,8,FW,0,120,3.91,65,2,28,15,2,0.52,9,0,2,4,1,2,26,19,10,8,8,4,19,26.7,11,20,1,3,28,4,24,121,56,46.3,3.55,1.64,0.17,0.38,14.9,0,3,3,17.6,16,0.15,3.4,3,92,34.1,1504,3,84,418,1032,274,254,102,40.2,130,51.2,1129,9272,5118,207,115,130,62,1254,388,23,10328,992,1933,460,540,85.2,164,30,3,82,100,55,11,0,0,36,75,17,94,3,19,0,0,0,71,4,10,28.6,992,955,32,6,12,26,94,11,7,0,0,0,724,5
Andriy Lunin,Real Madrid,0,GK,0,3,0.1,2,1,0,0,0,0.03,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,31.7,998,859,995,3,0,0,0,0,,0,,566,2520,1586,0,0,0,0,530,0,24,17765,924,11170,187,189,98.9,431,0,0,0,289,53.6,2,0,0,0,5,0,0,0,0,0,0,0,25,11,0,100,924,722,200,30,0,2,0,0,0,0,0,0,779,2
Ferland Mendy,Real Madrid,0,DF,0,43,1.51,39,2,1,1,0,0.14,4,0,0,0,0,1,29,20,22,5,2,21,19,75,7,22,3,21,48,42,1,6,2,33.3,0.19,0.06,0.17,0.5,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,26,31.4,1932,72,544,950,452,20,36,18,50,16,44.4,1182,4609,2029,23,29,4,16,1387,124,28,22121,1735,6482,1013,1045,96.9,489,13,2,120,71,80.3,6,0,0,26,28,0,10,21,20,0,0,0,132,13,10,56.5,1735,1535,200,17,0,5,10,183,0,0,0,0,1620,0
Eduardo Camavinga,Real Madrid,5,MF,0,77,2.69,61,0,4,2,5,0.24,6,0,1,0,0,1,101,62,52,35,14,33,43,55.9,26,57,14,40,139,49,0,28,11,39.3,0.89,0.35,0,0,24.5,0,0,0,1.2,1.2,0.04,-1.2,-1.2,43,31.3,2244,88,559,1247,474,29,94,49,52.1,25,26.6,1449,8110,4239,62,74,6,34,1675,47,20,26950,1836,6725,818,864,94.7,700,20,4,148,138,75.4,13,0,0,75,96,1,7,40,62,0,1,0,193,30,22,57.7,1836,1773,55,31,7,12,7,23,0,0,0,0,1665,8
Aurélien Tchouaméni,Real Madrid,0,"MF,DF",0,46,1.6,40,0,1,4,1,0.42,11,0,0,1,0,1,47,30,25,20,2,11,11,42.3,15,30,19,43,84,64,3,35,7,20,1.12,0.22,0.09,0.43,21.6,0,0,0,1.4,1.4,0.04,1.6,1.6,17,31.2,2191,165,676,1265,264,25,13,6,46.2,3,23.1,1499,7950,4331,31,46,1,13,1670,17,23,29297,1937,9546,847,894,94.7,787,15,5,146,142,72.5,11,0,0,27,25,0,28,43,30,0,0,0,120,65,28,69.9,1937,1872,59,55,1,8,28,2,0,0,0,0,1761,6
Luka Modrić,Real Madrid,2,MF,0,136,5.9,99,27,2,4,2,0.65,14,1,0,0,0,1,28,21,13,8,7,13,9,41.9,18,13,4,27,54,15,2,31,11,35.5,1.24,0.44,0.06,0.18,22.7,1,0,1,2.4,1.6,0.05,-0.4,0.4,12,25,2271,35,318,1229,739,56,49,22,44.9,19,38.8,1556,7962,3712,69,75,14,25,1785,107,37,29451,2097,9154,990,1046,94.6,574,55,5,243,285,65.3,2,0,0,29,27,2,135,27,21,0,0,0,118,13,10,56.5,2097,1891,198,78,7,32,135,13,96,23,52,0,1825,8
