Player Name,Club Name,Country,Position,DefensiveErrors,TacklesAttempted,TackleWon,TacklesinDef3rd,TacklesinMid3rd,TacklesinAtt3rd,DribblesStopped,PassesBlocked,DribblesWinningPerc,DribblesNotStopped,TotalBlocks,ShotsBlocked,PassesBlocked,Tackles+Interception,Clearances,Sh
Nicolás Paz,Real Madrid,ARG,MF,0,2,2,1,1,0,1,6,50,1,6,0,1,3,1,Matches
Álvaro Carrillo,Real Madrid,ESP,DF,,,2,,,,,,,,,,2,0,,Matches
Vinicius Tobias,Real Madrid,BRA,DF,,,1,,,,,,,,,,0,0,,Matches
Mario Martín,Real Madrid,ESP,MF,0,5,1,0,2,3,3,1,75,1,2,1,0,5,0,Matches
Gonzalo García,Real Madrid,ESP,MF,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,Matches
Álvaro Muñoz,Real Madrid,URU,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Yann Sommer,Inter,SUI,GK,1,2,1,2,0,0,2,1,100,0,1,0,0,2,9,Matches
Henrikh Mkhitaryan,Inter,ARM,MF,0,72,40,23,40,9,27,26,47.4,30,33,7,39,109,53,Matches
Nicolò Barella,Inter,ITA,MF,1,62,49,23,27,12,24,34,32.9,49,37,3,17,77,17,Matches
Lautaro Martínez,Inter,ARG,FW,0,27,18,5,16,6,5,35,20.8,19,36,1,24,48,13,Matches
Marcus Thuram,Inter,FRA,FW,0,27,18,10,10,7,5,25,35.7,9,28,3,5,32,22,Matches
Hakan Çalhanoğlu,Inter,TUR,MF,0,76,41,36,31,9,36,22,58.1,26,37,15,31,106,26,Matches
Matteo Darmian,Inter,ITA,"DF,FW",0,56,29,26,19,11,25,23,40.3,37,36,13,19,71,65,Matches
Francesco Acerbi,Inter,ITA,DF,1,25,16,18,6,1,13,8,68.4,6,21,13,41,62,92,Matches
Alessandro Bastoni,Inter,ITA,DF,2,51,34,34,14,3,27,19,62.8,16,31,12,30,80,63,Matches
Federico Dimarco,Inter,ITA,DF,1,42,26,19,14,9,17,20,42.5,23,24,4,13,54,38,Matches
Benjamin Pavard,Inter,FRA,DF,2,41,27,25,14,2,23,13,79.3,6,31,18,42,82,69,Matches
Carlos Augusto,Inter,BRA,"DF,FW",0,39,28,26,13,0,20,16,62.5,12,26,10,17,55,67,Matches
Stefan de Vrij,Inter,NED,DF,0,27,18,19,7,1,12,15,52.2,11,28,13,30,56,85,Matches
Denzel Dumfries,Inter,NED,DF,1,25,15,10,13,2,10,12,41.7,14,19,7,12,37,36,Matches
Davide Frattesi,Inter,ITA,MF,0,20,15,8,12,0,8,9,42.1,11,13,4,8,28,27,Matches
Yann Aurel Bisseck,Inter,GER,DF,0,15,6,11,3,1,6,4,60,4,13,9,7,21,31,Matches
Alexis Sánchez,Inter,CHI,FW,0,12,10,1,9,2,4,3,44.4,5,4,1,4,15,3,Matches
Marko Arnautović,Inter,AUT,FW,0,10,4,3,5,2,4,8,57.1,3,9,1,6,16,7,Matches
Kristjan Asllani,Inter,ALB,MF,0,9,3,4,5,0,2,8,15.4,11,12,4,14,21,11,Matches
Emil Audero,Inter,ITA,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Matches
Juan Cuadrado,Inter,COL,"DF,FW",0,4,3,2,2,0,3,6,60,2,7,1,2,6,3,Matches
Davy Klaassen,Inter,NED,"MF,FW",0,5,3,0,4,1,1,4,20,4,5,1,3,8,4,Matches
Tajon Buchanan,Inter,CAN,"DF,FW",0,1,1,0,0,1,1,1,50,1,1,0,0,1,4,Matches
Stefano Sensi,Inter,ITA,MF,0,1,1,0,1,0,1,1,33.3,2,1,0,2,2,0,Matches
Raffaele Di Gennaro,Inter,ITA,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Ebenezer Akinsanmiro,Inter,NGA,MF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Lucien Agoume,Inter,FRA,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Rodri,Manchester City,ESP,MF,5,84,63,31,40,13,38,26,52.1,35,34,8,34,116,47,Matches
Phil Foden,Manchester City,ENG,"FW,MF",1,32,26,11,10,11,13,35,39.4,20,35,0,18,47,21,Matches
Kyle Walker,Manchester City,ENG,DF,1,45,29,21,21,3,25,14,54.3,21,20,6,34,76,44,Matches
Manuel Akanji,Manchester City,SUI,"DF,MF",3,54,38,21,22,11,26,18,56.5,20,32,14,32,79,81,Matches
Erling Haaland,Manchester City,NOR,FW,0,11,5,0,7,4,4,11,66.7,2,12,1,2,13,19,Matches
Rúben Dias,Manchester City,POR,DF,0,50,33,18,27,5,26,19,70.3,11,40,21,44,89,97,Matches
Bernardo Silva,Manchester City,POR,"FW,MF",1,62,34,17,29,16,31,33,44.3,39,38,5,28,81,21,Matches
Ederson,Manchester City,BRA,GK,2,0,0,0,0,0,0,0,0,1,0,0,0,0,11,Matches
Joško Gvardiol,Manchester City,CRO,DF,4,62,40,25,26,11,23,28,53.5,20,41,13,41,97,47,Matches
Julián Álvarez,Manchester City,ARG,"MF,FW",1,27,18,5,10,12,10,30,27,27,31,1,3,29,16,Matches
Nathan Aké,Manchester City,NED,"DF,MF",0,30,22,18,9,3,15,16,65.2,8,18,2,15,44,65,Matches
Mateo Kovačić,Manchester City,CRO,MF,0,43,33,18,20,5,20,24,55.6,16,26,2,19,58,13,Matches
Jeremy Doku,Manchester City,BEL,"FW,MF",0,45,34,13,17,15,12,19,50,12,19,0,11,54,5,Matches
Jack Grealish,Manchester City,ENG,"FW,MF",0,16,12,6,9,1,7,16,36.8,12,18,2,10,24,6,Matches
Kevin De Bruyne,Manchester City,BEL,MF,0,18,14,1,7,10,10,7,38.5,16,7,0,4,22,4,Matches
John Stones,Manchester City,ENG,"DF,MF",0,4,3,2,1,1,0,6,0,3,15,9,14,16,28,Matches
Stefan Ortega,Manchester City,GER,GK,1,0,0,0,0,0,0,0,,0,0,0,0,0,3,Matches
Rico Lewis,Manchester City,ENG,"MF,DF",0,18,12,8,5,5,6,12,50,6,15,3,8,25,10,Matches
Matheus Nunes,Manchester City,POR,"MF,FW",1,14,8,1,10,3,8,8,38.1,13,9,1,6,18,10,Matches
Oscar Bobb,Manchester City,NOR,"FW,MF",0,9,7,1,4,4,4,4,66.7,2,4,0,5,14,1,Matches
Sergio Gómez,Manchester City,ESP,"DF,FW",0,4,4,1,2,1,2,1,50,2,1,0,3,6,2,Matches
Kalvin Phillips,Manchester City,ENG,MF,0,5,5,3,1,1,0,0,0,1,0,0,3,7,3,Matches
Micah Hamilton,Manchester City,ENG,FW,0,1,1,0,0,1,1,1,50,1,1,0,1,2,0,Matches
Cole Palmer,Manchester City,ENG,MF,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,Matches
Jacob Wright,Manchester City,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Mahamadou Susoho,Manchester City,ESP,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Aymeric Laporte,Manchester City,ESP,DF,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,Matches
James Mcatee,Manchester City,ENG,MF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
William Saliba,Arsenal,FRA,DF,3,51,33,32,16,3,25,20,69.4,11,40,20,37,87,107,Matches
Gabriel Magalhães,Arsenal,BRA,DF,1,57,39,27,27,3,20,13,76.9,6,52,39,39,91,135,Matches
Declan Rice,Arsenal,ENG,MF,0,97,65,39,47,11,41,30,56.2,32,48,18,58,154,67,Matches
Ben White,Arsenal,ENG,DF,1,57,34,21,27,9,31,35,42.5,42,58,23,44,98,87,Matches
Martin Ødegaard,Arsenal,NOR,MF,0,60,23,20,28,12,21,28,30.4,48,29,1,22,82,5,Matches
Bukayo Saka,Arsenal,ENG,FW,1,82,48,25,32,25,32,50,43.2,42,53,3,17,99,27,Matches
Kai Havertz,Arsenal,GER,"MF,FW",0,51,21,7,33,11,22,35,40.7,32,36,1,24,74,28,Matches
David Raya,Arsenal,ESP,GK,6,1,1,1,0,0,1,0,100,0,0,0,0,1,12,Matches
Gabriel Martinelli,Arsenal,BRA,FW,1,34,27,11,12,11,16,30,44.4,20,31,1,8,41,10,Matches
Leandro Trossard,Arsenal,BEL,FW,0,31,18,9,10,12,11,30,32.4,23,31,1,11,42,11,Matches
Oleksandr Zinchenko,Arsenal,UKR,DF,2,56,34,24,25,7,39,18,65,21,21,3,24,80,28,Matches
Gabriel Jesus,Arsenal,BRA,FW,0,32,22,12,11,9,6,29,26.1,17,30,1,14,46,15,Matches
Jorginho,Arsenal,ITA,MF,1,40,26,10,18,12,16,20,50,16,23,3,24,61,11,Matches
Takehiro Tomiyasu,Arsenal,JPN,DF,0,24,12,17,4,3,14,10,58.3,10,14,4,20,44,38,Matches
Jakub Kiwior,Arsenal,POL,DF,1,28,17,14,12,2,18,8,56.3,14,12,4,13,38,32,Matches
Eddie Nketiah,Arsenal,ENG,FW,0,12,8,2,6,4,2,11,28.6,5,11,0,5,16,5,Matches
Aaron Ramsdale,Arsenal,ENG,GK,2,0,0,0,0,0,0,0,,0,0,0,0,0,3,Matches
Thomas Partey,Arsenal,GHA,MF,0,14,13,9,4,1,5,6,50,5,9,3,11,25,9,Matches
Reiss Nelson,Arsenal,ENG,FW,0,15,9,5,4,6,12,5,75,4,6,1,5,17,5,Matches
Emile Smith Rowe,Arsenal,ENG,MF,0,5,4,3,2,0,3,2,50,3,3,1,6,9,1,Matches
Fabio Vieira,Arsenal,POR,FW,0,3,2,2,0,1,3,0,100,0,0,0,2,5,3,Matches
Jurriën Timber,Arsenal,NED,DF,0,2,2,1,1,0,0,1,,0,1,0,2,2,1,Matches
Cédric Soares,Arsenal,POR,DF,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,Matches
Mohamed Elneny,Arsenal,EGY,MF,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,Matches
Charles Sagoe Jr,Arsenal,ENG,FW,,,0,,,,,,,,,,0,0,,Matches
Kieran Tierney,Arsenal,SCO,"DF,MF",,,0,,,,,,,,,,0,0,,Matches
Ethan Nwaneri,Arsenal,ENG,MF,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,Matches
Kylian Mbappé,Paris S-G,FRA,FW,0,6,3,2,1,3,6,7,46.2,7,7,0,9,12,2,Matches
Gianluigi Donnarumma,Paris S-G,ITA,GK,7,1,2,1,0,0,1,0,100,0,0,0,1,2,16,Matches
Vitinha,Paris S-G,POR,MF,2,54,41,17,24,13,19,26,31.7,41,37,11,44,90,44,Matches
Warren Zaïre-Emery,Paris S-G,FRA,MF,2,66,40,23,30,13,34,37,50.7,33,46,9,25,88,32,Matches
Achraf Hakimi,Paris S-G,MAR,DF,4,49,39,22,16,11,30,34,50.8,29,38,4,26,73,44,Matches
Lucas Hernández,Paris S-G,FRA,DF,1,67,48,35,22,10,40,22,61.5,25,27,5,32,97,58,Matches
Marquinhos,Paris S-G,BRA,DF,2,36,23,24,9,3,22,13,64.7,12,41,28,33,65,87,Matches
Ousmane Dembélé,Paris S-G,FRA,"FW,MF",1,34,26,5,14,15,12,17,42.9,16,17,0,12,45,5,Matches
Manuel Ugarte Ribeiro,Paris S-G,URU,MF,2,106,64,42,47,17,47,22,42.3,64,29,7,48,154,30,Matches
Danilo Pereira,Paris S-G,POR,DF,1,26,18,17,7,2,10,3,55.6,8,31,28,27,50,103,Matches
Milan Škriniar,Paris S-G,SVK,DF,2,36,26,26,10,0,22,11,73.3,8,24,13,17,53,63,Matches
Fabián Ruiz Peña,Paris S-G,ESP,MF,2,48,33,24,20,4,31,16,55.4,25,18,2,21,66,25,Matches
Bradley Barcola,Paris S-G,FRA,"FW,DF",1,46,29,16,18,12,10,34,24.4,31,36,2,15,59,16,Matches
Lee Kang-in,Paris S-G,KOR,"MF,FW",0,33,21,9,12,12,20,12,42.6,27,12,0,10,41,5,Matches
Randal Kolo Muani,Paris S-G,FRA,"FW,MF",0,17,11,9,5,3,5,9,35.7,9,10,1,5,22,14,Matches
Gonçalo Ramos,Paris S-G,POR,FW,0,29,18,6,14,9,8,11,33.3,16,13,2,5,34,18,Matches
Lucas Beraldo,Paris S-G,BRA,DF,0,33,27,21,12,0,16,11,42.1,22,19,8,29,58,38,Matches
Marco Asensio,Paris S-G,ESP,"FW,MF",0,14,13,6,7,1,4,7,28.6,10,9,2,7,19,2,Matches
Carlos Soler,Paris S-G,ESP,"MF,FW",1,15,10,9,2,4,6,7,28.6,15,10,3,8,20,11,Matches
Nordi Mukiele,Paris S-G,FRA,DF,0,12,10,6,5,1,8,14,53.3,7,19,5,14,26,29,Matches
Nuno Mendes,Paris S-G,POR,DF,0,16,16,10,5,1,10,10,40,15,12,2,15,29,13,Matches
Keylor Navas,Paris S-G,CRC,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,Matches
Arnau Tenas,Paris S-G,ESP,GK,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Yoram Zague,Paris S-G,FRA,DF,1,18,8,11,4,3,11,3,45.8,13,3,0,4,22,9,Matches
Senny Mayulu,Paris S-G,FRA,MF,0,13,8,6,6,1,6,1,85.7,1,1,0,3,16,0,Matches
Cher Ndour,Paris S-G,ITA,MF,0,2,3,0,2,0,1,0,50,1,0,0,0,2,0,Matches
Ethan Mbappé,Paris S-G,FRA,MF,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,Matches
Hugo Ekitike,Paris S-G,FRA,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Layvin Kurzawa,Paris S-G,FRA,DF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
İlkay Gündoğan,Barcelona,GER,MF,2,37,30,15,17,5,16,25,32,34,32,7,28,64,21,Matches
Jules Koundé,Barcelona,FRA,DF,5,48,37,28,12,8,32,26,53.3,28,44,18,43,83,115,Matches
Robert Lewandowski,Barcelona,POL,FW,0,15,12,0,10,5,9,15,47.4,10,20,5,9,24,26,Matches
João Cancelo,Barcelona,POR,DF,2,96,66,51,32,13,59,36,68.6,27,48,12,48,144,76,Matches
Marc-André ter Stegen,Barcelona,GER,GK,3,0,0,0,0,0,0,0,,0,0,0,0,0,4,Matches
Ronald Araújo,Barcelona,URU,DF,2,39,38,15,22,2,16,13,72.7,6,34,21,21,59,86,Matches
Lamine Yamal,Barcelona,ESP,FW,0,70,51,34,18,18,19,47,32.2,40,47,0,28,96,12,Matches
Andreas Christensen,Barcelona,DEN,"DF,MF",0,34,25,12,19,3,21,15,60,14,26,11,32,62,52,Matches
Frenkie de Jong,Barcelona,NED,MF,1,52,31,15,29,8,11,11,44,14,20,9,23,69,33,Matches
João Félix,Barcelona,POR,FW,0,26,19,9,10,7,8,13,28.6,20,14,1,11,36,12,Matches
Pedri,Barcelona,ESP,"MF,FW",0,43,34,19,17,7,14,28,35,26,32,4,17,59,20,Matches
Alejandro Balde,Barcelona,ESP,DF,1,26,16,13,8,5,11,16,68.8,5,17,1,6,32,26,Matches
Ferrán Torres,Barcelona,ESP,FW,0,13,10,3,7,3,6,8,33.3,12,9,1,5,18,9,Matches
Raphinha,Barcelona,BRA,FW,0,22,17,12,8,2,8,22,32,17,23,1,15,36,13,Matches
Pau Cubarsí,Barcelona,ESP,DF,0,28,23,23,4,1,14,5,73.7,5,22,17,14,41,78,Matches
Fermin López,Barcelona,ESP,MF,0,51,30,17,26,8,18,16,35.3,33,17,1,6,57,9,Matches
Iñigo Martínez,Barcelona,ESP,DF,0,12,8,10,1,1,8,4,66.7,4,16,12,14,26,63,Matches
Iñaki Peña ,Barcelona,ESP,GK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,Matches
Oriol Romeu,Barcelona,ESP,MF,3,41,28,19,18,4,16,14,50,16,17,3,12,52,19,Matches
Sergi Roberto,Barcelona,ESP,MF,1,18,14,5,11,2,4,7,23.5,13,9,2,9,27,9,Matches
Gavi,Barcelona,ESP,MF,1,42,23,22,15,5,19,18,47.5,21,21,3,9,51,21,Matches
Héctor Fort,Barcelona,ESP,DF,0,6,9,5,1,0,4,0,30.8,9,0,0,3,8,8,Matches
Marcos Alonso,Barcelona,ESP,"DF,FW",0,6,3,2,4,0,4,5,80,1,5,0,6,12,11,Matches
Vitor Roque,Barcelona,BRA,FW,0,3,2,2,0,1,0,3,0,2,3,0,1,3,5,Matches
Marc Guiu,Barcelona,ESP,FW,0,2,0,0,2,0,1,1,100,0,1,0,0,2,3,Matches
Abde Ezzalzouli,Barcelona,MAR,"FW,MF",0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,Matches
Eric García,Barcelona,ESP,DF,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,Matches
Ansu Fati,Barcelona,ESP,"MF,FW",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Marc Casado,Barcelona,ESP,MF,0,1,1,1,0,0,1,1,100,0,2,1,2,3,3,Matches
Virgil van Dijk,Liverpool,NED,DF,0,43,28,27,13,3,13,13,81.3,3,50,37,48,84,155,Matches
Luis Díaz,Liverpool,COL,FW,0,40,31,5,20,15,10,18,29.4,24,18,0,6,44,8,Matches
Alexis Mac Allister,Liverpool,ARG,MF,2,107,69,38,54,15,65,69,47.4,72,78,9,45,150,30,Matches
Joe Gomez,Liverpool,ENG,DF,2,62,51,35,20,7,39,27,50.6,38,34,7,38,93,63,Matches
Mohamed Salah,Liverpool,EGY,FW,0,17,11,1,8,8,6,20,26.1,17,21,1,3,19,1,Matches
Darwin Núñez,Liverpool,URU,FW,0,29,24,3,12,14,13,12,46.4,15,18,6,4,33,10,Matches
Cody Gakpo,Liverpool,NED,"FW,MF",0,32,26,9,16,7,10,23,31.3,22,27,4,18,47,12,Matches
Alisson,Liverpool,BRA,GK,4,0,0,0,0,0,0,0,0,1,0,0,0,0,12,Matches
Harvey Elliott,Liverpool,ENG,"MF,FW",0,40,32,12,21,7,15,38,30,35,38,0,14,52,9,Matches
Wataru Endo,Liverpool,JPN,MF,3,61,43,13,37,11,25,31,32.5,52,33,2,35,90,40,Matches
Dominik Szoboszlai,Liverpool,HUN,MF,3,35,23,13,13,9,17,39,30.9,38,42,3,23,54,17,Matches
Trent Alexander-Arnold,Liverpool,ENG,DF,5,44,31,29,13,2,32,27,34,62,30,3,37,81,50,Matches
Ibrahima Konaté,Liverpool,FRA,DF,1,51,33,32,18,1,24,11,68.6,11,26,15,41,81,72,Matches
Jarell Quansah,Liverpool,ENG,DF,1,37,37,25,11,1,23,12,71.9,9,22,10,35,60,56,Matches
Caoimhín Kelleher,Liverpool,IRL,GK,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,Matches
Andrew Robertson,Liverpool,SCO,DF,0,40,29,25,12,3,29,16,60.4,19,22,6,17,53,46,Matches
Curtis Jones,Liverpool,ENG,MF,0,35,21,14,16,5,14,27,42.4,19,28,1,14,45,10,Matches
Ryan Gravenberch,Liverpool,NED,MF,0,35,24,6,18,11,14,28,45.2,17,30,2,24,52,14,Matches
Diogo Jota,Liverpool,POR,FW,0,26,17,6,15,5,10,9,41.7,14,10,1,11,33,4,Matches
Conor Bradley,Liverpool,NIR,DF,0,37,42,16,14,7,28,23,57.1,21,25,2,14,49,18,Matches
Kostas Tsimikas,Liverpool,GRE,DF,1,30,27,12,10,8,15,13,71.4,6,14,1,21,42,21,Matches
Joël Matip,Liverpool,CMR,DF,0,12,6,7,4,1,8,6,66.7,4,19,13,14,22,49,Matches
Bobby Clark,Liverpool,ENG,MF,0,8,8,1,4,3,4,5,50,4,7,2,3,10,1,Matches
Ben Doak,Liverpool,SCO,FW,0,2,0,1,1,0,2,1,66.7,1,1,0,1,2,2,Matches
James McConnell,Liverpool,ENG,MF,0,2,3,0,1,1,0,1,0,2,1,0,3,4,0,Matches
Luke Chambers,Liverpool,ENG,DF,0,2,1,1,1,0,1,0,50,1,0,0,2,4,4,Matches
Stefan Bajcetic,Liverpool,ESP,MF,0,5,2,3,2,0,3,0,50,3,0,0,1,5,0,Matches
Jayden Danns,Liverpool,ENG,FW,0,1,0,1,0,0,0,0,,0,0,0,0,1,0,Matches
Kaide Gordon,Liverpool,ENG,FW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Lewis Koumas,Liverpool,WAL,MF,,,1,,,,,,,,,,0,0,,Matches
Calum Scanlon,Liverpool,ENG,MF,1,1,1,1,0,0,1,1,100,0,1,0,1,2,1,Matches
Mateusz Musialowski,Liverpool,POL,MF,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Matches
Trey Nyoni,Liverpool,ENG,MF,,,1,,,,,,,,,,0,0,,Matches
Owen Beck,Liverpool,WAL,DF,0,2,1,1,1,0,0,0,,0,0,0,0,2,1,Matches
Thiago Alcántara,Liverpool,ESP,MF,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,Matches
Waldemar Anton,Stuttgart,GER,DF,1,39,28,21,16,2,23,13,54.8,19,33,20,49,79,150,Matches
Alexander Nübel,Stuttgart,GER,GK,4,2,2,2,0,0,2,0,50,2,0,0,0,2,13,Matches
Atakan Karazor,Stuttgart,GER,MF,0,72,51,23,38,11,29,29,48.3,31,37,8,29,99,43,Matches
Angelo Stiller,Stuttgart,GER,MF,2,55,37,15,34,6,24,28,57.1,18,41,13,32,83,25,Matches
Chris Führich,Stuttgart,GER,"FW,MF",0,30,21,6,14,10,16,31,43.2,21,31,0,7,37,7,Matches
Hiroki Ito,Stuttgart,JPN,DF,2,19,21,13,6,0,11,12,42.3,15,29,17,33,48,86,Matches
