Player Name,Club Name,Touches,Position,Miscontrols,Receiving,Touches,TouchesInDefensivePenaltyArea,TouchesInDefensive1/3rd,TouchesInMid1/3rd,TouchesInAtt1/3rd,TouchesInAttackingPenaltyArea,TakeOnsAttempted,SucessfulTakeOns,SucessfulTakeOns%,TimesTackledByADefDuringTakeOn,TimesTackledByADefDuringTakeOn%,NumberOfCarries,DistanceTravelledInCarries(Yards),DistanceTravelledInCarries(Yards)TowardsOpponentGoal,CarriesThatReachesCloseToOpponentGoal(DistTravelled>10Yards),CarriesInFinalThird,CarriesInPenaltyArea,PassesRecieved,DisPossesed,ProgressivePassesRecieved
Matej Kovar,Leverkusen,433,GK,0,17,433,373,431,2,0,0,3,2,66.7,1,33.3,277,1355,667,0,0,0,0,214,0
Nathan Tella,Leverkusen,753,"DF,FW",33,16.4,753,12,103,254,409,91,63,13,20.6,44,69.8,475,2937,1659,64,27,30,21,519,165
Adam Hložek,Leverkusen,401,"FW,MF",23,11.3,401,8,42,168,196,51,25,11,44,13,52,247,1602,844,29,20,9,17,308,58
Borja Iglesias,Leverkusen,144,FW,8,4.7,144,1,3,43,98,28,3,2,66.7,1,33.3,88,433,107,4,3,4,6,119,26
Gustavo Puerta,Leverkusen,250,MF,3,2.6,250,7,45,165,43,0,7,5,71.4,2,28.6,196,1209,411,5,6,0,1,202,9
Arthur,Leverkusen,131,DF,2,2.3,131,7,35,42,56,8,5,2,40,3,60,79,485,307,8,6,2,3,88,28
Nadiem Amiri,Leverkusen,116,MF,2,1.7,116,2,9,62,48,2,6,1,16.7,4,66.7,57,313,187,5,4,1,0,96,6
Noah Mbamba,Leverkusen,60,FW,3,1.2,60,1,7,29,24,2,9,3,33.3,4,44.4,40,217,104,3,2,1,4,46,3
Niklas Lomb,Leverkusen,26,GK,0,1,26,24,26,0,0,0,0,0,,0,,21,89,47,0,0,0,0,17,0
Ken Izekor,Leverkusen,10,DF,0,0.2,10,0,1,7,2,0,0,0,,0,,9,83,67,2,1,0,0,8,0
Ayman Aourir,Leverkusen,2,MF,1,0,2,0,1,0,1,0,0,0,,0,,2,43,0,0,1,0,0,1,0
Federico Valverde,Real Madrid,3186,"MF,FW",35,47.5,3186,106,537,1798,890,86,60,32,53.3,26,43.3,2118,11995,6252,131,122,17,17,2472,137
Antonio Rüdiger,Real Madrid,2760,DF,5,45.3,2760,380,1389,1297,85,32,5,2,40,3,60,1848,8769,5414,17,15,1,3,2084,1
Rodrygo,Real Madrid,1855,FW,89,40.9,1856,14,91,604,1185,268,192,78,40.6,91,47.4,1375,9719,5601,208,134,106,43,1544,383
Jude Bellingham,Real Madrid,2606,"MF,FW",73,40.3,2607,30,260,1372,1014,178,129,69,53.5,46,35.7,1770,9767,4747,121,107,38,65,2154,253
Dani Carvajal,Real Madrid,2304,DF,34,37.2,2304,148,641,1001,684,71,30,12,40,14,46.7,1260,5076,2509,43,44,11,26,1504,211
Toni Kroos,Real Madrid,3643,MF,11,35.2,3643,95,810,2230,630,16,11,7,63.6,3,27.3,2444,10863,5576,39,60,2,10,2896,38
Nacho,Real Madrid,2154,DF,12,34.8,2154,312,1076,990,99,30,8,4,50,3,37.5,1296,5315,3186,17,16,1,3,1576,10
Vinicius Júnior,Real Madrid,1502,FW,92,34.1,1504,3,84,418,1032,274,254,102,40.2,130,51.2,1129,9272,5118,207,115,130,62,1254,388
Andriy Lunin,Real Madrid,998,GK,0,31.7,998,859,995,3,0,0,0,0,,0,,566,2520,1586,0,0,0,0,530,0
Ferland Mendy,Real Madrid,1932,DF,26,31.4,1932,72,544,950,452,20,36,18,50,16,44.4,1182,4609,2029,23,29,4,16,1387,124
Eduardo Camavinga,Real Madrid,2244,MF,43,31.3,2244,88,559,1247,474,29,94,49,52.1,25,26.6,1449,8110,4239,62,74,6,34,1675,47
Aurélien Tchouaméni,Real Madrid,2191,"MF,DF",17,31.2,2191,165,676,1265,264,25,13,6,46.2,3,23.1,1499,7950,4331,31,46,1,13,1670,17
Luka Modrić,Real Madrid,2270,MF,12,25,2271,35,318,1229,739,56,49,22,44.9,19,38.8,1556,7962,3712,69,75,14,25,1785,107
Joselu,Real Madrid,640,FW,35,23.6,642,17,54,279,312,132,14,6,42.9,7,50,372,1214,406,17,9,14,15,495,111
Brahim Díaz,Real Madrid,1185,"MF,FW",57,23,1185,8,67,491,651,117,137,67,48.9,63,46,851,5512,2940,93,71,38,58,961,195
Lucas Vázquez,Real Madrid,1638,DF,23,19.9,1638,62,404,645,594,80,53,26,49.1,21,39.6,964,4028,1874,41,31,20,16,1188,205
Kepa Arrizabalaga,Real Madrid,623,GK,0,19.6,623,543,620,3,0,0,0,0,,0,,421,1700,1106,0,0,0,0,385,0
Fran Garcia,Real Madrid,1350,DF,26,18.8,1350,45,350,567,445,28,19,9,47.4,9,47.4,838,4483,2429,69,35,6,11,894,163
David Alaba,Real Madrid,1242,DF,7,15.6,1242,143,568,560,121,19,4,1,25,3,75,881,4365,2371,11,11,0,1,922,22
Dani Ceballos,Real Madrid,772,MF,13,9.7,772,11,112,419,248,19,20,8,40,9,45,555,3014,1371,20,21,3,17,635,29
Éder Militão,Real Madrid,387,DF,3,5.7,387,65,214,156,20,3,1,0,0,0,0,246,1148,609,7,4,0,1,277,2
Arda Güler,Real Madrid,273,MF,7,4.9,273,7,39,114,125,19,22,11,50,9,40.9,172,1034,609,16,6,6,5,205,25
Thibaut Courtois,Real Madrid,161,GK,0,4.7,161,142,161,0,0,0,0,0,,0,,104,546,358,0,0,0,0,87,0
Nicolás Paz,Real Madrid,72,MF,3,1.5,72,1,9,36,28,1,10,5,50,5,50,51,363,222,5,7,0,1,50,5
Álvaro Carrillo,Real Madrid,,DF,,1,,,,,,,,,,,,,,,,,,,,
Vinicius Tobias,Real Madrid,,DF,,0.9,,,,,,,,,,,,,,,,,,,,
Mario Martín,Real Madrid,25,MF,2,0.4,25,2,9,13,4,0,0,0,,0,,12,64,18,0,0,0,0,15,1
Gonzalo García,Real Madrid,11,MF,0,0.2,11,0,2,4,5,1,1,0,0,1,100,8,56,20,1,1,1,0,7,3
Álvaro Muñoz,Real Madrid,3,FW,1,0.1,3,1,2,1,0,0,2,2,100,0,0,1,28,0,0,1,0,1,2,0
Yann Sommer,Inter,1629,GK,1,43.3,1629,1366,1625,4,0,0,0,0,,0,,1000,4172,2370,0,0,0,0,1032,0
Henrikh Mkhitaryan,Inter,2296,MF,45,38.9,2296,64,375,1255,696,70,50,28,56,18,36,1342,7553,4033,105,85,15,23,1676,141
Nicolò Barella,Inter,2839,MF,49,38.8,2839,52,500,1503,858,71,64,30,46.9,28,43.8,1771,8437,3991,78,83,10,31,2244,168
Lautaro Martínez,Inter,1370,FW,87,38.3,1374,16,108,622,655,216,81,23,28.4,47,58,847,3888,1832,65,33,33,54,1019,210
Marcus Thuram,Inter,1127,FW,96,37.2,1127,29,101,508,540,197,76,45,59.2,21,27.6,632,4323,2209,85,43,45,44,868,218
Hakan Çalhanoğlu,Inter,3068,MF,37,35.9,3079,102,772,1649,677,28,17,8,47.1,8,47.1,1867,9119,4620,54,73,1,12,2232,45
Matteo Darmian,Inter,1887,"DF,FW",19,34.6,1887,133,640,892,361,33,26,9,34.6,15,57.7,963,3647,1787,23,19,4,1,1285,108
Francesco Acerbi,Inter,2314,DF,6,34.6,2314,254,1093,1103,127,31,4,3,75,1,25,1382,6625,3577,26,13,0,1,1673,29
Alessandro Bastoni,Inter,2584,DF,15,32.3,2584,260,977,1183,443,40,25,13,52,10,40,1691,8550,5013,69,73,6,10,1930,86
Federico Dimarco,Inter,1786,DF,32,29.5,1786,45,411,662,731,84,22,7,31.8,15,68.2,969,4145,2323,65,44,11,7,1231,231
Benjamin Pavard,Inter,1896,DF,7,26.3,1896,195,818,861,224,34,9,3,33.3,2,22.2,1147,5531,2789,30,29,2,2,1402,59
Carlos Augusto,Inter,1619,"DF,FW",30,26.1,1619,110,561,686,385,61,27,13,48.1,11,40.7,896,4753,2348,55,39,12,15,1076,108
Stefan de Vrij,Inter,1640,DF,8,24.1,1640,175,828,782,35,18,4,3,75,1,25,889,4097,2181,12,6,0,0,1120,4
Denzel Dumfries,Inter,1140,DF,39,21.8,1140,37,263,454,431,86,42,18,42.9,17,40.5,577,3039,1325,60,23,14,12,725,169
Davide Frattesi,Inter,612,MF,24,17.6,612,41,145,265,209,74,29,8,27.6,19,65.5,363,2391,1118,38,25,13,20,431,61
Yann Aurel Bisseck,Inter,915,DF,11,13,915,105,434,382,102,21,16,6,37.5,7,43.8,630,3612,1928,29,29,1,4,720,25
Alexis Sánchez,Inter,589,FW,33,12.5,591,1,42,253,301,48,27,14,51.9,9,33.3,368,1766,689,17,21,5,25,444,78
Marko Arnautović,Inter,413,FW,26,12.1,413,10,30,193,192,49,10,3,30,6,60,235,989,326,15,9,4,12,320,95
Kristjan Asllani,Inter,990,MF,10,12,990,25,239,597,158,3,9,6,66.7,3,33.3,660,2998,1256,5,11,0,5,773,12
Emil Audero,Inter,237,GK,0,6.1,237,205,237,0,0,0,0,0,,0,,172,744,429,0,0,0,0,160,0
Juan Cuadrado,Inter,283,"DF,FW",7,4.2,283,5,51,132,102,14,11,3,27.3,4,36.4,182,1055,622,19,13,7,3,216,44
Davy Klaassen,Inter,157,"MF,FW",5,4,157,5,33,83,42,5,1,1,100,0,0,68,271,58,2,0,1,2,93,6
Tajon Buchanan,Inter,100,"DF,FW",6,1.8,100,5,14,23,65,9,11,4,36.4,4,36.4,74,545,336,12,4,3,1,76,22
Stefano Sensi,Inter,58,MF,1,0.9,58,1,8,39,11,0,1,1,100,0,0,33,203,101,3,2,0,1,45,4
Raffaele Di Gennaro,Inter,19,GK,0,0.3,19,16,18,1,0,0,0,0,,0,,18,72,57,0,0,0,0,13,0
Ebenezer Akinsanmiro,Inter,9,MF,1,0.2,9,0,3,6,1,0,0,0,,0,,9,83,11,0,1,0,1,10,0
Lucien Agoume,Inter,6,MF,0,0.1,6,0,1,4,1,0,1,0,0,1,100,2,7,5,0,1,0,0,4,0
Rodri,Manchester City,4977,MF,27,46.3,4977,129,794,2929,1286,105,78,52,66.7,18,23.1,3136,15174,8644,115,122,19,37,4105,76
Phil Foden,Manchester City,2682,"FW,MF",82,45.7,2682,23,194,976,1540,237,118,58,49.2,51,43.2,1769,8395,4177,116,92,63,59,2203,358
Kyle Walker,Manchester City,3150,DF,27,43.3,3150,85,623,1689,860,45,36,22,61.1,11,30.6,1799,8750,4687,82,77,8,14,2336,190
Manuel Akanji,Manchester City,3232,"DF,MF",16,42,3232,195,967,1785,497,38,6,3,50,3,50,2062,10513,6179,61,64,3,15,2541,49
Erling Haaland,Manchester City,796,FW,56,41.5,806,18,40,258,514,243,39,15,38.5,22,56.4,450,2022,928,42,16,27,25,623,169
Rúben Dias,Manchester City,3867,DF,12,41.4,3867,293,1269,2259,348,40,3,1,33.3,2,66.7,2625,14734,9241,48,88,1,8,3112,18
Bernardo Silva,Manchester City,2616,"FW,MF",51,40.4,2616,42,273,1043,1312,192,72,41,56.9,27,37.5,1753,10015,5440,169,90,46,44,2094,332
Ederson,Manchester City,1539,GK,0,39.3,1539,1138,1517,22,0,0,2,1,50,1,50,1006,4479,2892,0,0,0,0,1016,0
Joško Gvardiol,Manchester City,2836,DF,25,38.2,2836,76,543,1534,787,65,54,32,59.3,16,29.6,1726,8344,4520,81,69,17,19,2065,131
Julián Álvarez,Manchester City,1775,"MF,FW",64,37.3,1777,22,111,540,1140,166,51,26,51,25,49,1043,5257,2554,80,71,28,46,1280,206
Nathan Aké,Manchester City,2473,"DF,MF",11,32,2473,118,719,1407,356,44,11,6,54.5,3,27.3,1563,7599,4469,34,57,1,3,1876,24
Mateo Kovačić,Manchester City,2083,MF,21,28.8,2083,41,278,1315,502,25,43,24,55.8,11,25.6,1389,7699,3397,51,67,2,27,1762,54
Jeremy Doku,Manchester City,1405,"FW,MF",60,24.2,1405,5,83,340,1003,272,219,116,53,79,36.1,1055,9215,5903,256,67,175,42,1130,361
Jack Grealish,Manchester City,1040,"FW,MF",29,21.5,1040,11,73,294,681,126,59,24,40.7,14,23.7,771,6234,3107,130,68,70,25,850,239
Kevin De Bruyne,Manchester City,1298,MF,15,19.4,1298,2,39,399,872,104,40,12,30,25,62.5,711,3266,1849,53,45,15,23,977,161
John Stones,Manchester City,1241,"DF,MF",7,19,1241,80,334,673,239,12,7,1,14.3,5,71.4,790,4482,2137,21,28,1,8,1018,28
Stefan Ortega,Manchester City,458,GK,0,18.1,458,334,455,3,0,0,1,1,100,0,0,324,1443,869,0,0,0,0,305,0
Rico Lewis,Manchester City,1029,"MF,DF",8,17.2,1029,17,170,498,371,46,18,9,50,7,38.9,652,3224,1789,36,39,5,20,816,80
Matheus Nunes,Manchester City,908,"MF,FW",27,14.1,908,17,81,391,446,70,51,18,35.3,26,51,589,3587,1737,49,46,19,21,756,99
Oscar Bobb,Manchester City,332,"FW,MF",7,8.8,332,4,19,78,240,38,25,14,56,10,40,213,1160,614,20,12,10,9,256,48
Sergio Gómez,Manchester City,266,"DF,FW",4,4.9,266,1,40,114,113,11,5,3,60,2,40,163,967,465,14,7,1,1,214,20
Kalvin Phillips,Manchester City,221,MF,7,3.5,222,4,45,140,39,6,6,1,16.7,3,50,142,817,382,8,6,1,3,165,3
Micah Hamilton,Manchester City,48,FW,0,1.4,48,0,1,10,37,9,5,0,0,5,100,35,193,137,7,1,6,1,37,13
Cole Palmer,Manchester City,6,MF,1,1.4,6,0,0,4,2,0,0,0,,0,,6,35,4,0,0,0,0,6,0
Jacob Wright,Manchester City,8,FW,0,0.2,8,0,0,7,1,0,0,0,,0,,3,14,7,0,0,0,0,7,0
Mahamadou Susoho,Manchester City,16,MF,0,0.2,16,0,3,11,2,0,0,0,,0,,12,50,14,0,0,0,1,15,0
Aymeric Laporte,Manchester City,14,DF,0,0.1,14,2,7,6,1,1,0,0,,0,,10,23,1,0,0,0,0,10,0
James Mcatee,Manchester City,1,MF,0,0,1,0,0,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0
William Saliba,Arsenal,3947,DF,28,50,3947,282,1539,2249,175,18,18,12,66.7,5,27.8,2598,11709,6524,20,28,1,15,2942,7
Gabriel Magalhães,Arsenal,3229,DF,18,48.1,3229,412,1362,1608,273,47,5,2,40,2,40,1978,8716,5050,14,44,1,5,2286,8
Declan Rice,Arsenal,3347,MF,42,47.4,3347,128,737,1827,817,75,67,37,55.2,25,37.3,2150,13219,6716,100,87,16,25,2429,74
Ben White,Arsenal,3043,DF,31,45.3,3043,137,733,1497,833,78,26,12,46.2,13,50,1657,6153,3253,50,42,11,13,2054,193
Martin Ødegaard,Arsenal,2789,MF,67,44.9,2791,26,304,1148,1363,193,97,49,50.5,42,43.3,1909,10035,4239,110,93,47,73,2204,239
Bukayo Saka,Arsenal,2333,FW,76,42.7,2339,42,216,605,1539,318,152,59,38.8,69,45.4,1489,8937,4726,196,86,89,69,1673,597
Kai Havertz,Arsenal,1630,"MF,FW",72,42.4,1631,36,181,715,752,212,59,19,32.2,31,52.5,887,4010,1950,65,46,26,44,1171,232
David Raya,Arsenal,1410,GK,3,41.3,1410,990,1362,49,0,0,0,0,,0,,960,4532,2497,0,0,0,0,808,0
Gabriel Martinelli,Arsenal,1497,FW,75,29.2,1497,14,115,388,1011,224,160,60,37.5,84,52.5,1039,7170,3645,158,63,100,54,1146,427
Leandro Trossard,Arsenal,1132,FW,62,25.2,1132,22,132,393,620,146,62,29,46.8,24,38.7,745,4513,2082,79,54,31,48,819,195
Oleksandr Zinchenko,Arsenal,2008,DF,12,23.1,2008,53,408,1047,567,29,16,7,43.8,7,43.8,1208,6042,3076,49,38,7,17,1369,63
Gabriel Jesus,Arsenal,992,FW,80,21.2,992,21,92,337,576,173,101,46,45.5,43,42.6,624,3331,1403,48,34,28,45,717,198
Jorginho,Arsenal,1269,MF,10,18.7,1270,36,236,744,292,8,5,2,40,3,60,771,2998,1370,11,14,1,9,961,15
Takehiro Tomiyasu,Arsenal,1099,DF,17,18.5,1099,41,242,534,329,38,15,6,40,8,53.3,645,3065,1412,25,17,4,5,700,47
Jakub Kiwior,Arsenal,942,DF,13,17.7,942,35,249,494,208,22,6,5,83.3,1,16.7,480,1785,962,6,9,1,3,600,18
Eddie Nketiah,Arsenal,438,FW,46,15.6,438,6,23,175,242,91,34,9,26.5,17,50,275,1379,559,26,12,12,21,322,89
Aaron Ramsdale,Arsenal,238,GK,1,11,238,170,226,12,0,0,0,0,,0,,158,789,458,0,0,0,0,127,0
Thomas Partey,Arsenal,717,MF,8,9.8,717,25,141,429,155,6,13,9,69.2,2,15.4,460,2263,1153,15,19,1,8,536,10
Reiss Nelson,Arsenal,313,FW,20,7.2,313,8,38,122,163,21,20,8,40,12,60,215,1238,494,15,11,8,9,226,42
Emile Smith Rowe,Arsenal,299,MF,6,5.4,299,3,29,123,148,23,7,3,42.9,3,42.9,185,992,541,11,10,1,4,226,20
Fabio Vieira,Arsenal,242,FW,8,5.3,243,2,20,103,123,23,11,3,27.3,6,54.5,161,829,413,15,4,6,6,188,43
Jurriën Timber,Arsenal,79,DF,0,1.6,79,0,11,51,17,1,1,1,100,0,0,61,249,121,0,3,0,1,61,5
Cédric Soares,Arsenal,110,DF,1,1.4,110,3,26,57,27,0,0,0,,0,,49,188,91,0,1,0,0,78,7
Mohamed Elneny,Arsenal,74,MF,1,1.1,74,2,17,47,10,1,0,0,,0,,43,248,108,2,1,0,0,57,0
Charles Sagoe Jr,Arsenal,,FW,,0.7,,,,,,,,,,,,,,,,,,,,
Kieran Tierney,Arsenal,,"DF,MF",,0.2,,,,,,,,,,,,,,,,,,,,
Ethan Nwaneri,Arsenal,20,MF,0,0.2,20,0,0,9,11,2,1,0,0,0,0,16,123,66,2,2,0,0,17,1
Kylian Mbappé,Paris S-G,1800,FW,90,43,1811,4,47,617,1162,317,205,97,47.3,92,44.9,1605,9756,4792,187,102,102,46,1584,428
Gianluigi Donnarumma,Paris S-G,1229,GK,2,41.1,1229,1071,1222,8,0,0,1,1,100,0,0,887,3699,2029,0,0,0,0,648,0
Vitinha,Paris S-G,2918,MF,36,39.5,2918,91,474,1533,941,63,70,43,61.4,25,35.7,2354,11782,5162,63,89,15,32,2229,146
Warren Zaïre-Emery,Paris S-G,2249,MF,47,36.9,2249,62,363,1178,735,53,61,26,42.6,30,49.2,1825,9725,4385,84,95,17,51,1757,115
Achraf Hakimi,Paris S-G,3319,DF,51,36.4,3319,86,705,1405,1238,95,79,35,44.3,43,54.4,2594,13617,7090,121,111,28,43,2458,346
Lucas Hernández,Paris S-G,2795,DF,28,33.6,2795,119,815,1676,327,24,22,13,59.1,6,27.3,2173,10023,4643,45,38,5,7,2031,30
Marquinhos,Paris S-G,2847,DF,9,31.9,2847,297,1058,1637,168,16,3,2,66.7,1,33.3,2364,13064,7516,27,36,0,2,2259,5
Ousmane Dembélé,Paris S-G,1977,"FW,MF",68,31.6,1977,8,99,728,1184,174,194,88,45.4,93,47.9,1656,12258,6657,255,164,93,37,1619,384
Manuel Ugarte Ribeiro,Paris S-G,1897,MF,32,27.2,1897,99,393,1172,357,12,45,22,48.9,18,40,1477,6721,2444,20,39,4,30,1325,26
Danilo Pereira,Paris S-G,2577,DF,4,27.2,2577,262,900,1616,71,15,5,3,60,2,40,2136,11443,6712,31,24,0,1,2018,2
Milan Škriniar,Paris S-G,2501,DF,6,25,2501,251,973,1484,51,9,4,2,50,1,25,2059,9548,4601,6,12,0,2,1944,2
Fabián Ruiz Peña,Paris S-G,1473,MF,22,24.8,1473,58,307,822,364,40,29,24,82.8,3,10.3,1204,5545,2304,30,31,2,8,1127,71
Bradley Barcola,Paris S-G,1085,"FW,DF",57,23.2,1085,21,122,334,653,153,138,65,47.1,68,49.3,863,5961,3366,129,64,71,19,825,292
Lee Kang-in,Paris S-G,1472,"MF,FW",24,23.1,1472,15,142,616,727,60,61,30,49.2,26,42.6,1158,6242,2731,61,62,22,22,1128,175
Randal Kolo Muani,Paris S-G,728,"FW,MF",65,21.7,728,20,79,279,380,104,92,35,38,52,56.5,573,3586,1502,50,25,28,33,560,163
Gonçalo Ramos,Paris S-G,682,FW,40,20.9,683,19,87,283,317,104,25,8,32,14,56,502,2016,603,12,11,10,17,503,103
Lucas Beraldo,Paris S-G,1448,DF,6,20.4,1448,127,585,799,68,8,7,5,71.4,1,14.3,1128,5482,2707,7,22,0,4,1053,2
Marco Asensio,Paris S-G,823,"FW,MF",14,16.4,823,9,82,354,395,40,24,12,50,10,41.7,669,3777,1532,36,38,6,11,640,100
Carlos Soler,Paris S-G,875,"MF,FW",14,14.2,875,27,184,425,273,36,10,5,50,4,40,709,3413,1302,15,23,2,8,675,60
Nordi Mukiele,Paris S-G,721,DF,15,10.5,721,66,296,318,112,15,12,8,66.7,2,16.7,517,2446,1088,13,6,3,11,480,26
Nuno Mendes,Paris S-G,635,DF,5,10.5,635,26,156,317,169,17,23,13,56.5,9,39.1,461,2347,1217,24,22,4,9,420,38
Keylor Navas,Paris S-G,103,GK,0,6,103,91,102,1,0,0,0,0,,0,,78,316,123,0,0,0,0,56,0
Arnau Tenas,Paris S-G,220,GK,0,5.9,220,199,218,2,0,0,0,0,,0,,168,710,397,0,0,0,0,131,0
Yoram Zague,Paris S-G,375,DF,2,4.1,375,14,107,220,51,3,4,2,50,1,25,297,1310,606,2,7,0,1,277,4
Senny Mayulu,Paris S-G,221,MF,14,3.9,221,1,20,91,111,17,10,5,50,5,50,179,841,367,4,3,3,3,174,38
Cher Ndour,Paris S-G,30,MF,2,1.3,30,0,4,21,6,0,1,1,100,0,0,25,90,20,0,0,0,0,22,1
Ethan Mbappé,Paris S-G,49,MF,0,1,49,1,8,24,17,2,0,0,,0,,44,200,64,1,3,1,0,44,4
Hugo Ekitike,Paris S-G,11,FW,2,0.1,11,0,0,1,10,2,0,0,,0,,11,56,6,0,0,1,1,11,3
Layvin Kurzawa,Paris S-G,14,DF,0,0.1,14,0,6,6,2,0,1,0,0,1,100,10,51,27,0,0,0,0,10,1
İlkay Gündoğan,Barcelona,3404,MF,49,46.4,3406,60,463,1876,1094,99,80,44,55,26,32.5,2043,10891,5309,88,103,11,39,2602,145
Jules Koundé,Barcelona,3663,DF,32,45.5,3663,223,1160,2017,514,47,45,21,46.7,18,40,2314,11352,7136,70,79,2,14,2606,70
Robert Lewandowski,Barcelona,1154,FW,114,42.1,1158,33,62,469,639,204,60,25,41.7,34,56.7,688,3399,1332,55,33,24,41,938,204
João Cancelo,Barcelona,2934,DF,67,36.8,2934,118,628,1491,857,97,157,90,57.3,53,33.8,1673,9851,5334,138,80,52,29,1931,243
Marc-André ter Stegen,Barcelona,1389,GK,1,36,1389,1058,1374,17,0,0,1,1,100,0,0,913,4557,3244,0,0,0,0,791,0
Ronald Araújo,Barcelona,2319,DF,17,33.6,2319,203,950,1255,128,44,13,10,76.9,2,15.4,1507,7895,4784,26,20,2,8,1699,12
Lamine Yamal,Barcelona,1834,FW,68,32.9,1834,20,151,560,1158,188,205,93,45.4,72,35.1,1275,8273,4804,155,94,74,34,1421,426
Andreas Christensen,Barcelona,2107,"DF,MF",9,30.8,2107,133,637,1335,144,25,8,4,50,4,50,1361,6053,3479,31,26,2,10,1615,8
Frenkie de Jong,Barcelona,2132,MF,16,27.9,2132,81,440,1300,406,18,30,17,56.7,10,33.3,1412,8428,4861,73,56,3,20,1699,42
João Félix,Barcelona,1150,FW,55,23.8,1150,16,105,425,629,132,110,36,32.7,61,55.5,778,4511,2344,82,59,36,38,955,234
Pedri,Barcelona,1574,"MF,FW",36,22.5,1574,33,211,859,520,43,43,19,44.2,22,51.2,953,5265,2691,49,54,9,19,1230,96
Alejandro Balde,Barcelona,1271,DF,38,22.2,1271,43,263,505,520,54,81,30,37,28,34.6,760,5138,2972,102,55,28,22,871,178
Ferrán Torres,Barcelona,787,FW,49,22.2,787,8,58,303,431,75,32,14,43.8,14,43.8,469,2315,977,39,26,21,21,631,156
Raphinha,Barcelona,1150,FW,45,21.6,1151,13,110,421,632,116,66,32,48.5,28,42.4,667,3965,1990,79,30,38,16,794,219
Pau Cubarsí,Barcelona,1799,DF,4,21.4,1799,193,864,888,48,6,4,3,75,1,25,1188,5716,2799,8,7,0,4,1378,2
Fermin López,Barcelona,1025,MF,58,21.2,1025,14,119,502,413,80,49,26,53.1,17,34.7,591,3063,1678,48,33,11,28,744,107
Iñigo Martínez,Barcelona,1472,DF,3,18.1,1472,113,552,856,71,13,1,0,0,1,100,974,5716,3981,41,24,1,0,1096,5
Iñaki Peña ,Barcelona,392,GK,0,17.3,392,344,391,1,0,0,0,0,,0,,225,968,566,0,0,0,0,198,0
