Player Name,Club Name,Country,Position,Age,YellowCards,RedCards,2ndYellowCard,FoulsCommited,FoulsDrawn,Offsides,Crosses,Interceptions,TacklesWon,PenaltyKicksWon,PenaltyKicksConceeded,OwnGoals,BallsRecovered,AerialDuelWon,AerialDuelLost,AerialDuelWinningPercentage
Davy Klaassen,Inter,NED,"MF,FW",30,1,0,0,3,1,1,0,3,3,0,0,0,13,4,2,66.7
Tajon Buchanan,Inter,CAN,"DF,FW",24,0,0,0,1,6,1,11,0,1,0,0,0,6,0,3,0
Stefano Sensi,Inter,ITA,MF,27,0,0,0,0,2,0,1,2,1,0,0,0,3,0,0,
Raffaele Di Gennaro,Inter,ITA,GK,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ebenezer Akinsanmiro,Inter,NGA,MF,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Lucien Agoume,Inter,FRA,MF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Rodri,Manchester City,ESP,MF,27,10,1,0,60,49,6,23,34,63,2,0,0,287,59,27,68.6
Phil Foden,Manchester City,ENG,"FW,MF",23,3,0,0,20,77,8,134,18,26,0,1,0,153,11,21,34.4
Kyle Walker,Manchester City,ENG,DF,33,2,0,0,32,24,8,82,34,29,0,0,0,181,31,17,64.6
Manuel Akanji,Manchester City,SUI,"DF,MF",28,7,1,1,26,33,0,15,32,38,0,0,0,171,32,31,50.8
Erling Haaland,Manchester City,NOR,FW,23,1,0,0,27,41,9,9,2,5,2,0,0,55,50,44,53.2
Rúben Dias,Manchester City,POR,DF,26,3,0,0,39,22,0,14,44,33,0,1,2,148,66,53,55.5
Bernardo Silva,Manchester City,POR,"FW,MF",28,9,0,0,34,36,3,108,28,34,0,0,0,120,3,10,23.1
Ederson,Manchester City,BRA,GK,29,5,0,0,2,4,0,0,0,0,0,1,0,62,8,0,100
Joško Gvardiol,Manchester City,CRO,DF,21,5,0,0,31,31,4,40,41,40,1,0,0,181,39,32,54.9
Julián Álvarez,Manchester City,ARG,"MF,FW",23,5,0,0,26,16,2,182,3,18,2,0,0,105,5,26,16.1
Nathan Aké,Manchester City,NED,"DF,MF",28,0,0,0,15,25,0,17,15,22,0,0,0,141,52,30,63.4
Mateo Kovačić,Manchester City,CRO,MF,29,5,0,0,19,29,1,2,19,33,0,0,0,88,5,7,41.7
Jeremy Doku,Manchester City,BEL,"FW,MF",21,4,0,0,21,54,6,84,11,34,2,0,0,94,2,3,40
Jack Grealish,Manchester City,ENG,"FW,MF",27,7,0,0,14,69,2,49,10,12,0,0,0,60,5,5,50
Kevin De Bruyne,Manchester City,BEL,MF,32,3,0,0,19,18,3,193,4,14,0,0,0,61,7,5,58.3
John Stones,Manchester City,ENG,"DF,MF",29,2,0,0,5,8,1,7,14,3,0,0,0,64,21,8,72.4
Stefan Ortega,Manchester City,GER,GK,30,0,0,0,0,1,0,0,0,0,0,0,0,21,1,0,100
Rico Lewis,Manchester City,ENG,"MF,DF",18,1,0,0,14,32,0,7,8,12,0,0,0,65,0,8,0
Matheus Nunes,Manchester City,POR,"MF,FW",24,0,0,0,11,37,3,31,6,8,1,0,0,50,8,14,36.4
Oscar Bobb,Manchester City,NOR,"FW,MF",20,0,0,0,6,12,3,9,5,7,0,0,0,25,1,4,20
Sergio Gómez,Manchester City,ESP,"DF,FW",22,0,0,0,4,0,1,25,3,4,0,0,0,12,3,2,60
Kalvin Phillips,Manchester City,ENG,MF,27,2,0,0,11,7,0,2,3,5,0,0,0,14,4,2,66.7
Micah Hamilton,Manchester City,ENG,FW,19,0,0,0,1,1,2,1,1,1,1,0,0,3,1,1,50
Cole Palmer,Manchester City,ENG,MF,21,0,0,0,3,1,0,5,0,1,0,0,0,0,0,0,
Jacob Wright,Manchester City,ENG,FW,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mahamadou Susoho,Manchester City,ESP,MF,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Aymeric Laporte,Manchester City,ESP,DF,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
James Mcatee,Manchester City,ENG,MF,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
William Saliba,Arsenal,FRA,DF,22,6,0,0,36,20,0,3,37,33,0,2,0,263,92,60,60.5
Gabriel Magalhães,Arsenal,BRA,DF,25,5,0,0,50,41,3,4,39,39,0,0,1,182,93,76,55
Declan Rice,Arsenal,ENG,MF,24,7,0,0,41,22,2,77,58,65,0,2,0,232,50,50,50
Ben White,Arsenal,ENG,DF,25,11,0,0,30,16,12,68,44,34,0,0,1,145,45,26,63.4
Martin Ødegaard,Arsenal,NOR,MF,24,2,0,0,36,49,4,95,22,23,1,0,0,188,4,11,26.7
Bukayo Saka,Arsenal,ENG,FW,21,4,0,0,51,96,11,221,17,48,1,0,0,187,26,41,38.8
Kai Havertz,Arsenal,GER,"MF,FW",24,14,0,0,82,63,21,18,24,21,1,0,0,149,128,122,51.2
David Raya,Arsenal,ESP,GK,27,2,0,0,0,4,0,0,0,1,0,0,0,50,7,2,77.8
Gabriel Martinelli,Arsenal,BRA,FW,22,1,0,0,33,30,9,138,8,27,0,0,0,120,18,29,38.3
Leandro Trossard,Arsenal,BEL,FW,28,2,0,0,23,31,10,74,11,18,1,0,0,100,6,12,33.3
Oleksandr Zinchenko,Arsenal,UKR,DF,26,3,0,0,8,11,1,31,24,34,0,0,0,123,28,18,60.9
Gabriel Jesus,Arsenal,BRA,FW,26,8,0,0,34,38,17,10,14,22,1,0,0,80,24,48,33.3
Jorginho,Arsenal,ITA,MF,31,2,0,0,21,33,0,4,24,26,0,0,0,71,12,12,50
Takehiro Tomiyasu,Arsenal,JPN,DF,24,2,1,1,18,10,1,19,20,12,0,0,0,68,28,25,52.8
Jakub Kiwior,Arsenal,POL,DF,23,2,0,0,20,4,0,14,13,17,0,0,1,45,20,11,64.5
Eddie Nketiah,Arsenal,ENG,FW,24,4,0,0,35,33,8,6,5,8,2,0,0,30,24,27,47.1
Aaron Ramsdale,Arsenal,ENG,GK,25,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,
Thomas Partey,Arsenal,GHA,MF,30,5,0,0,12,9,0,2,11,13,0,0,0,57,7,8,46.7
Reiss Nelson,Arsenal,ENG,FW,23,1,0,0,8,14,1,27,5,9,0,0,0,30,1,6,14.3
Emile Smith Rowe,Arsenal,ENG,MF,23,0,0,0,6,3,0,2,6,4,0,0,0,22,3,6,33.3
Fabio Vieira,Arsenal,POR,FW,23,0,1,0,12,16,2,24,2,2,2,0,0,25,3,1,75
Jurriën Timber,Arsenal,NED,DF,22,2,0,0,3,1,1,1,2,2,0,0,0,4,1,1,50
Cédric Soares,Arsenal,POR,DF,31,0,0,0,0,1,0,7,0,0,0,0,0,6,0,1,0
Mohamed Elneny,Arsenal,EGY,MF,31,0,0,0,1,0,0,0,1,0,0,0,0,3,2,2,50
Charles Sagoe Jr,Arsenal,ENG,FW,19,0,0,0,0,0,0,2,0,0,,,0,,,,
Kieran Tierney,Arsenal,SCO,"DF,MF",26,0,0,0,0,0,,1,0,0,,,,,,,
Ethan Nwaneri,Arsenal,ENG,MF,16,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100
Kylian Mbappé,Paris S-G,FRA,FW,24,5,0,0,34,58,45,51,9,3,2,0,0,67,4,11,26.7
Gianluigi Donnarumma,Paris S-G,ITA,GK,24,5,1,0,2,2,0,0,1,2,0,1,0,50,5,2,71.4
Vitinha,Paris S-G,POR,MF,23,3,0,0,40,24,2,61,44,41,0,0,0,227,7,13,35
Warren Zaïre-Emery,Paris S-G,FRA,MF,17,5,0,0,38,46,2,14,25,40,0,1,0,169,12,27,30.8
Achraf Hakimi,Paris S-G,MAR,DF,24,7,0,0,40,40,4,120,26,39,0,1,0,220,19,27,41.3
Lucas Hernández,Paris S-G,FRA,DF,27,9,0,0,37,52,1,27,32,48,1,0,0,168,30,28,51.7
Marquinhos,Paris S-G,BRA,DF,29,3,0,0,11,8,2,1,33,23,0,0,0,143,42,38,52.5
Ousmane Dembélé,Paris S-G,FRA,"FW,MF",26,7,0,0,21,49,8,206,12,26,2,0,0,93,6,12,33.3
Manuel Ugarte Ribeiro,Paris S-G,URU,MF,22,7,0,0,59,39,0,5,48,64,1,0,0,210,17,18,48.6
Danilo Pereira,Paris S-G,POR,DF,31,2,0,0,17,14,1,1,27,18,0,2,0,135,51,30,63
Milan Škriniar,Paris S-G,SVK,DF,28,3,0,0,20,16,1,1,17,26,0,0,0,147,33,40,45.2
Fabián Ruiz Peña,Paris S-G,ESP,MF,27,5,0,0,15,20,1,21,21,33,0,0,0,128,9,11,45
Bradley Barcola,Paris S-G,FRA,"FW,DF",20,3,1,1,31,18,9,31,15,29,0,0,0,71,13,15,46.4
Lee Kang-in,Paris S-G,KOR,"MF,FW",22,3,0,0,25,35,2,131,10,21,0,0,0,80,5,17,22.7
Randal Kolo Muani,Paris S-G,FRA,"FW,MF",24,2,0,0,44,38,9,11,5,11,2,0,0,54,21,19,52.5
Gonçalo Ramos,Paris S-G,POR,FW,22,2,0,0,25,31,5,3,5,18,2,0,0,52,30,27,52.6
Lucas Beraldo,Paris S-G,BRA,DF,19,6,1,0,25,23,0,3,29,27,0,0,0,86,30,22,57.7
Marco Asensio,Paris S-G,ESP,"FW,MF",27,0,0,0,10,13,0,67,7,13,0,0,0,49,2,5,28.6
Carlos Soler,Paris S-G,ESP,"MF,FW",26,1,0,0,11,12,1,28,8,10,0,0,0,55,6,6,50
Nordi Mukiele,Paris S-G,FRA,DF,25,2,0,0,15,14,5,5,14,10,0,0,0,54,27,9,75
Nuno Mendes,Paris S-G,POR,DF,21,4,0,0,14,4,0,26,15,16,0,0,0,48,7,5,58.3
Keylor Navas,Paris S-G,CRC,GK,36,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
Arnau Tenas,Paris S-G,ESP,GK,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
Yoram Zague,Paris S-G,FRA,DF,17,1,0,0,5,3,0,2,4,8,0,0,0,25,0,8,0
Senny Mayulu,Paris S-G,FRA,MF,17,0,0,0,8,4,1,13,3,8,0,0,0,21,0,0,
Cher Ndour,Paris S-G,ITA,MF,19,1,0,0,3,0,0,0,0,3,0,0,0,5,0,3,0
Ethan Mbappé,Paris S-G,FRA,MF,16,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
Hugo Ekitike,Paris S-G,FRA,FW,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Layvin Kurzawa,Paris S-G,FRA,DF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
İlkay Gündoğan,Barcelona,GER,MF,32,6,0,0,24,59,7,215,28,30,1,0,0,231,10,21,32.3
Jules Koundé,Barcelona,FRA,DF,24,5,0,0,32,30,3,44,43,37,0,0,0,194,93,55,62.8
Robert Lewandowski,Barcelona,POL,FW,34,6,0,0,37,74,31,19,9,12,1,0,0,79,76,74,50.7
João Cancelo,Barcelona,POR,DF,29,8,0,0,52,33,4,108,48,66,0,1,0,212,32,33,49.2
Marc-André ter Stegen,Barcelona,GER,GK,31,3,0,0,0,1,0,0,0,0,0,0,0,72,5,0,100
Ronald Araújo,Barcelona,URU,DF,24,10,2,1,34,15,0,9,21,38,0,1,0,130,73,27,73
Lamine Yamal,Barcelona,ESP,FW,16,6,0,0,35,62,5,112,28,51,2,0,0,142,3,16,15.8
Andreas Christensen,Barcelona,DEN,"DF,MF",27,8,0,0,34,17,0,0,32,25,0,0,0,127,66,31,68
Frenkie de Jong,Barcelona,NED,MF,26,10,0,0,33,36,1,28,23,31,0,0,0,135,25,18,58.1
João Félix,Barcelona,POR,FW,23,5,0,0,27,67,11,31,11,19,0,0,0,82,10,8,55.6
Pedri,Barcelona,ESP,"MF,FW",20,3,0,0,13,32,1,14,17,34,0,0,0,105,3,8,27.3
Alejandro Balde,Barcelona,ESP,DF,19,2,0,0,14,26,4,65,6,16,0,0,0,89,14,14,50
Ferrán Torres,Barcelona,ESP,FW,23,5,0,0,12,25,21,52,5,10,1,0,0,46,8,14,36.4
Raphinha,Barcelona,BRA,FW,26,5,1,0,22,41,7,108,15,17,1,0,0,99,10,8,55.6
Pau Cubarsí,Barcelona,ESP,DF,16,6,0,0,17,2,0,1,14,23,0,1,0,73,33,28,54.1
Fermin López,Barcelona,ESP,MF,20,4,0,0,53,27,11,19,6,30,0,0,0,91,11,27,28.9
Iñigo Martínez,Barcelona,ESP,DF,32,7,0,0,15,13,1,5,14,8,0,0,0,78,39,31,55.7
Iñaki Peña ,Barcelona,ESP,GK,24,0,0,0,0,1,0,0,0,0,0,0,0,15,5,0,100
Oriol Romeu,Barcelona,ESP,MF,31,4,0,0,20,21,0,8,12,28,0,0,0,86,18,22,45
Sergi Roberto,Barcelona,ESP,MF,31,9,0,0,17,14,1,16,9,14,0,0,0,52,15,12,55.6
Gavi,Barcelona,ESP,MF,18,8,1,1,39,26,4,9,9,23,0,0,0,57,14,28,33.3
Héctor Fort,Barcelona,ESP,DF,16,1,0,0,13,3,1,10,3,9,0,0,0,17,0,3,0
Marcos Alonso,Barcelona,ESP,"DF,FW",32,0,0,0,10,7,0,22,6,3,0,0,0,22,3,5,37.5
Vitor Roque,Barcelona,BRA,FW,18,4,1,1,13,12,2,3,1,2,0,0,0,8,3,6,33.3
Marc Guiu,Barcelona,ESP,FW,17,2,0,0,4,5,1,0,0,0,0,0,0,1,1,4,20
Abde Ezzalzouli,Barcelona,MAR,"FW,MF",21,0,0,0,1,3,0,7,0,1,0,0,0,2,1,2,33.3
Eric García,Barcelona,ESP,DF,22,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100
Ansu Fati,Barcelona,ESP,"MF,FW",20,0,0,0,0,4,1,0,0,0,0,0,0,2,1,1,50
Marc Casado,Barcelona,ESP,MF,19,0,0,0,0,3,0,1,2,1,0,0,0,3,0,0,
Virgil van Dijk,Liverpool,NED,DF,32,4,1,0,28,14,1,0,48,28,0,0,0,192,156,35,81.7
Luis Díaz,Liverpool,COL,FW,26,3,0,0,67,59,25,33,6,31,2,0,0,141,28,66,29.8
Alexis Mac Allister,Liverpool,ARG,MF,24,9,1,0,72,67,1,49,45,69,1,0,0,226,32,31,50.8
Joe Gomez,Liverpool,ENG,DF,26,7,0,0,37,22,0,64,38,51,0,0,0,150,48,12,80
Mohamed Salah,Liverpool,EGY,FW,31,2,0,0,13,30,25,53,3,11,1,0,0,97,7,15,31.8
Darwin Núñez,Liverpool,URU,FW,24,11,0,0,39,21,45,27,4,24,1,0,0,66,41,70,36.9
Cody Gakpo,Liverpool,NED,"FW,MF",24,2,0,0,46,63,14,55,18,26,1,0,0,102,38,34,52.8
Alisson,Liverpool,BRA,GK,30,1,0,0,1,5,0,0,0,0,0,0,0,42,6,2,75
Harvey Elliott,Liverpool,ENG,"MF,FW",20,4,0,0,16,23,3,110,14,32,1,0,0,115,12,15,44.4
Wataru Endo,Liverpool,JPN,MF,30,12,0,0,71,36,1,5,35,43,0,0,0,144,42,32,56.8
Dominik Szoboszlai,Liverpool,HUN,MF,22,1,0,0,36,34,3,141,23,23,2,0,0,193,14,23,37.8
Trent Alexander-Arnold,Liverpool,ENG,DF,24,7,0,0,11,12,2,202,37,31,0,0,0,205,11,6,64.7
Ibrahima Konaté,Liverpool,FRA,DF,24,7,1,1,41,29,0,2,41,33,0,0,0,138,99,42,70.2
Jarell Quansah,Liverpool,ENG,DF,20,2,0,0,22,7,2,0,35,37,0,1,0,95,60,31,65.9
Caoimhín Kelleher,Liverpool,IRL,GK,24,2,0,0,0,1,0,0,0,0,0,0,0,26,6,0,100
Andrew Robertson,Liverpool,SCO,DF,29,2,0,0,12,5,3,218,17,29,0,0,0,119,14,12,53.8
Curtis Jones,Liverpool,ENG,MF,22,3,1,0,22,24,5,12,14,21,0,0,0,104,12,17,41.4
Ryan Gravenberch,Liverpool,NED,MF,21,1,0,0,35,29,1,8,24,24,0,0,0,99,10,17,37
Diogo Jota,Liverpool,POR,FW,26,3,1,1,34,33,3,13,11,17,2,0,0,54,22,47,31.9
Conor Bradley,Liverpool,NIR,DF,20,4,0,0,18,21,2,43,14,42,0,0,2,62,14,7,66.7
Kostas Tsimikas,Liverpool,GRE,DF,27,0,0,0,24,12,2,150,21,27,0,0,0,72,5,16,23.8
Joël Matip,Liverpool,CMR,DF,31,2,0,0,8,6,1,0,14,6,0,0,1,67,34,14,70.8
Bobby Clark,Liverpool,ENG,MF,18,1,0,0,11,5,0,2,3,8,0,0,0,9,0,0,
Ben Doak,Liverpool,SCO,FW,17,0,0,0,8,4,1,1,1,0,0,0,0,5,0,1,0
James McConnell,Liverpool,ENG,MF,18,1,0,0,7,1,0,3,3,3,0,0,0,3,0,0,
Luke Chambers,Liverpool,ENG,DF,19,0,0,0,3,2,0,2,2,1,0,0,0,4,0,1,0
Stefan Bajcetic,Liverpool,ESP,MF,18,1,0,0,3,3,0,2,1,2,0,0,0,11,0,2,0
Jayden Danns,Liverpool,ENG,FW,17,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,33.3
Kaide Gordon,Liverpool,ENG,FW,18,0,0,0,1,5,0,0,0,0,0,0,0,3,1,0,100
Lewis Koumas,Liverpool,WAL,MF,17,0,0,0,0,0,0,0,0,1,,,0,,,,
Calum Scanlon,Liverpool,ENG,MF,18,1,0,0,1,0,0,0,1,1,0,0,0,5,0,0,
Mateusz Musialowski,Liverpool,POL,MF,19,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,
Trey Nyoni,Liverpool,ENG,MF,16,0,0,0,0,0,0,0,0,1,,,0,,,,
Owen Beck,Liverpool,WAL,DF,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Thiago Alcántara,Liverpool,ESP,MF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Waldemar Anton,Stuttgart,GER,DF,27,8,0,0,30,30,0,16,49,28,1,1,1,203,79,42,65.3
Alexander Nübel,Stuttgart,GER,GK,26,1,0,0,0,4,0,0,0,2,0,0,1,65,8,1,88.9
Atakan Karazor,Stuttgart,GER,MF,26,10,0,0,33,65,0,5,29,51,0,0,0,174,44,38,53.7
Angelo Stiller,Stuttgart,GER,MF,22,5,0,0,40,38,1,83,32,37,0,0,0,196,30,30,50
Chris Führich,Stuttgart,GER,"FW,MF",25,2,0,0,7,14,3,113,7,21,0,0,0,119,4,14,22.2
Hiroki Ito,Stuttgart,JPN,DF,24,2,0,0,18,10,2,30,33,21,0,0,0,125,30,38,44.1
