Player Name,Club Name,Country,Position,Age,90s,"PassesCompleted	",InGamePasses,SetPiecesPasses,FreeKickPasses,ThroughBalls,Switches,Crosses,ThrowInsTaken,CornersTaken,InswingingCorners,OutswingingCorners,StraightCorners,PassesCompleted,PassesOffside,PassesBlocked
Arthur,Leverkusen,BRA,DF,20,2.3,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3
Nadiem Amiri,Leverkusen,GER,MF,26,1.7,100,98,2,1,0,0,8,0,1,0,0,0,92,0,2
Noah Mbamba,Leverkusen,BEL,FW,18,1.2,38,36,2,0,0,0,1,2,0,0,0,0,34,0,1
Niklas Lomb,Leverkusen,GER,GK,30,1,25,23,2,0,0,0,0,0,0,0,0,0,22,0,0
Ken Izekor,Leverkusen,GER,DF,16,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Ayman Aourir,Leverkusen,GER,MF,18,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Federico Valverde,Real Madrid,URU,"MF,FW",25,47.5,2739,2689,40,29,15,46,43,6,0,0,0,0,2453,10,31
Antonio Rüdiger,Real Madrid,GER,DF,30,45.3,2471,2402,63,38,3,18,8,10,0,0,0,0,2221,6,10
Rodrygo,Real Madrid,BRA,FW,22,40.9,1379,1314,61,8,3,1,46,14,16,2,6,0,1221,4,25
Jude Bellingham,Real Madrid,ENG,"MF,FW",20,40.3,2130,2062,55,19,20,17,36,14,1,1,0,0,1880,13,38
Dani Carvajal,Real Madrid,ESP,DF,31,37.2,1975,1697,277,47,3,4,64,230,0,0,0,0,1679,1,51
Toni Kroos,Real Madrid,GER,MF,33,35.2,3436,3104,323,175,7,78,174,14,134,45,54,0,3145,9,20
Nacho,Real Madrid,ESP,DF,33,34.8,1942,1811,129,62,0,7,3,10,0,0,0,0,1808,2,6
Vinicius Júnior,Real Madrid,BRA,FW,23,34.1,992,955,32,6,12,26,94,11,7,0,0,0,724,5,53
Andriy Lunin,Real Madrid,UKR,GK,24,31.7,924,722,200,30,0,2,0,0,0,0,0,0,779,2,3
Ferland Mendy,Real Madrid,FRA,DF,28,31.4,1735,1535,200,17,0,5,10,183,0,0,0,0,1620,0,11
Eduardo Camavinga,Real Madrid,FRA,MF,20,31.3,1836,1773,55,31,7,12,7,23,0,0,0,0,1665,8,21
Aurélien Tchouaméni,Real Madrid,FRA,"MF,DF",23,31.2,1937,1872,59,55,1,8,28,2,0,0,0,0,1761,6,10
Luka Modrić,Real Madrid,CRO,MF,37,25,2097,1891,198,78,7,32,135,13,96,23,52,0,1825,8,25
Joselu,Real Madrid,ESP,FW,33,23.6,442,421,18,0,2,1,8,3,0,0,0,0,321,3,10
Brahim Díaz,Real Madrid,MAR,"MF,FW",23,23,888,846,35,9,8,3,50,6,8,3,2,0,740,7,16
Lucas Vázquez,Real Madrid,ESP,DF,32,19.9,1412,1246,164,13,5,8,67,149,2,0,1,0,1210,2,25
Kepa Arrizabalaga,Real Madrid,ESP,GK,28,19.6,598,490,108,19,0,1,0,0,0,0,0,0,514,0,1
Fran Garcia,Real Madrid,ESP,DF,23,18.8,1181,1033,145,7,2,4,76,138,0,0,0,0,1006,3,26
David Alaba,Real Madrid,AUT,DF,31,15.6,1116,1036,76,24,4,8,24,12,15,9,3,0,1000,4,4
Dani Ceballos,Real Madrid,ESP,MF,26,9.7,685,660,24,12,5,6,21,6,6,1,2,0,613,1,12
Éder Militão,Real Madrid,BRA,DF,25,5.7,334,312,21,10,0,8,1,2,0,0,0,0,301,1,2
Arda Güler,Real Madrid,TUR,MF,18,4.9,218,205,13,4,0,3,17,2,6,5,0,0,183,0,4
Thibaut Courtois,Real Madrid,BEL,GK,31,4.7,146,123,23,3,0,1,0,0,0,0,0,0,132,0,0
Nicolás Paz,Real Madrid,ARG,MF,18,1.5,50,47,2,0,0,0,2,0,2,2,0,0,40,1,1
Álvaro Carrillo,Real Madrid,ESP,DF,21,1,,,,,,,1,,,,,,,,
Vinicius Tobias,Real Madrid,BRA,DF,19,0.9,,,,,,,2,,,,,,,,
Mario Martín,Real Madrid,ESP,MF,19,0.4,15,14,1,1,0,0,0,0,0,0,0,0,12,0,0
Gonzalo García,Real Madrid,ESP,MF,19,0.2,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Álvaro Muñoz,Real Madrid,URU,FW,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yann Sommer,Inter,SUI,GK,34,43.3,1556,1265,289,49,0,1,0,0,0,0,0,0,1348,2,0
Henrikh Mkhitaryan,Inter,ARM,MF,34,38.9,1936,1907,25,17,8,16,36,8,0,0,0,0,1670,4,50
Nicolò Barella,Inter,ITA,MF,26,38.8,2511,2452,47,21,15,30,71,24,2,0,1,0,2115,12,47
Lautaro Martínez,Inter,ARG,FW,25,38.3,891,836,49,4,13,4,20,1,0,0,0,0,685,6,32
Marcus Thuram,Inter,FRA,FW,25,37.2,757,739,16,0,4,4,24,1,0,0,0,0,547,2,25
Hakan Çalhanoğlu,Inter,TUR,MF,29,35.9,2753,2485,258,123,6,42,186,8,126,56,52,1,2421,10,24
Matteo Darmian,Inter,ITA,"DF,FW",33,34.6,1650,1465,182,21,5,12,35,161,0,0,0,0,1392,3,44
Francesco Acerbi,Inter,ITA,DF,35,34.6,2085,2007,76,53,0,13,15,9,0,0,0,0,1876,2,8
Alessandro Bastoni,Inter,ITA,DF,24,32.3,2336,2146,178,75,3,32,93,91,0,0,0,0,2010,12,42
Federico Dimarco,Inter,ITA,DF,25,29.5,1548,1304,237,32,1,8,251,141,64,23,30,0,1190,7,44
Benjamin Pavard,Inter,FRA,DF,27,26.3,1679,1599,77,40,0,3,31,37,0,0,0,0,1501,3,14
Carlos Augusto,Inter,BRA,"DF,FW",24,26.1,1373,1213,150,16,0,4,64,127,1,1,0,0,1124,10,34
Stefan de Vrij,Inter,NED,DF,31,24.1,1432,1404,27,21,1,0,0,1,0,0,0,0,1327,1,2
Denzel Dumfries,Inter,NED,DF,27,21.8,926,753,168,5,0,2,57,163,0,0,0,0,701,5,20
Davide Frattesi,Inter,ITA,MF,23,17.6,432,420,11,9,3,2,17,2,0,0,0,0,336,1,14
Yann Aurel Bisseck,Inter,GER,DF,22,13,800,769,31,23,1,4,8,8,0,0,0,0,737,0,12
Alexis Sánchez,Inter,CHI,FW,34,12.5,472,426,43,7,5,7,47,0,28,12,11,0,348,3,16
Marko Arnautović,Inter,AUT,FW,34,12.1,306,296,8,0,3,1,11,0,0,0,0,0,226,2,11
Kristjan Asllani,Inter,ALB,MF,21,12,900,830,66,30,2,9,50,1,35,13,12,0,803,4,8
Emil Audero,Inter,ITA,GK,26,6.1,234,204,28,3,0,0,0,0,0,0,0,0,201,2,1
Juan Cuadrado,Inter,COL,"DF,FW",35,4.2,241,211,30,4,1,8,22,26,0,0,0,0,202,0,0
Davy Klaassen,Inter,NED,"MF,FW",30,4,130,128,2,1,0,1,0,1,0,0,0,0,111,0,3
Tajon Buchanan,Inter,CAN,"DF,FW",24,1.8,72,70,2,0,0,0,11,2,0,0,0,0,58,0,3
Stefano Sensi,Inter,ITA,MF,27,0.9,52,49,3,1,1,1,1,0,2,0,1,0,47,0,1
Raffaele Di Gennaro,Inter,ITA,GK,29,0.3,17,15,1,0,0,0,0,0,0,0,0,0,15,1,0
Ebenezer Akinsanmiro,Inter,NGA,MF,18,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
Lucien Agoume,Inter,FRA,MF,21,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Rodri,Manchester City,ESP,MF,27,46.3,4588,4492,89,79,17,46,23,6,3,0,0,0,4216,7,27
Phil Foden,Manchester City,ENG,"FW,MF",23,45.7,2222,2127,91,21,21,7,134,4,55,28,17,0,1909,4,60
Kyle Walker,Manchester City,ENG,DF,33,43.3,2920,2628,291,41,6,23,82,250,0,0,0,0,2593,1,37
Manuel Akanji,Manchester City,SUI,"DF,MF",28,42,2986,2880,103,53,5,18,15,37,0,0,0,0,2798,3,11
Erling Haaland,Manchester City,NOR,FW,23,41.5,477,460,16,1,4,0,9,1,0,0,0,0,365,1,19
Rúben Dias,Manchester City,POR,DF,26,41.4,3567,3473,91,67,2,8,14,15,0,0,0,0,3362,3,11
Bernardo Silva,Manchester City,POR,"FW,MF",28,40.4,2296,2171,119,42,2,8,108,35,23,10,0,0,1990,6,40
Ederson,Manchester City,BRA,GK,29,39.3,1483,1293,190,53,0,13,0,0,0,0,0,0,1313,0,1
Joško Gvardiol,Manchester City,CRO,DF,21,38.2,2540,2319,217,31,3,13,40,186,0,0,0,0,2253,4,43
Julián Álvarez,Manchester City,ARG,"MF,FW",23,37.3,1442,1228,210,29,11,2,182,8,147,50,41,2,1168,4,28
Nathan Aké,Manchester City,NED,"DF,MF",28,32,2286,2150,134,41,1,4,17,88,0,0,0,0,2122,2,16
Mateo Kovačić,Manchester City,CRO,MF,29,28.8,1879,1832,45,29,6,2,2,3,1,0,0,0,1760,2,15
Jeremy Doku,Manchester City,BEL,"FW,MF",21,24.2,1036,1022,14,3,2,3,84,8,3,0,0,0,852,0,40
Jack Grealish,Manchester City,ENG,"FW,MF",27,21.5,875,830,42,13,4,3,49,14,15,6,1,1,750,3,34
Kevin De Bruyne,Manchester City,BEL,MF,32,19.4,1134,976,149,24,11,7,193,28,88,36,23,5,846,9,34
John Stones,Manchester City,ENG,"DF,MF",29,19,1146,1123,23,16,0,8,7,4,0,0,0,0,1073,0,7
Stefan Ortega,Manchester City,GER,GK,30,18.1,439,395,43,11,0,0,0,0,0,0,0,0,356,1,1
Rico Lewis,Manchester City,ENG,"MF,DF",18,17.2,935,869,66,13,4,2,7,52,0,0,0,0,859,0,16
Matheus Nunes,Manchester City,POR,"MF,FW",24,14.1,766,735,30,13,6,1,31,5,10,2,4,1,667,1,15
Oscar Bobb,Manchester City,NOR,"FW,MF",20,8.8,276,265,11,4,3,0,9,5,2,0,0,0,242,0,6
Sergio Gómez,Manchester City,ESP,"DF,FW",22,4.9,246,229,16,2,1,0,25,11,3,1,2,0,216,1,6
Kalvin Phillips,Manchester City,ENG,MF,27,3.5,187,178,9,9,0,0,2,0,0,0,0,0,169,0,3
Micah Hamilton,Manchester City,ENG,FW,19,1.4,33,33,0,0,0,0,1,0,0,0,0,0,30,0,0
Cole Palmer,Manchester City,ENG,MF,21,1.4,5,5,0,0,0,0,5,0,0,0,0,0,4,0,0
Jacob Wright,Manchester City,ENG,FW,17,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Mahamadou Susoho,Manchester City,ESP,MF,18,0.2,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Aymeric Laporte,Manchester City,ESP,DF,29,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0
James Mcatee,Manchester City,ENG,MF,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Saliba,Arsenal,FRA,DF,22,50,3635,3561,71,46,4,4,3,8,0,0,0,0,3335,3,17
Gabriel Magalhães,Arsenal,BRA,DF,25,48.1,2863,2704,153,64,2,6,4,5,0,0,0,0,2555,6,28
Declan Rice,Arsenal,ENG,MF,24,47.4,2910,2760,137,67,2,26,77,3,54,43,1,1,2573,13,33
Ben White,Arsenal,ENG,DF,25,45.3,2707,2362,341,57,5,15,68,284,0,0,0,0,2281,4,28
Martin Ødegaard,Arsenal,NOR,MF,24,44.9,2402,2254,130,70,42,7,95,15,31,23,4,0,2034,18,44
Bukayo Saka,Arsenal,ENG,FW,21,42.7,1788,1611,166,12,7,5,221,15,139,118,0,0,1353,11,60
Kai Havertz,Arsenal,GER,"MF,FW",24,42.4,1200,1178,17,3,2,0,18,9,0,0,0,0,969,5,20
David Raya,Arsenal,ESP,GK,27,41.3,1366,1148,215,86,0,2,0,0,0,0,0,0,1030,3,2
Gabriel Martinelli,Arsenal,BRA,FW,22,29.2,1098,1033,63,5,3,4,138,16,42,36,0,0,853,2,33
Leandro Trossard,Arsenal,BEL,FW,28,25.2,833,778,53,8,10,3,74,8,27,23,1,0,615,2,40
Oleksandr Zinchenko,Arsenal,UKR,DF,26,23.1,1825,1622,195,54,12,7,31,141,0,0,0,0,1605,8,18
Gabriel Jesus,Arsenal,BRA,FW,26,21.2,643,604,31,2,9,2,10,7,0,0,0,0,508,8,21
Jorginho,Arsenal,ITA,MF,31,18.7,1127,1084,33,28,6,2,4,1,0,0,0,0,1000,10,8
Takehiro Tomiyasu,Arsenal,JPN,DF,24,18.5,942,825,115,9,2,3,19,106,0,0,0,0,777,2,14
Jakub Kiwior,Arsenal,POL,DF,23,17.7,826,715,109,11,1,1,14,98,0,0,0,0,688,2,4
Eddie Nketiah,Arsenal,ENG,FW,24,15.6,257,239,18,0,3,0,6,1,0,0,0,0,202,0,12
Aaron Ramsdale,Arsenal,ENG,GK,25,11,226,182,44,17,0,0,0,0,0,0,0,0,163,0,2
Thomas Partey,Arsenal,GHA,MF,30,9.8,646,619,24,14,3,3,2,10,0,0,0,0,578,3,3
Reiss Nelson,Arsenal,ENG,FW,23,7.2,235,218,17,4,0,1,27,3,10,6,2,0,214,0,5
Emile Smith Rowe,Arsenal,ENG,MF,23,5.4,252,246,6,3,0,1,2,1,1,0,0,0,222,0,2
Fabio Vieira,Arsenal,POR,FW,23,5.3,203,187,14,4,3,3,24,0,9,4,0,0,165,2,1
Jurriën Timber,Arsenal,NED,DF,22,1.6,74,67,7,1,0,1,1,6,0,0,0,0,66,0,2
Cédric Soares,Arsenal,POR,DF,31,1.4,105,88,17,3,0,1,7,14,0,0,0,0,86,0,2
Mohamed Elneny,Arsenal,EGY,MF,31,1.1,65,63,2,2,0,0,0,0,0,0,0,0,60,0,1
Charles Sagoe Jr,Arsenal,ENG,FW,19,0.7,,,,,,,2,,,,,,,,
Kieran Tierney,Arsenal,SCO,"DF,MF",26,0.2,,,,,,,1,,,,,,,,
Ethan Nwaneri,Arsenal,ENG,MF,16,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0
Kylian Mbappé,Paris S-G,FRA,FW,24,43,1360,1305,48,8,16,14,51,12,15,0,0,0,1119,7,34
Gianluigi Donnarumma,Paris S-G,ITA,GK,24,41.1,1127,868,258,55,0,0,0,1,0,0,0,0,991,1,0
Vitinha,Paris S-G,POR,MF,23,39.5,2585,2442,137,65,9,19,61,12,30,11,8,0,2338,6,31
Warren Zaïre-Emery,Paris S-G,FRA,MF,17,36.9,1941,1862,72,23,3,11,14,40,0,0,0,0,1780,7,31
Achraf Hakimi,Paris S-G,MAR,DF,24,36.4,2953,2606,337,43,4,9,120,278,16,1,7,0,2533,10,66
Lucas Hernández,Paris S-G,FRA,DF,27,33.6,2542,2307,227,53,1,21,27,174,0,0,0,0,2275,8,29
Marquinhos,Paris S-G,BRA,DF,29,31.9,2614,2530,79,45,5,6,1,29,0,0,0,0,2438,5,7
Ousmane Dembélé,Paris S-G,FRA,"FW,MF",26,31.6,1630,1494,125,19,15,5,206,7,97,15,34,0,1195,11,53
Manuel Ugarte Ribeiro,Paris S-G,URU,MF,22,27.2,1584,1563,19,17,3,8,5,2,0,0,0,0,1444,2,14
Danilo Pereira,Paris S-G,POR,DF,31,27.2,2358,2315,40,34,2,4,1,5,0,0,0,0,2217,3,2
Milan Škriniar,Paris S-G,SVK,DF,28,25,2319,2253,64,39,0,6,1,7,0,0,0,0,2202,2,3
Fabián Ruiz Peña,Paris S-G,ESP,MF,27,24.8,1296,1253,42,23,5,6,21,9,4,2,0,0,1157,1,20
Bradley Barcola,Paris S-G,FRA,"FW,DF",20,23.2,749,734,11,2,4,2,31,8,1,1,0,0,584,4,20
Lee Kang-in,Paris S-G,KOR,"MF,FW",22,23.1,1283,1146,131,29,3,5,131,11,84,32,27,0,1065,6,18
Randal Kolo Muani,Paris S-G,FRA,"FW,MF",24,21.7,473,468,4,0,3,0,11,0,0,0,0,0,339,1,28
Gonçalo Ramos,Paris S-G,POR,FW,22,20.9,464,450,13,1,4,0,3,1,0,0,0,0,362,1,14
Lucas Beraldo,Paris S-G,BRA,DF,19,20.4,1312,1240,70,28,1,4,3,41,0,0,0,0,1170,2,15
Marco Asensio,Paris S-G,ESP,"FW,MF",27,16.4,715,655,57,10,7,7,67,8,31,11,10,0,595,3,15
Carlos Soler,Paris S-G,ESP,"MF,FW",26,14.2,784,738,44,17,4,2,28,19,6,1,1,0,672,2,18
Nordi Mukiele,Paris S-G,FRA,DF,25,10.5,618,559,59,14,1,5,5,45,0,0,0,0,522,0,16
Nuno Mendes,Paris S-G,POR,DF,21,10.5,561,489,70,5,1,3,26,65,0,0,0,0,467,2,16
Keylor Navas,Paris S-G,CRC,GK,36,6,98,78,20,2,0,0,0,0,0,0,0,0,91,0,0
Arnau Tenas,Paris S-G,ESP,GK,22,5.9,211,169,42,5,1,0,0,0,0,0,0,0,173,0,0
Yoram Zague,Paris S-G,FRA,DF,17,4.1,334,307,26,2,0,0,2,24,0,0,0,0,304,1,4
Senny Mayulu,Paris S-G,FRA,MF,17,3.9,175,172,3,0,2,0,13,1,2,0,0,0,145,0,5
Cher Ndour,Paris S-G,ITA,MF,19,1.3,25,25,0,0,0,0,0,0,0,0,0,0,23,0,0
Ethan Mbappé,Paris S-G,FRA,MF,16,1,46,44,2,0,0,0,1,2,0,0,0,0,42,0,0
Hugo Ekitike,Paris S-G,FRA,FW,21,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1
Layvin Kurzawa,Paris S-G,FRA,DF,30,0.1,13,11,2,1,0,0,0,1,0,0,0,0,13,0,0
İlkay Gündoğan,Barcelona,GER,MF,32,46.4,3111,2759,340,113,22,22,215,5,180,76,63,1,2684,12,38
Jules Koundé,Barcelona,FRA,DF,24,45.5,3299,2976,315,80,2,37,44,223,0,0,0,0,2954,8,36
Robert Lewandowski,Barcelona,POL,FW,34,42.1,761,735,19,2,9,5,19,1,0,0,0,0,537,7,30
João Cancelo,Barcelona,POR,DF,29,36.8,2449,2118,318,47,6,32,108,271,0,0,0,0,2048,13,54
Marc-André ter Stegen,Barcelona,GER,GK,31,36,1328,1071,255,60,0,1,0,0,0,0,0,0,1163,2,2
Ronald Araújo,Barcelona,URU,DF,24,33.6,2079,1944,124,62,4,19,9,45,0,0,0,0,1835,11,8
Lamine Yamal,Barcelona,ESP,FW,16,32.9,1397,1354,38,5,8,8,112,15,18,6,4,1,1104,5,29
Andreas Christensen,Barcelona,DEN,"DF,MF",27,30.8,1912,1844,68,49,0,5,0,9,0,0,0,0,1804,0,11
Frenkie de Jong,Barcelona,NED,MF,26,27.9,1942,1878,59,50,12,8,28,6,1,1,0,0,1785,5,15
João Félix,Barcelona,POR,FW,23,23.8,829,793,28,5,10,8,31,15,8,4,0,0,658,8,17
Pedri,Barcelona,ESP,"MF,FW",20,22.5,1366,1308,51,25,13,5,14,12,4,0,2,0,1182,7,28
Alejandro Balde,Barcelona,ESP,DF,19,22.2,1072,918,153,16,1,5,65,137,0,0,0,0,913,1,24
Ferrán Torres,Barcelona,ESP,FW,23,22.2,609,571,32,1,3,6,52,6,15,2,5,0,467,6,24
Raphinha,Barcelona,BRA,FW,26,21.6,878,767,105,24,6,13,108,21,58,24,21,0,656,6,26
Pau Cubarsí,Barcelona,ESP,DF,16,21.4,1632,1577,52,39,2,13,1,3,0,0,0,0,1485,3,8
Fermin López,Barcelona,ESP,MF,20,21.2,767,746,16,3,3,12,19,3,1,0,0,0,636,5,21
Iñigo Martínez,Barcelona,ESP,DF,32,18.1,1341,1283,55,34,4,28,5,9,0,0,0,0,1181,3,4
Iñaki Peña ,Barcelona,ESP,GK,24,17.3,369,279,90,30,0,0,0,0,0,0,0,0,323,0,0
Oriol Romeu,Barcelona,ESP,MF,31,16,1049,1031,18,17,5,9,8,1,0,0,0,0,934,0,12
Sergi Roberto,Barcelona,ESP,MF,31,14.6,793,755,33,12,0,1,16,12,0,0,0,0,703,5,12
Gavi,Barcelona,ESP,MF,18,13,670,636,33,19,3,6,9,10,0,0,0,0,608,1,10
Héctor Fort,Barcelona,ESP,DF,16,6.3,266,234,32,6,0,2,10,26,0,0,0,0,235,0,2
Marcos Alonso,Barcelona,ESP,"DF,FW",32,4.3,308,251,56,15,0,4,22,35,6,2,2,0,259,1,6
Vitor Roque,Barcelona,BRA,FW,18,4,67,65,1,0,0,0,3,0,0,0,0,0,49,1,6
Marc Guiu,Barcelona,ESP,FW,17,2.1,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Abde Ezzalzouli,Barcelona,MAR,"FW,MF",21,0.8,37,32,5,0,0,0,7,4,1,1,0,0,23,0,1
Eric García,Barcelona,ESP,DF,22,0.6,48,42,6,2,0,2,0,4,0,0,0,0,46,0,0
Ansu Fati,Barcelona,ESP,"MF,FW",20,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0
Marc Casado,Barcelona,ESP,MF,19,0.4,29,29,0,0,0,1,1,0,0,0,0,0,23,0,0
Virgil van Dijk,Liverpool,NED,DF,32,45.3,3227,3023,202,99,0,25,0,14,0,0,0,0,2947,2,7
Luis Díaz,Liverpool,COL,FW,26,40,1267,1228,33,5,6,14,33,27,0,0,0,0,1062,6,32
Alexis Mac Allister,Liverpool,ARG,MF,24,38.7,2268,2184,77,50,16,12,49,4,12,2,10,0,1961,7,36
Joe Gomez,Liverpool,ENG,DF,26,34.9,1825,1593,225,21,3,12,64,200,0,0,0,0,1507,7,43
Mohamed Salah,Liverpool,EGY,FW,31,34.8,1210,1161,33,4,21,4,53,24,0,0,0,0,891,16,47
Darwin Núñez,Liverpool,URU,FW,24,33.7,606,580,22,3,6,2,27,5,0,0,0,0,430,4,19
Cody Gakpo,Liverpool,NED,"FW,MF",24,33.5,799,770,26,8,6,3,55,8,4,0,4,0,628,3,20
Alisson,Liverpool,BRA,GK,30,32,1284,1112,167,42,0,5,0,0,0,0,0,0,1110,5,3
Harvey Elliott,Liverpool,ENG,"MF,FW",20,31.1,1480,1400,69,8,6,9,110,15,29,15,8,0,1229,11,29
Wataru Endo,Liverpool,JPN,MF,30,30.6,1758,1728,25,22,6,1,5,2,0,0,0,0,1552,5,23
Dominik Szoboszlai,Liverpool,HUN,MF,22,30,1841,1644,188,40,6,18,141,35,72,24,31,2,1529,9,29
Trent Alexander-Arnold,Liverpool,ENG,DF,24,29,2371,1969,391,86,25,36,202,225,80,13,57,0,1797,11,27
Ibrahima Konaté,Liverpool,FRA,DF,24,28.7,1927,1868,56,40,6,6,2,16,0,0,0,0,1698,3,12
Jarell Quansah,Liverpool,ENG,DF,20,27.7,1749,1705,41,27,1,6,0,9,0,0,0,0,1569,3,4
Caoimhín Kelleher,Liverpool,IRL,GK,24,26.7,814,735,76,18,0,1,0,0,0,0,0,0,668,3,0
Andrew Robertson,Liverpool,SCO,DF,29,24.4,1901,1622,268,47,1,7,218,125,96,36,56,0,1563,11,30
Curtis Jones,Liverpool,ENG,MF,22,22.6,1060,1018,40,11,6,3,12,25,2,0,1,0,963,2,8
Ryan Gravenberch,Liverpool,NED,MF,21,20.4,674,658,11,4,7,3,8,5,0,0,0,0,553,5,15
Diogo Jota,Liverpool,POR,FW,26,19,452,448,4,0,5,1,13,3,0,0,0,0,329,0,23
Conor Bradley,Liverpool,NIR,DF,20,16.7,712,597,113,15,3,1,43,98,0,0,0,0,576,2,21
Kostas Tsimikas,Liverpool,GRE,DF,27,16.3,874,698,174,25,0,4,150,106,43,13,30,0,694,2,13
Joël Matip,Liverpool,CMR,DF,31,11.8,747,740,6,5,0,1,0,1,0,0,0,0,665,1,5
Bobby Clark,Liverpool,ENG,MF,18,4,123,122,1,0,0,0,2,1,0,0,0,0,105,0,5
Ben Doak,Liverpool,SCO,FW,17,2.7,49,47,2,0,0,1,1,1,0,0,0,0,38,0,0
James McConnell,Liverpool,ENG,MF,18,2.7,52,51,1,1,0,0,3,0,0,0,0,0,46,0,3
Luke Chambers,Liverpool,ENG,DF,19,1.5,105,79,26,4,0,0,2,22,0,0,0,0,84,0,1
Stefan Bajcetic,Liverpool,ESP,MF,18,1.1,61,54,7,1,0,1,2,5,1,1,0,0,50,0,2
Jayden Danns,Liverpool,ENG,FW,17,0.9,9,9,0,0,1,0,0,0,0,0,0,0,7,0,0
Kaide Gordon,Liverpool,ENG,FW,18,0.8,17,17,0,0,0,0,0,0,0,0,0,0,13,0,0
Lewis Koumas,Liverpool,WAL,MF,17,0.7,,,,,,,0,,,,,,,,
Calum Scanlon,Liverpool,ENG,MF,18,0.6,32,27,5,1,0,0,0,4,0,0,0,0,28,0,0
Mateusz Musialowski,Liverpool,POL,MF,19,0.2,15,15,0,0,0,0,1,0,0,0,0,0,12,0,0
Trey Nyoni,Liverpool,ENG,MF,16,0.1,,,,,,,0,,,,,,,,
Owen Beck,Liverpool,WAL,DF,20,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
